year,ces_DET airs_NOUN,ces_DET chères_ADJ
1800,4.181738866293472e-07,1.5720821977538435e-08
1801,4.238504889286787e-07,5.2386017301842e-08
1802,3.6700578220916213e-07,2.0140561218795483e-08
1803,4.0567054426787763e-07,2.5354409682876167e-08
1804,7.786330371573058e-07,3.460591457837836e-08
1805,6.02690079176682e-07,6.538618513296512e-08
1806,7.405889590472725e-07,4.8988376022407465e-08
1807,3.3024679169102455e-07,1.1387820464392462e-08
1808,3.3991110370834576e-07,2.2660739062985158e-08
1809,3.998484032763372e-07,2.710836710662079e-08
1810,4.5632472378542843e-07,1.5210824066969053e-07
1811,4.061464267124393e-07,2.757784400841956e-08
1812,6.027890364634914e-07,4.267533171287141e-08
1813,6.039057396378666e-07,1.7254450312975678e-08
1814,7.457624633389059e-07,2.5173417128598885e-08
1815,2.643279088943018e-07,2.1577788444915313e-08
1816,3.036061109185084e-07,6.025770460382773e-08
1817,4.110145797042719e-07,9.185553295765203e-08
1818,3.9339886015454795e-07,2.741870819278347e-08
1819,4.5958660876976865e-07,3.001804671498576e-08
1820,5.541646501683317e-07,2.610625848831205e-08
1821,5.216727174683911e-07,8.08642042215979e-08
1822,4.4513735986129177e-07,4.411270992932259e-08
1823,3.014219576158439e-07,1.5120510532540266e-07
1824,3.7558162802042716e-07,5.726356722135506e-08
1825,5.151184421237076e-07,6.075755720758025e-08
1826,3.8138572833190665e-07,4.668231667892542e-08
1827,2.7283126868837826e-07,3.502563694635086e-08
1828,3.6689204740980585e-07,3.852366364798243e-08
1829,3.7379047057584103e-07,2.1432940588983485e-08
1830,5.89681221185856e-07,6.679575226264944e-08
1831,2.806417143119688e-07,1.2005228811062807e-07
1832,4.4784197683611637e-07,1.4341767951009388e-07
1833,5.965568661281395e-07,1.1467792582209313e-07
1834,3.2857548859510644e-07,7.094243414940138e-08
1835,4.363901808801529e-07,8.773182003096736e-08
1836,3.790502951517283e-07,9.207427664748025e-08
1837,2.845777480331435e-07,7.792838097042676e-08
1838,3.1118958787601514e-07,8.079567170860003e-08
1839,4.1809022022221143e-07,1.3143973998097636e-07
1840,3.40141363963653e-07,5.4779321967401984e-08
1841,3.6918153512033314e-07,8.73194618833395e-08
1842,3.481589700982113e-07,1.35506960319276e-07
1843,3.691819294715515e-07,9.982679483044876e-08
1844,3.9956725217393796e-07,1.2568805951573836e-07
1845,3.7499130378648715e-07,1.9028577469271113e-07
1846,3.4424467898475086e-07,1.4343528320637233e-07
1847,2.998632275819091e-07,1.0031396335818954e-07
1848,3.041093847855336e-07,5.873011987844734e-08
1849,3.578010066007664e-07,5.6980021145847104e-08
1850,2.966791328162799e-07,9.504594533638056e-08
1851,2.7281125092315506e-07,1.0190113330921236e-07
1852,5.546984809257083e-07,1.2239825242232882e-07
1853,3.702597801691354e-07,1.1824424706041725e-07
1854,5.268403597824545e-07,1.2781334746136963e-07
1855,3.5184992697168127e-07,1.8786557376415658e-07
1856,4.498977546063543e-07,1.1907535535371494e-07
1857,4.266438917710502e-07,1.8989070404984432e-07
1858,3.4402541970735e-07,1.380016620977642e-07
1859,5.356966497060967e-07,1.5174677159279781e-07
1860,3.712096017238764e-07,3.1170623415732734e-07
1861,4.456585642742539e-07,2.6550876253139677e-07
1862,3.194216411372963e-07,2.765007716121204e-07
1863,3.041724134789092e-07,2.047794591675256e-07
1864,3.490561972796513e-07,2.0041962400796365e-07
1865,4.2079188133925527e-07,2.4099042761349665e-07
1866,3.649209681100274e-07,2.573909139158559e-07
1867,3.3532926302370925e-07,2.9408038670908354e-07
1868,3.665386465456777e-07,1.83269321496482e-07
