year,seras_VERB au_ADP
1996,1.4946657245218375e-08
1997,2.5892429533769246e-08
1998,2.7178336026167926e-08
1999,2.6050146928469076e-08
2000,2.076474814316498e-08
2001,2.0591695459870607e-08
2002,3.1106672793157486e-08
2003,2.2084691408963408e-08
2004,1.8940601975714344e-08
2005,5.134274516649384e-08
2006,3.8296377624646993e-08
2007,3.674920989737984e-08
2008,4.5554603644859526e-08
2009,4.052963475942306e-08
2010,6.566072130453904e-08
2011,6.95962896202218e-08
2012,9.08935504639885e-08
2013,9.957176416719449e-08
2014,1.039413675130163e-07
2015,9.64210329357229e-08
2016,9.569590986302501e-08
2017,1.0942909511868493e-07
2018,1.151334174664953e-07
2019,1.0867207578257876e-07
