year,divers_DET chantiers_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.5526575580793178e-08
1820,8.306536791735653e-09
1821,1.2819934447350079e-08
1822,2.0051231786055723e-09
1823,1.087095569118901e-08
1824,0.0
1825,1.761088541663014e-08
1826,1.7615968683770689e-09
1827,0.0
1828,9.172301251858528e-10
1829,9.430493719264632e-09
1830,0.0
1831,0.0
1832,1.2176972319366541e-08
1833,0.0
1834,9.334530925997342e-10
1835,6.806779140333674e-09
1836,8.064899859050456e-09
1837,4.87052354003481e-09
1838,2.5248647617104325e-09
1839,1.1885507689157748e-08
1840,2.5478754661634184e-09
1841,0.0
1842,1.341653010911159e-09
1843,7.678984559333912e-09
1844,3.841992946007622e-09
1845,1.674068439427856e-09
1846,5.854501328173001e-09
1847,1.0786447290911383e-09
1848,7.24069959545659e-09
1849,1.0893239199560867e-08
1850,5.431196825611551e-09
1851,6.449438760824933e-10
1852,1.3021090872200602e-09
1853,1.2541057081705276e-08
1854,3.117398783558656e-09
1855,2.653468555990912e-09
1856,7.248064703979651e-09
1857,2.4407544874094356e-09
1858,2.4468380654951716e-09
1859,3.055304009791371e-09
1860,3.204028820036342e-09
1861,4.2443675241088386e-09
1862,6.325180823552046e-09
1863,1.7980635647063536e-08
1864,2.3973640850272204e-09
1865,1.4120533631256649e-09
1866,9.731225603104576e-09
1867,2.426405742994575e-09
1868,1.975949626142892e-09
1869,2.441759683335931e-09
1870,4.587239033071455e-09
1871,1.0621176826930423e-08
1872,5.442605477412599e-09
1873,7.781805422268917e-09
1874,1.0754296120296658e-08
1875,1.2015206607429718e-08
1876,2.418405919968336e-09
1877,1.0514186854493346e-08
1878,4.22736201599605e-09
1879,3.0546627449723474e-09
1880,7.059631101924424e-09
1881,6.9725074602899895e-09
1882,5.989846840748214e-09
1883,3.791603475633565e-09
1884,8.582206056928499e-09
1885,8.379326565943757e-09
1886,1.4842966855610484e-08
1887,5.223139698529167e-09
1888,6.340614699951175e-09
1889,5.6386229019267375e-09
1890,3.9326319978272295e-09
1891,8.286486163910922e-09
1892,1.191017329205124e-08
1893,8.621783065265731e-09
1894,1.3233232287745977e-08
1895,6.6204757231957956e-09
1896,5.307326078618502e-09
1897,3.4960281336537946e-09
1898,1.1316709347397591e-08
1899,1.879376654301268e-08
1900,1.7130475260529465e-08
1901,1.620734302321125e-08
1902,9.820567470342212e-09
1903,8.640351989441797e-09
1904,1.8811188162715098e-08
1905,1.1869745741854842e-08
1906,2.366324858282809e-08
1907,1.4399961223432456e-08
1908,1.2278472460991452e-08
1909,2.0353638774395222e-08
1910,8.550641084070776e-09
1911,7.980561322895596e-09
1912,1.0418842677495377e-08
