year,vos_DET ans_NOUN,vos_DET chants_NOUN
1800,4.4018303668735825e-08,2.546773263389923e-07
1801,1.1905912700171939e-08,1.6430160076907896e-07
1802,2.6854081625060644e-08,1.544109693440987e-07
1803,3.315576790896557e-08,1.501761204281138e-07
1804,4.69651695311768e-08,3.262843382145775e-07
1805,3.4114531644036106e-08,2.985021678725275e-07
1806,8.35684019762084e-08,2.8528523543513984e-07
1807,3.4163463169534225e-08,2.6476683956389024e-07
1808,3.3991110370834576e-08,2.6739673764097915e-07
1809,1.129515236897305e-08,1.6490923204770525e-07
1810,3.7442028144596406e-08,3.369782586304382e-07
1811,9.27618373225414e-08,2.03073220461647e-07
1812,1.3336041604361526e-08,2.7205523167594947e-07
1813,2.5881675469463516e-08,1.9267469042461016e-07
1814,5.349351184236184e-08,2.611742004887674e-07
1815,1.8880564667256294e-08,2.6972235289690616e-07
1816,2.7811246638975717e-08,1.506442508514283e-07
1817,2.3353100786493997e-08,2.3041726837647047e-07
1818,2.741870730460505e-08,1.5378319240255678e-07
1819,3.8298885840504227e-08,2.2668799282143937e-07
1820,1.1510486785937246e-07,2.1596995480877013e-07
1821,1.2819934447350079e-08,3.076784444999703e-07
1822,5.413832582235045e-08,2.5064039732569654e-07
1823,6.324919610278812e-08,2.8758618952906545e-07
1824,2.86317822784099e-08,2.829493936928884e-07
1825,3.9624492131906663e-08,2.1397226213082376e-07
1826,2.290075862276808e-08,2.0346443463381547e-07
1827,4.147772969531616e-08,1.9448446142433795e-07
1828,1.3758452155343548e-08,1.5226020355640912e-07
1829,1.971830521085849e-08,1.3802813025876048e-07
1830,3.652892388572582e-08,2.817945699007396e-07
1831,7.795603274018958e-09,2.463410568864788e-07
1832,2.8412935559885e-08,2.097145213042495e-07
1833,9.266902800675325e-09,2.919074262308641e-07
1834,9.334531370086552e-09,2.4643161733450825e-07
1835,1.663879345414898e-08,2.0420337421001022e-07
1836,2.2178475223011418e-08,1.774278048927158e-07
1837,1.7394727436226276e-08,1.676851670850965e-07
1838,1.8936486156917454e-08,1.7169081001355835e-07
1839,1.6080392128969834e-08,1.3493547523779625e-07
1840,1.52872523528913e-08,1.847209745164946e-07
1841,1.733548060656176e-08,1.5152494592385324e-07
1842,1.60998356868447e-08,1.4154439620384096e-07
1843,1.1813821920725331e-08,1.7543526187324687e-07
1844,8.781698090931656e-09,1.245903384905489e-07
1845,6.69627359117797e-09,1.1774281283294386e-07
1846,8.781752436348711e-09,1.820749897518681e-07
1847,3.775256551818984e-09,1.5047094148457063e-07
1848,7.24069959545659e-09,1.126331028444838e-07
1849,8.379414495607307e-09,1.6507447320179836e-07
1850,1.9009188889640427e-08,1.323854164070326e-07
1851,6.449438760824933e-09,1.0319101662048524e-07
1852,2.6042181744401205e-09,1.4648727475474743e-07
1853,3.5831591027601917e-09,9.73424869599171e-08
1854,1.8184825201217336e-08,1.6210472431055223e-07
1855,4.6701046585440054e-08,1.4434869655133298e-07
1856,4.0899795550330964e-08,1.8793196510102916e-07
1857,1.2203773103180993e-08,1.9477221258057398e-07
1858,1.4681027837859517e-08,1.7372549621086364e-07
1859,1.1202780925145817e-08,1.4869146713891723e-07
1860,6.408057640072684e-09,1.63405467823452e-07
1861,2.6409397335669382e-08,1.4855285979109567e-07
1862,3.5692092836825395e-08,1.3373239249325763e-07
1863,1.9479021062807078e-08,1.6432302984981106e-07
1864,2.3014694150447212e-08,1.4671867454296716e-07
1865,7.0602665935837194e-09,1.5485518334301673e-07
1866,1.8489328568183083e-08,1.775948668125693e-07
1867,2.6690463172940326e-08,1.295700666759103e-07
1868,1.1361710683388537e-08,8.644779514455081e-08
1869,1.3673853160867111e-08,1.5676096865036016e-07
1870,2.0069171213776826e-08,1.0263947469724144e-07
1871,7.434824311758348e-09,1.0514965342878213e-07
1872,1.2094679036067646e-08,1.3062252968154553e-07
1873,2.095101514498765e-08,8.500126291721699e-08
1874,3.2262889249068394e-08,7.886483999186567e-08
1875,2.2313955128083762e-08,1.0985331755364314e-07
1876,9.069021977836655e-09,1.0338685108024492e-07
1877,3.958282235316801e-08,1.335920241096744e-07
1878,1.8117266742390115e-08,1.2319740649857636e-07
1879,1.221865097988939e-08,1.0691319562994295e-07
1880,1.8611753915820373e-08,1.1873015992591718e-07
1881,1.8825771164188154e-08,7.600033269383744e-08
