year,es_VERB au_ADP
1800,4.4018303668735825e-08
1801,4.286128785224719e-08
1802,3.3567602031325805e-08
1803,7.801356893821776e-09
1804,4.449331569844617e-08
1805,2.842877755426798e-08
1806,1.4408345627714425e-08
1807,3.131650672116848e-08
1808,2.7192887941396293e-08
1809,2.9367397402779716e-08
1810,3.042164919975221e-08
1811,5.264861258069686e-08
1812,2.6672083208723052e-08
1813,3.4508900625951355e-08
1814,1.8880061958270744e-08
1815,1.8880564667256294e-08
1816,1.1588019432906549e-08
1817,2.9580593974287694e-08
1818,7.152706427149269e-09
1819,2.5877625375869684e-08
1820,3.678609061807947e-08
1821,1.1833785507064931e-08
1822,5.012807946513931e-08
1823,2.075364236020505e-08
1824,1.1789557774477544e-08
1825,2.3774695989686734e-08
1826,1.6735169694470642e-08
1827,1.1060727445055818e-08
1828,1.2841221419535032e-08
1829,3.1720752247110795e-08
1830,3.5485243188304594e-08
1831,1.153749238369528e-07
1832,3.92369123858316e-08
1833,3.59092489077284e-08
1834,3.360431222176885e-08
1835,4.235329242874286e-08
1836,1.0753200108126748e-08
1837,2.852735292435682e-08
1838,3.9135404250600914e-08
1839,2.3771015378315496e-08
1840,2.7389662093924017e-08
1841,2.6966304744746594e-08
1842,2.2137275124123335e-08
1843,3.071593823733565e-08
1844,2.25031016043431e-08
1845,4.464182268293371e-08
1846,1.5221703009160592e-08
1847,3.4516631330916425e-08
1848,2.494018680465615e-08
1849,2.0948537127196687e-08
1850,2.5798184921654865e-08
1851,1.7413483988093503e-08
1852,2.8646400807019745e-08
1853,5.01642283268211e-08
1854,2.909572138776184e-08
1855,2.7596072982305486e-08
1856,1.501384794266869e-08
1857,2.2943092758964667e-08
1858,5.334106845111819e-08
1859,5.14309519417111e-08
1860,4.622955884769908e-08
1861,3.301174444914068e-08
1862,3.7047488632424574e-08
1863,5.1444594362237694e-08
1864,5.0824116470948866e-08
1865,3.859612363044107e-08
1866,4.525020003143254e-08
1867,2.814630661873707e-08
1868,4.297690381349639e-08
1869,4.2974967584541446e-08
1870,3.383088653663435e-08
1871,2.549082545044712e-08
1872,3.9912439575573444e-08
1873,3.412022664406322e-08
1874,5.317401985394099e-08
1875,3.89063856687244e-08
1876,4.53451107773617e-08
1877,5.00970109840182e-08
1878,3.563062378475479e-08
1879,7.453376582589044e-08
1880,3.144744553651435e-08
1881,2.370652651961791e-08
1882,1.6638463051776853e-08
1883,3.09647596452578e-08
1884,2.9047466654219534e-08
1885,2.9649923405372647e-08
1886,2.774989482645651e-08
1887,3.3297514079322355e-08
1888,3.043495055976564e-08
1889,4.009687515349469e-08
1890,2.5562107097698572e-08
1891,4.0157587477551715e-08
1892,6.519253048509199e-08
1893,3.7566341148931315e-08
1894,3.528862180246506e-08
1895,2.1065151400989635e-08
1896,3.774098544795379e-08
1897,3.729096675897381e-08
1898,3.508180057565369e-08
1899,4.09040801230276e-08
1900,2.4397950326715545e-08
1901,4.247441509619421e-08
1902,3.535404502486017e-08
1903,2.5381035939631147e-08
1904,3.117282432185675e-08
1905,2.8900251081154238e-08
1906,3.240836221607424e-08
1907,4.165703160197154e-08
1908,3.241516921548282e-08
1909,3.795678793494517e-08
1910,4.11499598840237e-08
1911,2.8197982615552064e-08
1912,4.0112542620818203e-08
1913,2.5454351515463713e-08
1914,4.018046340092951e-08
1915,3.180805663305364e-08
1916,4.394984642885902e-08
1917,4.496234140560773e-08
1918,3.675640414257941e-08
1919,3.6831394822911534e-08
1920,3.407504323149624e-08
1921,5.073740894090406e-08
1922,3.8365264742878935e-08
1923,3.3971033985835675e-08
1924,4.898817351772777e-08
1925,6.048998102414771e-08
1926,4.681378129589575e-08
1927,3.6792442870137165e-08
1928,4.1133748851507335e-08
1929,4.0105462062456354e-08
1930,7.037414206934045e-08
1931,5.7026781519198266e-08
1932,4.822195975862087e-08
1933,2.867665571670841e-08
1934,3.9539216345474415e-08
1935,2.752705441366743e-08
1936,3.8799086610197264e-08
1937,1.7627565185307503e-08
1938,5.4453899167583586e-08
1939,5.505858169385647e-08
1940,5.325144059042941e-08
1941,3.246652724442356e-08
1942,5.461581054078124e-08
1943,2.9032351633873077e-08
1944,2.8918675454292497e-08
1945,7.189063211399116e-08
1946,6.12528623378239e-08
1947,8.225401160188994e-08
1948,5.218506160531433e-08
1949,5.988375306742455e-08
1950,5.317680873417885e-08
1951,5.010858927789741e-08
1952,4.74516177462192e-08
1953,5.0636987936059086e-08
1954,5.765796373680132e-08
1955,4.129667274810345e-08
1956,6.45364508500279e-08
1957,4.240818185508033e-08
1958,5.542403158642628e-08
1959,4.8829711829512235e-08
1960,4.982999968206059e-08
1961,5.280601200752244e-08
1962,4.439369405417892e-08
1963,4.073613624200334e-08
1964,4.806334885643082e-08
1965,5.034279837445865e-08
1966,5.4836839069594134e-08
1967,5.275459002973548e-08
1968,4.5363300671397155e-08
1969,3.951329219376021e-08
1970,5.5184699476740207e-08
1971,5.1897814046242274e-08
1972,3.642404422521395e-08
1973,3.804110448868414e-08
1974,5.0630145409513716e-08
1975,5.8257096924307916e-08
1976,4.399415587386102e-08
1977,4.9364967225074e-08
1978,4.81187889533885e-08
1979,5.383815349091492e-08
1980,4.77552646316326e-08
1981,4.1748627666038374e-08
1982,3.1037512115972277e-08
1983,4.736487113632393e-08
1984,6.204938785003833e-08
1985,4.2108904807491854e-08
1986,6.054430201629657e-08
1987,5.1330861339238254e-08
1988,4.737277592425926e-08
1989,4.006329135108899e-08
1990,3.923028657482064e-08
1991,4.396098773895574e-08
1992,3.526364267258941e-08
1993,4.154405530698568e-08
1994,4.272690645734656e-08
1995,3.904164458390369e-08
1996,3.3629980578098184e-08
1997,5.5620777317244574e-08
1998,6.198568058835008e-08
1999,6.672493668702373e-08
2000,5.2132772765389745e-08
2001,3.8992784112679146e-08
