year,les_DET ans_NOUN,les_DET chants_NOUN
1800,1.693132617219817e-05,2.395853343273302e-06
1801,1.832796260714531e-05,2.585964324453016e-06
1802,1.82630137715023e-05,1.8283153906395455e-06
1803,1.89514466910623e-05,1.989345989272806e-06
1804,1.9670989786391146e-05,2.5707248934025984e-06
1805,1.4603862837248016e-05,2.0042288175758927e-06
1806,1.6134465113282204e-05,3.149664264512353e-06
1807,1.3924457562097814e-05,2.9665273366674683e-06
1808,2.0578218027367257e-05,2.53573685915498e-06
1809,2.5804905817494728e-05,2.516560030585424e-06
1810,1.5220184650388546e-05,3.959494469185643e-06
1811,1.898358459584415e-05,2.7352208320508e-06
1812,1.2181139936728869e-05,3.053953329779091e-06
1813,1.2598624380188994e-05,3.7269612580548284e-06
1814,1.43394081533188e-05,3.379531316127782e-06
1815,1.360209807899082e-05,2.449078982280639e-06
1816,1.250347304448951e-05,1.8564006971644176e-06
1817,1.3660007425642107e-05,2.5299192355499045e-06
1818,1.4607018783863168e-05,2.3293979698468803e-06
1819,1.5006952708063181e-05,2.2927575275000223e-06
1820,1.4165018910716753e-05,3.0829117472208623e-06
1821,1.4544709301844705e-05,2.780939710511632e-06
1822,1.308543414779706e-05,2.9635720295573265e-06
1823,1.2178435099485796e-05,2.5714750897520844e-06
1824,1.1067026207456365e-05,3.3987610397190338e-06
1825,1.3106901860737707e-05,3.6463338872749773e-06
1826,1.3817965736961924e-05,3.5584257442877743e-06
1827,1.2623977454495616e-05,2.9043627307601128e-06
1828,1.181117204396287e-05,2.9424743524519847e-06
1829,1.2647149560507387e-05,3.5167167132255095e-06
1830,1.240835445059929e-05,4.187258526577864e-06
1831,1.045702174451435e-05,4.337473601623287e-06
1832,1.1064808859373443e-05,4.904613994050067e-06
1833,1.223231174662942e-05,5.068995795554088e-06
1834,1.3057141586614307e-05,4.363893024716958e-06
1835,1.317868100159103e-05,4.303397020066768e-06
1836,1.1751231795642525e-05,4.521720580186184e-06
1837,1.2489414075389504e-05,4.222048161750536e-06
1838,1.424023685103748e-05,4.19948124275038e-06
1839,1.132199486164609e-05,4.376663463645514e-06
1840,1.148263800132554e-05,4.196350986696018e-06
1841,1.129374504671432e-05,4.2651704106333455e-06
1842,1.1474487109808251e-05,4.389218041467302e-06
1843,1.1633661415544339e-05,4.232301744622191e-06
1844,1.2247724043845665e-05,3.897427449217616e-06
1845,1.1073404493799899e-05,3.976470399180698e-06
1846,1.2638697626243811e-05,4.955835223086069e-06
1847,1.2484773833421059e-05,4.28329832047325e-06
1848,1.2595599400810897e-05,3.716892333471833e-06
1849,1.1974183507845737e-05,3.916538570791772e-06
1850,1.2649257769226097e-05,3.7000028001443752e-06
1851,1.1113673281215597e-05,3.974144281215786e-06
1852,1.1776274732255843e-05,4.822361198364433e-06
1853,1.1919975804630667e-05,4.5882350967474395e-06
1854,1.1197176718269475e-05,4.394492915338333e-06
1855,1.1140853530378081e-05,4.937043641461969e-06
1856,1.0548523277975619e-05,4.081178259340845e-06
1857,1.0285827556799632e-05,4.550054654828273e-06
