year,sois_VERB aux_ADP
1800,3.144164484325529e-09
1801,3.095537337571841e-08
1802,1.1189200677108602e-08
1803,1.1702034896643454e-08
1804,5.19088700912107e-08
1805,1.421438877713399e-08
1806,4.610670600868616e-08
1807,8.540865792383556e-09
1808,0.0
1809,0.0
1810,2.3401266702194334e-08
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,2.4275012222574333e-08
1816,1.3905623319487859e-08
1817,9.341240669868967e-09
1818,1.7881765401739358e-08
1819,1.449147024601416e-08
1820,4.390598107306687e-08
1821,1.97229765852569e-09
1822,2.0051231786055723e-08
1823,3.063632902922109e-08
1824,5.052667617633233e-09
1825,1.4088708866211164e-08
1826,7.927186018719112e-09
1827,1.1060727445055818e-08
1828,8.255071293206129e-09
1829,2.571952872898464e-09
1830,4.174734336004349e-09
1831,1.4032085715598441e-08
1832,1.0823975604701275e-08
1833,1.1583628500844156e-09
1834,1.5868701908061666e-08
1835,2.7983425354705105e-08
1836,1.2769425516978572e-08
1837,4.174734336004349e-09
1838,4.418513332993257e-09
1839,1.398295079724221e-08
1840,2.547875410652267e-09
1841,1.5409316489467528e-08
1842,7.379091560011375e-09
1843,7.088293507706567e-09
1844,7.683985892015244e-09
1845,1.674068439427856e-09
1846,1.5807152919933287e-08
1847,0.0
1848,6.43617736884039e-09
1849,1.1731181359664333e-08
1850,6.1100964288129944e-09
1851,1.2253933645567372e-08
1852,1.3021090872200602e-09
1853,8.957897534855874e-09
1854,6.7543638460065836e-09
1855,6.8990182455763716e-09
1856,7.248064815001953e-09
1857,1.610898081594314e-08
1858,1.2723557318849998e-08
1859,1.171199848215565e-08
1860,1.373155189554609e-08
1861,2.263662679524714e-08
1862,1.1294965851504912e-08
1863,1.048870412745373e-08
1864,8.63051052846231e-09
1865,1.1296426905005319e-08
1866,9.244664589402873e-09
1867,1.5043715606566366e-08
1868,1.432563490055827e-08
1869,2.9301114423674335e-08
1870,1.6628741050794815e-08
1871,6.37270636261178e-09
1872,3.628403577593531e-09
1873,2.095101514498765e-08
1874,6.572069999322139e-09
1875,1.2015206607429718e-08
1876,9.069021977836655e-09
1877,1.2369632429454214e-08
1878,1.2078177347163432e-09
1879,3.665595160740054e-09
1880,1.2193908105473383e-08
1881,1.5339516323820135e-08
1882,8.652000893505374e-09
1883,8.847074184359371e-09
1884,2.2445770575529878e-08
1885,1.0313017106966527e-08
1886,1.0325542199041138e-08
1887,1.828098916689669e-08
1888,1.0779044545827787e-08
1889,6.891650361495749e-09
1890,9.176140736144589e-09
1891,1.9122659011827636e-09
1892,1.002961980134387e-08
1893,9.23762488724833e-09
1894,1.449354058991048e-08
1895,8.426059849853118e-09
1896,9.435246750566506e-09
1897,8.157399200570126e-09
1898,6.2241901632731356e-09
1899,1.6582735185011188e-08
1900,4.671947717582725e-09
1901,6.147612641171918e-09
1902,6.874397495693074e-09
1903,1.7280704867062013e-08
1904,6.987012746151322e-09
1905,6.708986699521802e-09
1906,1.5432553013283723e-08
1907,1.0285686968813934e-08
1908,5.40252820258047e-09
1909,9.901770070541716e-09
1910,1.0153886509378651e-08
1911,1.702519725199636e-08
1912,1.4065437481391996e-08
1913,5.833288629908395e-09
1914,1.2054139020278853e-08
1915,1.0602685840410686e-08
1916,2.197492321442951e-08
1917,1.0966424213165737e-08
1918,6.89182577673364e-09
1919,5.524709134618888e-09
1920,5.300562211374427e-09
1921,6.815472630705699e-09
1922,1.1066902949607993e-08
1923,9.554353752605493e-09
1924,1.4180787211159895e-08
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,2.2298449309232637e-08
1928,5.713020723163709e-09
1929,5.570202965543558e-09
1930,4.201441416995522e-09
1931,5.7026783295555106e-09
1932,1.0959536611565568e-09
1933,5.735331320977366e-09
1934,3.5944740517379614e-09
1935,1.4361940969820353e-08
1936,1.8187071404440758e-08
1937,8.813782481631449e-09
1938,1.2965214679638848e-08
1939,3.058810094103137e-09
1940,1.2678914806940611e-08
1941,2.066051862925633e-08
1942,2.4273694165799498e-08
1943,1.1612940831184915e-08
1944,0.0
1945,8.714016175304096e-09
1946,8.352662561605939e-09
1947,1.4305045148432782e-08
1948,3.0441286602567175e-08
