year,mes_DET ans_NOUN,mes_DET chants_NOUN
1800,1.2262241444460642e-07,9.998443317726924e-07
1801,2.809795489611133e-07,8.953246368736956e-07
1802,9.622712582313397e-08,4.609950678968744e-07
1803,1.1897068930011301e-07,6.865193853400342e-07
1804,2.0269178335752258e-07,9.664937081765856e-07
1805,1.336152555264647e-07,1.0035358055660026e-06
1806,1.3832011802605848e-07,6.397305583050183e-07
1807,1.0533733885154106e-07,4.3843109054364504e-07
1808,1.3143229082857033e-07,1.0809172792392019e-06
1809,1.1746958961111886e-07,3.772580852157148e-07
1810,2.1763179169909108e-07,7.628813420978986e-07
1811,8.524061279047146e-08,9.65224579374535e-07
1812,1.1468995486652034e-07,7.254806320133866e-07
1813,2.875741715868685e-07,6.384146615801001e-07
1814,1.3530711440168375e-07,4.814416030285429e-07
1815,7.282503844407984e-08,3.1018069712729357e-07
1816,1.0197456923322079e-07,2.757948642795327e-07
1817,2.459860013459547e-07,8.298135156792341e-07
1818,1.1563542257064796e-07,4.959209836119527e-07
1819,2.111614219035829e-07,3.5504102768868506e-07
1820,2.4563615674821904e-07,5.88577488969122e-07
1821,1.4397773084873222e-07,4.920882723524755e-07
1822,1.87479017199621e-07,4.6919883800455864e-07
1823,2.1445430964384116e-07,3.9530746676064155e-07
1824,3.065284950309888e-07,7.14952467006924e-07
1825,1.717061417494392e-07,5.776370635146577e-07
1826,9.336463135944939e-08,2.977098735312822e-07
1827,9.032927539287527e-08,2.4886636929011274e-07
1828,1.2290883910637262e-07,2.4948659849144406e-07
1829,8.74463982336593e-08,2.957745763865205e-07
1830,1.544651753171422e-07,4.143423950608849e-07
1831,1.4811645598911127e-07,2.6816874543200697e-07
1832,1.434176764014694e-07,4.058990867861212e-07
1833,1.1699465085612815e-07,6.649002532999049e-07
1834,1.0734710209625575e-07,4.349891398192085e-07
1835,9.302598158456021e-08,3.547088311961488e-07
1836,9.879502327336809e-08,3.7837823185782327e-07
1837,6.888311654407175e-08,3.2215035794536107e-07
1838,8.268932338850732e-08,3.9198524603989426e-07
1839,6.711816002979987e-08,2.873496303124057e-07
1840,5.0320539179971036e-08,3.547916591628564e-07
1841,8.346712876416973e-08,4.2760852991818865e-07
1842,7.91575285319368e-08,4.1121663940657527e-07
1843,7.324569972766426e-08,3.361032341331338e-07
1844,6.421616838281352e-08,2.6070667225042143e-07
1845,7.031086912689943e-08,2.583645599685269e-07
1846,4.6836011513562426e-08,2.7984517281254284e-07
1847,4.853901458545806e-08,2.1249301696002476e-07
1848,4.98803736093123e-08,2.051531495794734e-07
1849,1.5250535856381475e-07,2.187027305922129e-07
1850,9.708264059327121e-08,2.7088093546012715e-07
1851,4.4501126561513615e-08,2.347595686735815e-07
1852,5.664174484998341e-08,1.7252945383461338e-07
1853,5.613615816635331e-08,1.994625282719653e-07
1854,6.182840839308312e-08,2.2964837231853608e-07
1855,8.278821894691646e-08,2.637547673600693e-07
1856,7.558696424325717e-08,2.2779631869696004e-07
1857,9.616573248827365e-08,2.938668446361703e-07
1858,7.683071689967846e-08,3.298337745150093e-07
1859,9.573285764119532e-08,2.6937597308318573e-07
1860,6.224969983925632e-08,3.08959915429341e-07
1861,8.866011791397455e-08,2.6220758186923376e-07
1862,8.764893544288554e-08,2.9457271821797804e-07
1863,6.84263046224487e-08,3.066697111808736e-07
1864,6.13725177345259e-08,2.7138161184936394e-07
1865,5.2245974213604995e-08,2.2781126279847186e-07
1866,7.347075592356589e-08,1.7954111530826822e-07
1867,4.124889763090778e-08,1.6742199804298252e-07
1868,4.643481643640257e-08,1.891971805889625e-07
1869,6.690421416877257e-08,1.5724931579086388e-07
1870,6.135432029097387e-08,1.8291615688781349e-07
1871,3.9298356568906456e-08,1.2851624342502532e-07
1872,4.535504372071841e-08,1.80210706357542e-07
1873,5.6268441461782004e-08,1.957423467757735e-07
1874,4.600448944014346e-08,1.2785663860981344e-07
1875,7.037478400029329e-08,1.8423316799909273e-07
1876,5.985554496490408e-08,1.662654107725814e-07
1877,1.1441909597564859e-07,1.6080522013961485e-07
1878,6.642997307793053e-08,1.7271793373296873e-07
1879,5.315112849846315e-08,1.6189712326308836e-07
1880,6.802917074111292e-08,2.2141570354961004e-07
1881,2.998178288970976e-08,1.262023896497766e-07
1882,4.392554342480537e-08,1.7237448091123042e-07
1883,5.940178687824371e-08,1.6935828339725845e-07
1884,4.8192386969958534e-08,1.5249920437554465e-07
1885,3.8673812818856845e-08,1.2440076813113876e-07
1886,4.646494078386354e-08,1.3035996637711378e-07
1887,4.047933110928881e-08,9.336362527534448e-08
1888,3.614150267949867e-08,1.3251885166987165e-07
1889,4.63620102308937e-08,1.0650732451544798e-07
