year,vos_DET aises_NOUN,vos_DET chaises_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,1.1905912700171939e-08,2.1430643926123594e-08
1802,0.0,4.475680270843441e-09
1803,1.1702034896643454e-08,7.801356893821776e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,1.729001475325731e-08
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,2.710836710662079e-08,0.0
1810,4.680253340438867e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,4.267533171287141e-08
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,2.1577788444915313e-08,5.394447111228828e-09
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,1.0898113522728181e-08,1.401186100480345e-08
1818,2.5034472272977837e-08,3.5763530803478716e-08
1819,1.0351049795076506e-08,1.1386154796788617e-08
1820,5.933240565525466e-09,9.493184904840746e-09
1821,2.2681422962023134e-08,1.97229765852569e-09
1822,2.8071724500478012e-08,5.012807946513931e-09
1823,1.8777104315859106e-08,9.882686669016039e-09
1824,2.2737005167527968e-08,1.51580028528997e-08
1825,7.924898959288385e-09,8.805443485471187e-09
1826,3.170874407487645e-08,1.6735169694470642e-08
1827,2.027800150017356e-08,1.8434546111834038e-09
1828,1.9261833017480967e-08,3.668920500743411e-09
1829,2.4004892296147773e-08,1.2002446148073886e-08
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,7.795603274018958e-09,7.795603274018958e-09
1832,4.7354891563600177e-08,3.6530916958099624e-08
1833,1.9692167896323554e-08,1.7375443306377747e-08
1834,2.14694217959277e-08,3.733812370398937e-09
1835,2.7983425354705105e-08,1.1344631900556124e-08
1836,1.5457725766054864e-08,1.8146025126952736e-08
1837,2.2265250976261086e-08,1.948209416013924e-08
1838,2.0830134062066463e-08,1.0730675015224733e-08
1839,1.4682098203877558e-08,1.3283802502428443e-08
1840,2.1019973317493168e-08,1.1465439264668476e-08
1841,2.760835826620678e-08,4.494383976094696e-09
1842,1.542900918138912e-08,1.609983613093391e-08
1843,1.7720733325177207e-08,5.906910960362666e-09
1844,2.5247381074677833e-08,9.330554107123135e-09
1845,6.696273757711424e-09,7.254296274794569e-09
1846,1.6978054517835517e-08,6.439951683034906e-09
1847,8.089835468183537e-09,5.3932236454556914e-09
1848,1.367687652020777e-08,1.126331028444838e-08
1849,1.8434713311421547e-08,5.865590679832167e-09
1850,1.765138968323754e-08,9.504594444820214e-09
1851,1.096404567135778e-08,1.1608989325395669e-08
1852,2.278690836021724e-08,1.1718981340891332e-08
1853,3.1651239851271384e-08,9.555090940693844e-09
1854,3.4291385730966795e-08,1.0391328686409906e-08
1855,3.661786607267459e-08,1.9104973603134567e-08
1856,2.3815070804289462e-08,4.659470143053568e-09
1857,1.7085282522089074e-08,6.8341128311999455e-09
1858,2.0064071293290908e-08,2.153217404377017e-08
1859,1.1202780925145817e-08,7.638260024478427e-09
1860,2.197048232233101e-08,2.1055045706930287e-08
1861,1.4619487842537637e-08,1.6977468875190027e-08
1862,1.400575744270327e-08,2.3493528900075944e-08
1863,2.2975255475898848e-08,7.491931519609807e-09
1864,1.9178912680217763e-08,1.1986819536957682e-08
1865,1.6003271596787272e-08,1.2708479601997169e-08
1866,2.0435575009969398e-08,6.811858188626729e-09
1867,2.038180824115443e-08,8.73506067478047e-09
1868,1.2349684830326169e-08,6.421836395986702e-09
1869,1.12320943657096e-08,1.0255390314739543e-08
1870,1.9495765002375265e-08,7.454262984651905e-09
1871,1.1683295220166201e-08,1.3807530230280918e-08
1872,7.861540751719076e-09,7.861541084785983e-09
1873,7.183205141814142e-09,4.190203295451056e-09
1874,2.8678122987457755e-08,1.3144139998644278e-08
1875,2.345826111138649e-08,1.0870901512305409e-08
1876,1.0278225381910033e-08,3.02300739996042e-09
1877,1.7317484335421796e-08,3.710889595609501e-09
1878,9.058632954861423e-09,6.039088784604019e-09
1879,1.2829582729523281e-08,4.887460214320072e-09
1880,1.5402831010646878e-08,1.0910338410496934e-08
1881,2.649552932609822e-08,1.324776466304911e-08
1882,1.9966154951589488e-08,7.320923645082189e-09
1883,8.21514056781325e-09,1.2638677882037541e-09
1884,1.9805090900604227e-08,3.9610181801208455e-09
1885,1.4180398189012067e-08,1.0957580620640783e-08
1886,1.4197620856748472e-08,5.808117542471791e-09
1887,1.5016526688782506e-08,6.528924512139156e-09
1888,1.9021843655764314e-08,6.340614699951175e-09
1889,2.192797943223468e-08,2.5060546970934183e-09
1890,7.209825181320184e-09,6.554386366985909e-09
1891,1.4023283867459213e-08,2.5496880162734215e-09
1892,1.191017329205124e-08,2.5074049503359674e-09
