year,nouveaux_ADJ ans_NOUN,nouveaux_ADJ champs_NOUN
1800,0.0,3.458580977167003e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,8.951360541686881e-09
1803,0.0,3.900678446910888e-09
1804,0.0,9.887403784603066e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,1.4234775136401367e-08
1808,0.0,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,3.008491944456182e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,6.326631307729258e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08
1815,0.0,4.045835311217161e-08
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,9.341240669868967e-09
1818,1.1921177378582115e-09,4.6492591110336434e-08
1819,3.1053151161586356e-09,8.280840013696888e-09
1820,0.0,6.051905643289501e-08
1821,0.0,3.155676253641104e-08
1822,1.0025615893027862e-09,2.606660132187244e-08
1823,0.0,3.9530747564242574e-09
1824,0.0,3.03160057057994e-08
1825,0.0,2.289415235168235e-08
1826,8.807984341885344e-10,2.4662355713189754e-08
1827,0.0,3.871254605769536e-08
1828,0.0,4.953042775923677e-08
1829,0.0,9.430493719264632e-09
1830,0.0,2.6092090266160994e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,2.570694235259907e-08
1833,0.0,2.0850531967653296e-08
1834,0.0,3.9205030333278046e-08
1835,0.0,3.025235173481633e-08
1836,6.720750067579218e-10,2.2178475944656384e-08
1837,0.0,3.061472142462662e-08
1838,0.0,3.9135404250600914e-08
1839,0.0,2.0974425751774106e-08
1840,0.0,3.630722389402763e-08
1841,2.5682194149112547e-09,4.173356416004026e-08
1842,6.708265054555795e-10,6.305769062464606e-08
1843,0.0,2.8943864194275193e-08
1844,5.488561272137815e-10,6.860701518007772e-08
1845,0.0,4.296775557577348e-08
1846,1.1709002656346001e-09,3.2785209214125643e-08
1847,1.0786447290911383e-09,4.7460368080010085e-08
1848,0.0,8.045221733254948e-08
1849,8.379414939696517e-10,5.53041381579078e-08
1850,0.0,3.6660580349234806e-08
1851,1.2898877521649865e-09,7.352360142931502e-08
1852,0.0,3.5156944022674e-08
1853,0.0,3.0456853039595444e-08
1854,5.195664454227256e-10,2.0263090760863633e-08
1855,1.5920811335945473e-09,3.980202833986368e-08
1856,0.0,6.109083017236117e-08
1857,3.905207268672939e-09,3.514686497396724e-08
1858,0.0,4.208561321661364e-08
1859,5.092173349652285e-10,6.925355933162791e-08
1860,0.0,5.355305177090486e-08
1861,0.0,4.2443673464731546e-08
1862,0.0,5.2860439581081664e-08
1863,9.989241656072068e-10,4.844782353075061e-08
1864,0.0,7.431828663584383e-08
1865,4.706844358715045e-10,3.9066808454890634e-08
1866,0.0,5.400830360713371e-08
1867,4.85281148598915e-10,4.949867715708933e-08
1868,4.93987406535723e-10,4.3964877960434023e-08
1869,4.883519144627257e-10,3.7603097524652185e-08
1870,0.0,3.841812556970581e-08
1871,0.0,7.965883241922711e-08
1872,0.0,2.7817760539505798e-08
1873,5.986004469882289e-10,3.4718826924518e-08
1874,0.0,4.899179373296647e-08
1875,5.721527140956084e-10,5.9503882710032485e-08
1876,6.04601479992084e-10,4.111290152764013e-08
1877,0.0,5.6281827198745304e-08
1878,1.2078177347163432e-09,4.831271027683215e-08
1879,0.0,5.315112971970848e-08
1880,0.0,5.198455355071019e-08
1881,6.972507571312292e-10,6.414706632540401e-08
1882,6.655385131892899e-10,4.326000180299161e-08
1883,6.319338941018771e-10,6.761692361578753e-08
1884,6.601696966868076e-10,5.6114423330200225e-08
1885,1.2891271383708158e-09,6.639005079023264e-08
1886,0.0,5.679048342699389e-08
1887,0.0,7.181817096579834e-08
1888,0.0,8.306205501185104e-08
1889,6.265136742733546e-10,6.828999232766364e-08
1890,0.0,4.653614382732485e-08
1891,0.0,5.8005401371019616e-08
1892,1.8805537127519756e-09,9.089342967172342e-08
1893,6.158416554491453e-10,6.83584246985447e-08
1894,6.301539290376468e-10,8.318031774479095e-08
1895,6.018614495673091e-10,7.583454220139174e-08
1896,0.0,7.607167162859696e-08
1897,2.330685422435863e-09,5.651912005077975e-08
1898,5.092519295146758e-09,1.0128455585345364e-07
1899,5.527578395003729e-10,1.0889329615793031e-07
1900,1.5573159428683425e-09,1.256234867241801e-07
1901,0.0,1.1624577211932774e-07
1902,0.0,1.0016979246074698e-07
