year,leurs_DET arts_NOUN,leurs_DET chars_NOUN
1800,6.697070524808169e-07,1.6349655140857067e-07
1801,5.810085745849847e-07,2.97647822833369e-07
1802,5.885519556159124e-07,2.439245747609675e-07
1803,4.797834440850579e-07,2.02835281015723e-07
1804,6.451530942808148e-07,6.822308797893584e-07
1805,7.078765733581349e-07,3.3830244206001225e-07
1806,5.648071566000112e-07,2.5935023462153595e-07
1807,7.430552741993779e-07,7.402083213037258e-08
1808,7.387401268488247e-07,2.402038430382447e-07
1809,4.721373887406344e-07,2.5978850914931684e-07
1810,3.9314130306777884e-07,2.6209418813039065e-07
1811,6.117267474792243e-07,1.9805906514847038e-07
1812,6.107906767027771e-07,3.0672893691630065e-07
1813,5.780240712738305e-07,2.645682286583906e-07
1814,4.310947678831667e-07,2.1397404736944736e-07
1815,4.234641099998271e-07,2.6972234845601406e-07
1816,4.403447402268057e-07,7.648093003354006e-08
1817,6.04066890730337e-07,2.5999787123254237e-07
1818,3.3379297725844026e-07,1.418620123594394e-07
1819,5.247982581835231e-07,3.3951443256796665e-07
1820,6.111237560446625e-07,1.4477106446975085e-07
1821,4.4080853101036155e-07,1.617284084431958e-07
1822,4.661911532366503e-07,1.664252238242625e-07
1823,3.251403942750031e-07,7.906149601666357e-08
1824,4.244240940920463e-07,1.9873826051508559e-07
1825,5.820398083500322e-07,1.769894026892871e-07
1826,5.443334156751689e-07,2.422195564122376e-07
1827,5.281497443831995e-07,1.4839809203692766e-07
1828,4.356843135155941e-07,1.5501188954658573e-07
1829,6.575626281812852e-07,1.1059396920476416e-07
1830,4.769634003309875e-07,1.6907673772159626e-07
1831,3.788663036630169e-07,1.5435293843069076e-07
1832,5.114328511801602e-07,1.0147476769972741e-07
1833,5.479056355284229e-07,1.6796261859131079e-07
1834,4.6579308410343856e-07,3.089729627703264e-07
1835,3.5697774336540533e-07,1.8000149282215716e-07
1836,3.884593628988853e-07,1.6062592544940912e-07
1837,4.606123740202861e-07,1.3776624463446296e-07
1838,3.017213447975564e-07,1.9441459331304145e-07
1839,2.740658295863341e-07,1.4332524367333122e-07
1840,3.293129053894006e-07,1.6306402850219115e-07
1841,4.0706278525703965e-07,2.0288932756074018e-07
1842,2.8174712429773763e-07,2.2741018579353067e-07
1843,4.1112101367701825e-07,1.7661664797330445e-07
1844,3.8255273260290323e-07,1.2678576344349324e-07
1845,2.6952499787569195e-07,1.4396988579079562e-07
1846,3.653208899834226e-07,1.2879902655527076e-07
1847,2.9932391143461246e-07,1.3806651999459518e-07
1848,3.210043532653195e-07,1.0217431778425379e-07
1849,2.279200925769942e-07,7.038708194073706e-08
1850,2.769910292244049e-07,1.8398179513212654e-07
1851,2.702314800817618e-07,1.7413484476591634e-07
1852,2.8776610538905345e-07,2.1029062402533327e-07
1853,2.974021926505088e-07,1.2779934199791398e-07
1854,2.317266301066212e-07,1.1118721943148557e-07
1855,2.589785346174267e-07,1.4806354897700658e-07
1856,2.0656985633138447e-07,1.4340814180613393e-07
1857,2.1332195121459563e-07,2.5286216498443537e-07
1858,2.437050765080606e-07,1.8840652482587927e-07
1859,2.9789212807607157e-07,1.3086885353175148e-07
1860,2.0002293132925786e-07,2.000229377685514e-07
1861,2.48531297430965e-07,1.6175755712666273e-07
1862,2.8553672315467793e-07,1.9517700255988757e-07
1863,2.3075148247730937e-07,2.5372673406742763e-07
1864,2.2535221533281913e-07,1.9994015598712167e-07
1865,2.20280310436749e-07,2.1510279385461573e-07
1866,1.5034743816588758e-07,2.6176997930393853e-07
1867,2.3778775926075468e-07,3.0766825354078264e-07
1868,1.9067913648029844e-07,2.7416301850990976e-07
1869,1.7531834206607755e-07,1.7336493574049427e-07
1870,1.8578318261575077e-07,2.7351412912324236e-07
1871,1.1577083469660465e-07,1.4763436229081606e-07
1872,2.582214007063044e-07,2.5035983386434424e-07
1873,1.7898153714668297e-07,1.0595228161491832e-07
1874,1.6967889671093417e-07,2.0014940316226415e-07
1875,1.9167115306029103e-07,1.3731665671201654e-07
1876,1.831942544328058e-07,1.3724453085117716e-07
1877,2.0409892576012112e-07,2.1399463245863615e-07
1878,2.602847164467903e-07,1.1897004981165082e-07
1879,2.034405275352924e-07,1.7717043476750405e-07
1880,1.7264006357819994e-07,1.5595366975595937e-07
1881,1.9523021876910462e-07,1.854687070590444e-07
1882,1.5972924272134037e-07,1.7836432331108654e-07
1883,1.6051121171090088e-07,2.0537851197488521e-07
1884,1.6438224825776615e-07,1.485381861954238e-07
1885,1.7467672686066749e-07,1.0441929854110299e-07
1886,1.251972037152882e-07,9.292988067954866e-08
1887,1.9586774158142362e-07,1.194793186609644e-07
1888,1.084245115912097e-07,1.5027257260769034e-07
1889,1.7918290384777436e-07,1.2342319166691595e-07
1890,1.2125615267422063e-07,1.2912140895382507e-07
1891,1.389580031041504e-07,9.30636132601137e-08
1892,1.209822917402903e-07,1.328924630339401e-07
1893,1.2994259190879376e-07,1.1516238673792145e-07
1894,1.3359262940326744e-07,1.0775632408588365e-07
1895,1.2338159649516456e-07,8.426060138511104e-08
1896,1.2501701873723903e-07,1.2265820714674192e-07
1897,8.332200496230513e-08,9.089673369544471e-08
1898,1.1939128796711884e-07,7.525611778191887e-08
1899,1.5145565512852954e-07,1.2768706625365667e-07
1900,8.720969102427034e-08,1.0382105952722043e-07
1901,1.190401378581285e-07,5.4210769206974874e-08
1902,1.016428754496701e-07,6.677986164049798e-08
1903,9.50438781011087e-08,9.018368052338133e-08
1904,1.3221578143429724e-07,1.2039160512955505e-07
1905,1.2385822306670846e-07,7.328277878970724e-08
1906,1.301478673165768e-07,7.76771852950553e-08
1907,1.1622825968338191e-07,7.148552283453569e-08
1908,1.1050625170483386e-07,9.478980911303836e-08
1909,8.69155369898067e-08,6.051082124258755e-08
1910,9.405705458931379e-08,9.726354033290363e-08
1911,7.448523731135026e-08,1.0268321815054549e-07
1912,1.0002088524085906e-07,8.751827529351885e-08
1913,1.0659009408442444e-07,1.0924158844183296e-07
1914,1.1585366826993848e-07,1.1317496584339892e-07
1915,1.1545146694214026e-07,6.479419312199752e-08
1916,9.668966782783173e-08,7.69122365795738e-08
1917,8.77313937053259e-08,6.689518772251546e-08
1918,9.303964532136888e-08,9.648556442698464e-08
1919,8.1949848795837e-08,8.287063479883727e-08
1920,1.1055458060127421e-07,8.102288306943706e-08
1921,9.693117064557555e-08,8.48147717058545e-08
1922,1.2468711396707022e-07,1.0402889105698421e-07
1923,1.1252905096625909e-07,9.129715294875496e-08
1924,9.668718092825657e-08,1.0313299358966077e-07
1925,1.2427940410120186e-07,9.348450902280092e-08
1926,7.80229711949687e-08,8.359604175556257e-08
1927,1.4939960779614125e-07,1.39365317730622e-07
1928,1.0854739307397665e-07,7.883968489164062e-08
1929,8.466708578680482e-08,7.129860279952993e-08
1930,1.4179864449292978e-07,1.2184180120389243e-07
1931,1.0606981426519724e-07,4.5621426636444085e-08
1932,1.0411560014134125e-07,4.60300545457315e-08
1933,6.767690918785263e-08,5.850037609889114e-08
1934,1.114286956038768e-07,8.387105765450542e-08
1935,9.335261808018913e-08,5.984141893122796e-08
1936,9.093535879856063e-08,6.789839801513153e-08
1937,8.561960340713881e-08,1.5109341688912536e-07
1938,6.482606929036905e-08,9.853563187611769e-08
1939,1.0399954142314982e-07,8.717609034647467e-08
1940,1.343965010391912e-07,1.5468275194052694e-07
1941,7.083606590185809e-08,1.4462362774025905e-07
1942,9.406056733496371e-08,1.8205271135052215e-07
1943,6.387117701400769e-08,2.1774263903040492e-07
1944,1.2210107591670294e-07,2.5062851705115463e-07
1945,1.1328221205531008e-07,4.030232521046173e-07
1946,1.1415305412043608e-07,1.935033440148004e-07
1947,6.914105465938292e-08,2.789483868337328e-07
1948,7.610321572926182e-08,1.1306763614271631e-07
1949,8.4426268642801e-08,1.0307858921976276e-07
1950,1.0422653962116613e-07,1.616574891727396e-07
1951,7.889437370067753e-08,1.705824224096375e-07
1952,7.27591498161928e-08,1.1915628750358565e-07
1953,7.43394120705787e-08,1.3036330515081573e-07
1954,7.818028846529046e-08,1.0652064696969887e-07
1955,8.25933454962069e-08,7.602342133594675e-08
