year,auriez_VERB eu_VERB
1800,2.263798393187244e-07
1801,2.881230898310605e-07
1802,1.8350289110458107e-07
1803,1.9503391968100914e-07
1804,2.4718508484511403e-07
1805,2.6723051860244595e-07
1806,3.4580028795971884e-07
1807,1.3095993267597805e-07
1808,2.1074488643080258e-07
1809,1.5361408145508904e-07
1810,3.205973655440175e-07
1811,1.8301660986708157e-07
1812,2.453831484672264e-07
1813,3.0482860324809735e-07
1814,1.4160046646338742e-07
1815,1.5643897199879575e-07
1816,1.668674798338543e-07
1817,2.319741412293297e-07
1818,2.2769448548842774e-07
1819,2.3703904616922955e-07
1820,1.578242034838695e-07
1821,4.2404400346640614e-07
1822,2.456275751683279e-07
1823,2.9153926561775734e-07
1824,2.0800148092803283e-07
1825,2.025251859549826e-07
1826,1.788020824733394e-07
1827,2.1568419583672949e-07
1828,1.7610818758839741e-07
1829,1.8003669310928672e-07
1830,2.1812986972236104e-07
1831,2.4945930476860667e-07
1832,3.3824923661995854e-07
1833,2.4557292022109323e-07
1834,1.7455572276503517e-07
1835,2.4504404905201227e-07
1836,1.6465837404666672e-07
1837,1.982998867333663e-07
1838,1.590664737705083e-07
1839,1.4891841715325427e-07
1840,1.2994165388136025e-07
1841,1.3483152372373297e-07
1842,1.6234001520842867e-07
1843,1.4176586660141766e-07
1844,1.6026598359530908e-07
1845,1.3838965173817996e-07
1846,1.7153688247617538e-07
1847,1.1703295399456692e-07
1848,2.534244742946612e-07
1849,2.1535096550451271e-07
1850,1.9212858148875966e-07
1851,1.3543821353323438e-07
1852,1.5495098182327638e-07
1853,1.606449728797088e-07
1854,1.0858938992441836e-07
1855,1.6557643789383292e-07
1856,1.2114622904846328e-07
1857,1.9965372644037416e-07
1858,1.928108304127818e-07
1859,2.0215928486777557e-07
1860,1.7942561214567831e-07
1861,1.7449065126129426e-07
1862,2.231885218861862e-07
1863,1.7281388409173815e-07
1864,1.9946068618992285e-07
1865,2.2592853099467902e-07
1866,1.921917061054046e-07
1867,1.4073152954097168e-07
1868,1.33870585727891e-07
1869,1.9534076045601978e-07
1870,1.7718210187922523e-07
1871,1.317025919433945e-07
1872,1.8323437700473733e-07
1873,1.652137200380821e-07
1874,1.577296870891587e-07
1875,1.556255426748976e-07
1876,2.515142227821343e-07
1877,1.465801346967055e-07
1878,1.3889903982544638e-07
1879,1.6800645141756831e-07
1880,1.906100379756026e-07
1881,1.520006662758533e-07
1882,1.583981656949618e-07
1883,1.8010115354627487e-07
1884,1.3797546216665069e-07
1885,1.1344318551209653e-07
1886,1.3745878391091537e-07
1887,1.0642147429962279e-07
1888,1.198376224920139e-07
1889,1.0838686392844465e-07
1890,1.1928983667530701e-07
1891,1.0581205600601606e-07
