year,des_DET airs_NOUN,des_DET chères_ADJ
1800,1.9305169658423438e-06,0.0
1801,1.514432067750704e-06,1.4287095950749062e-08
1802,1.609007057368217e-06,0.0
1803,1.7045964781914336e-06,1.950339223455444e-09
1804,2.031861363605003e-06,4.943701892301533e-09
1805,1.6289689126480766e-06,0.0
1806,2.4321286673512077e-06,1.729001475325731e-08
1807,1.6853974180719433e-06,0.0
1808,1.8400520644945573e-06,0.0
1809,1.6468332475483294e-06,0.0
1810,2.5975406430234216e-06,4.680253518074551e-09
1811,2.2062274780410007e-06,5.0141535368197765e-09
1812,1.7150148821087896e-06,5.3344164641089264e-09
1813,2.2286997882758897e-06,0.0
1814,2.0359000529879268e-06,0.0
1815,1.151714417169103e-06,0.0
1816,1.3418926556596489e-06,0.0
1817,1.6627408570002444e-06,3.113746815941454e-09
1818,1.6308170760481744e-06,4.768470951432846e-09
1819,1.495726777989148e-06,1.035105001712111e-09
1820,1.940169710223927e-06,1.1866481131050932e-09
1821,1.4900709235377008e-06,9.86148829262845e-10
1822,1.6903187969319333e-06,1.0025615893027862e-09
1823,1.6691858242268154e-06,4.941343334508019e-09
1824,1.5318003860897988e-06,0.0
1825,1.7681329573804305e-06,8.805443041381977e-10
1826,1.4621254500468694e-06,8.807984341885344e-10
1827,1.1825761010442193e-06,9.217273055917019e-10
1828,1.3740107824844472e-06,1.8344602503717056e-09
1829,1.3717082136821546e-06,0.0
1830,1.652151127018442e-06,0.0
1831,1.4437456314908559e-06,0.0
1832,1.6290083664216581e-06,0.0
1833,1.692368128303201e-06,0.0
1834,1.4617875230271693e-06,9.334530925997342e-10
1835,2.072286044096927e-06,0.0
1836,1.4785650712667575e-06,0.0
1837,1.4423708147859315e-06,6.957890930081589e-10
1838,1.5433235649453536e-06,0.0
1839,1.7059199706181971e-06,0.0
1840,1.4790416997811917e-06,0.0
1841,1.596790447422336e-06,0.0
1842,1.6992035796192795e-06,1.341653010911159e-09
1843,1.7130041811697083e-06,1.1813822142769936e-09
1844,1.6449218165348611e-06,1.6465684371524958e-09
1845,1.343718853519249e-06,0.0
1846,1.5087050151407766e-06,0.0
1847,1.3671822181038351e-06,0.0
1848,1.5519232903216107e-06,0.0
1849,1.539298523312027e-06,0.0
1850,1.2220192786571715e-06,0.0
1851,1.2756989651308004e-06,0.0
1852,1.5840156546431672e-06,7.812654523320361e-09
1853,1.6166019918273378e-06,0.0
1854,1.4360816216196781e-06,0.0
1855,1.7979903113030105e-06,4.776243400783642e-09
1856,1.812533945155792e-06,3.1063134287023786e-09
1857,1.770035183312757e-06,9.763018171682347e-10
1858,1.914895452870269e-06,5.872411001917044e-09
1859,1.8591524533206893e-06,5.092173349652285e-10
1860,1.9251635201555928e-06,3.204028820036342e-09
1861,1.9288291834840265e-06,0.0
1862,1.8026765253864596e-06,1.0843167252971853e-08
1863,1.7641001193169359e-06,3.496234635136375e-09
1864,1.7898718951414594e-06,4.794727948009836e-10
1865,1.7490633963390678e-06,1.4120533631256649e-09
1866,1.8270376607176786e-06,5.838735717134114e-09
1867,1.8125251433076528e-06,9.7056229719783e-10
1868,1.8361512310605121e-06,1.975949626142892e-09
1869,1.8352264561372067e-06,4.395167341186834e-09
1870,1.6852369242315035e-06,0.0
1871,1.6154811071089625e-06,0.0
