year,vos_DET armes_NOUN,vos_DET charmes_NOUN
1800,4.370388744234788e-07,5.72237944140852e-07
1801,8.619880809135338e-07,9.762848662830947e-07
1802,5.39319501058344e-07,5.437951813291875e-07
1803,4.700317575156987e-07,7.235758374690704e-07
1804,5.883005194107227e-07,8.577322514469188e-07
1805,7.391481986473991e-07,5.9131856300354e-07
1806,6.022688374685004e-07,5.503987807742305e-07
1807,7.288205097211176e-07,5.466153716326971e-07
1808,6.322346361997688e-07,7.953919620717897e-07
1809,7.996968136581017e-07,6.280105004918823e-07
1810,8.073437314237708e-07,8.986086594831022e-07
1811,5.565710523569578e-07,7.546301112881793e-07
1812,5.227727939427496e-07,3.867452007533245e-07
1813,6.41290363034841e-07,7.160596879884906e-07
1814,8.590428883792356e-07,3.492811515570793e-07
1815,6.743058715841244e-07,2.859056915660574e-07
1816,4.4266234056067333e-07,3.4995819042649146e-07
1817,6.320905967527324e-07,7.53526746777311e-07
1818,6.973888622141544e-07,5.877140405452508e-07
1819,8.684530783398259e-07,5.900098756228545e-07
1820,1.1000227857493883e-06,9.11345779286421e-07
1821,1.6705360863511487e-06,6.922764672623316e-07
1822,1.223125195792818e-06,6.416394029429284e-07
1823,8.232278077002775e-07,6.522573574585522e-07
1824,1.0661128406752596e-06,5.818988917383194e-07
1825,8.541279719054273e-07,5.934868383405956e-07
1826,7.522018492522875e-07,4.712271532980594e-07
1827,6.793130178373019e-07,3.106220898274614e-07
1828,6.56736777848721e-07,4.164224876035405e-07
1829,4.3637466395907154e-07,3.5835875866752076e-07
1830,6.919622199674791e-07,4.5295868211781e-07
1831,6.439167954397362e-07,3.445656542311326e-07
1832,7.468542868593886e-07,3.869571294501384e-07
1833,5.490640102578936e-07,3.208665084741824e-07
1834,6.011437641006978e-07,2.67901032913187e-07
1835,7.510146318168154e-07,3.2067493549448045e-07
1836,6.794678197863391e-07,3.3603748939015077e-07
1837,7.208375150113966e-07,2.1778198000532711e-07
1838,8.04169410173472e-07,2.8278486663424474e-07
1839,7.257151084516522e-07,2.181340250650976e-07
1840,8.038547232303017e-07,1.840840013755951e-07
1841,4.937402060534168e-07,1.9839495379869732e-07
1842,6.909513086128527e-07,1.94539692799367e-07
1843,5.582030837558705e-07,1.8665839585096933e-07
1844,5.878249123014712e-07,1.9209965129718398e-07
1845,5.474203730315708e-07,2.1204865596757827e-07
1846,5.327596426241143e-07,1.569006393697947e-07
1847,5.188281084755886e-07,8.790954275639251e-08
1848,7.932588710346522e-07,1.2952807537658373e-07
1849,6.40187327149988e-07,2.3713744745634813e-07
1850,5.960738427290835e-07,2.1317448251068072e-07
1851,5.249843111343466e-07,1.2576405739039842e-07
1852,3.8737745011729885e-07,1.907589757266237e-07
1853,5.440430035363875e-07,1.528814550511015e-07
1854,5.211251714598575e-07,2.784876151906701e-07
1855,4.643569866402686e-07,2.41465638595173e-07
1856,4.0640936482816414e-07,2.298672017175818e-07
1857,5.779706846453792e-07,2.0453522742158725e-07
1858,5.936028877329136e-07,2.207047895552705e-07
1859,4.812103719942229e-07,1.6244032807755104e-07
1860,5.863372667391786e-07,1.807987712876269e-07
1861,5.418642059495937e-07,1.4430849426538828e-07
1862,5.801094378199423e-07,2.177669395919679e-07
1863,5.144459285233438e-07,2.2725524484457083e-07
1864,4.0179819205121703e-07,2.09050145194567e-07
1865,4.796274337692807e-07,1.8733241269330847e-07
1866,4.452035717861236e-07,1.425624553963445e-07
1867,3.6347558562965787e-07,1.4849602614219748e-07
1868,3.7641839867319504e-07,1.491841938872085e-07
1869,4.2681958412060794e-07,1.6701635630056444e-07
1870,3.801674282044587e-07,1.9094383096884826e-07
1871,6.308979187963359e-07,1.720630740109641e-07
1872,5.636120388174959e-07,1.2457519238395776e-07
1873,3.84301492850625e-07,1.2211449051946488e-07
1874,3.8954451930806044e-07,9.320390459421901e-08
1875,4.4799556597752144e-07,2.0082560148182438e-07
1876,3.119743530177743e-07,1.3603533055572825e-07
1877,4.848895684972376e-07,2.3749692878993756e-07
1878,4.2877530503915295e-07,1.7151012476901428e-07
1879,2.706431070365056e-07,1.8572348370327063e-07
1880,3.2987731124478614e-07,1.8675932000888906e-07
1881,3.667539081320115e-07,1.882577098655247e-07
1882,3.5406647569402594e-07,1.8435417281637e-07
1883,2.5024582761545844e-07,2.148575237725936e-07
1884,3.168814481924187e-07,1.6570259919745922e-07
1885,2.2430812940399392e-07,1.0635299241279483e-07
1886,2.6265598584984673e-07,1.6908074940147344e-07
1887,2.474462426071966e-07,9.271073286853948e-08
1888,2.827914122871533e-07,1.046201432153282e-07
1889,2.750394925143951e-07,1.2154365558458835e-07
1890,2.0515230048090416e-07,7.668631951673888e-08
1891,2.1226152835396306e-07,9.688814728292527e-08
1892,2.3820346406466797e-07,1.466831855978512e-07
1893,2.7897627408179915e-07,7.266931634219986e-08
1894,2.243348058428296e-07,7.309785732267926e-08
1895,2.8648603578318443e-07,6.740848057518178e-08
1896,2.529825424701926e-07,6.427761611860205e-08
1897,2.3831258744166917e-07,7.924330280850711e-08
1898,2.868785937693019e-07,8.600699397121048e-08
1899,2.216558954160064e-07,8.954676822270358e-08
1900,2.1542870409785309e-07,7.423205850010106e-08
1901,1.7995739476361905e-07,5.868175995127345e-08
1902,1.7087787895775364e-07,6.039649136369007e-08
1903,1.8360748388346337e-07,9.288378866045832e-08
1904,2.3325873055313195e-07,5.750849041419315e-08
1905,2.2088049167479085e-07,1.0579556253276223e-07
1906,1.9445016974373175e-07,7.304742211111659e-08
1907,1.7537096175246347e-07,7.919979050363679e-08
1908,1.777922893353434e-07,8.742272639139514e-08
1909,1.875835369258283e-07,7.811396507406698e-08
1910,1.688751609663086e-07,1.0421093821211258e-07
1911,1.7929660356408306e-07,1.0747155698709321e-07
1912,2.333820674493836e-07,7.918320310551508e-08
1913,1.7552896203198998e-07,7.954484448902122e-08
1914,2.2233188756715094e-07,9.576343384942732e-08
1915,2.3325908304894227e-07,4.5944971382994026e-08
1916,2.6260034280412015e-07,3.84561182897869e-08
1917,2.5222775690281196e-07,8.444146981645417e-08
1918,2.366193525560334e-07,5.513460621386912e-08
1919,2.4492876704584887e-07,9.576162440794178e-08
1920,1.7870466173519617e-07,7.875120733302765e-08
1921,1.878041420155796e-07,1.2343578781326414e-07
1922,1.4829650929470972e-07,7.96817036796682e-08
1923,1.9639504600377222e-07,1.0403628980526491e-07
1924,2.3333840015737906e-07,1.0184383092415317e-07
1925,2.0896537478165556e-07,9.128487743481628e-08
1926,1.5270209952067404e-07,1.5381671047975942e-07
1927,2.441680200249152e-07,1.8507712828963463e-07
1928,1.4511072787826151e-07,1.3482728344893502e-07
