year,beaux_ADJ ans_NOUN,beaux_ADJ chants_NOUN
1800,3.4900224932243873e-07,5.973912209356058e-08
1801,2.1668761007731518e-07,1.0239084957675004e-07
1802,9.175144555229053e-08,6.265952379180817e-08
1803,1.8723255834629526e-07,4.6808139586573816e-08
1804,1.359518080334965e-07,1.2359254242255702e-07
1805,2.302730877090653e-07,4.5486043376286034e-08
1806,5.4751712497136396e-08,1.613734639249742e-07
1807,1.3095993267597805e-07,9.964342950752325e-08
1808,1.3369836437959748e-07,3.852325747288887e-08
1809,7.454800510231507e-08,1.0843346842648316e-07
1810,1.942305232205399e-07,1.708292529656319e-07
1811,1.0028307428910921e-07,9.025476543911282e-08
1812,1.6269970615212515e-07,7.20146218213813e-08
1813,2.1568062891219597e-07,1.4378707646756084e-07
1814,8.181360300341112e-08,1.3845379953636439e-07
1815,3.506390555685357e-08,4.5852800667489646e-08
1816,3.7081662185300956e-08,6.025770460382773e-08
1817,1.4634609613040084e-07,1.5413046128287533e-07
1818,9.775365583664097e-08,7.27191817873063e-08
1819,1.4698491668241331e-07,9.937008371707634e-08
1820,8.42520151422832e-08,9.01852530432734e-08
1821,1.0453177878844144e-07,9.565643921405353e-08
1822,1.4938167680611514e-07,8.120748873352568e-08
1823,1.2452186126665765e-07,6.81905376609393e-08
1824,1.717907025522436e-07,1.1284291190349904e-07
1825,1.3912600138610287e-07,1.215151144151605e-07
1826,1.1802698907104059e-07,1.153845943235865e-07
1827,5.7147094167930845e-08,7.834682236307344e-08
1828,9.264024214417077e-08,7.429564163885516e-08
1829,4.9724420136953995e-08,7.287199821348622e-08
1830,5.635891398014792e-08,1.054120417620652e-07
1831,9.978371906527173e-08,9.510635834431014e-08
1832,1.461236678323985e-07,1.0012177398266431e-07
1833,1.3437009727113036e-07,9.614411311531512e-08
1834,5.2273371409228275e-08,8.401077877806529e-08
1835,6.731148260996633e-08,9.983276072489389e-08
1836,5.779845224651581e-08,1.1223652762737402e-07
1837,5.6358917532861597e-08,6.54041727443655e-08
1838,8.521418237705802e-08,7.827080850120183e-08
1839,3.775396706373613e-08,1.2444826325008762e-07
1840,3.05745047057826e-08,5.6053259811505995e-08
1841,7.255219713897532e-08,7.126809009605495e-08
1842,5.836190553054621e-08,4.494537719779146e-08
1843,3.721353891705803e-08,6.615740488769006e-08
1844,3.841993034825464e-08,7.848642269436823e-08
1845,5.1896119401817487e-08,1.2946128435942228e-07
1846,5.678866443759034e-08,8.664662232149567e-08
1847,2.6426796750911308e-08,8.46736085691191e-08
1848,4.827133182061516e-08,5.551202875153649e-08
1849,3.854530916669319e-08,1.0139092410099693e-07
1850,6.381656447729256e-08,9.029364633761361e-08
1851,2.579775504329973e-08,6.642921590582773e-08
1852,3.2552726736412296e-08,9.244974563671349e-08
1853,3.822036376277538e-08,9.734248607173868e-08
1854,3.4291385730966795e-08,7.429800064073788e-08
1855,2.4942604426314574e-08,9.817833301895007e-08
1856,4.34883880018333e-08,8.076415269897552e-08
1857,4.5886185517929334e-08,1.1715621894836659e-07
1858,4.3553715300959084e-08,8.368186144025458e-08
1859,2.2914779407301467e-08,1.5021910826362728e-07
1860,1.9224172476128842e-08,1.4189269847975083e-07
1861,6.602348889828136e-08,8.630213699234446e-08
1862,6.912519268098549e-08,8.448634503110952e-08
1863,3.795911851511846e-08,1.0338865052972324e-07
1864,4.6029388300894425e-08,1.0788137672079756e-07
1865,2.9182434246877165e-08,8.142841068092821e-08
1866,4.135770836910524e-08,1.0461067745382024e-07
1867,3.299911810472622e-08,1.218055700746845e-07
1868,3.754304245262574e-08,1.34858566980256e-07
1869,4.6393431318847433e-08,1.2257632420187292e-07
1870,3.096386436141074e-08,9.518520727169744e-08
1871,2.973929724703339e-08,1.1152236112366154e-07
1872,2.116568786902917e-08,7.801067880564005e-08
1873,3.95076291681562e-08,5.566984029314881e-08
1874,1.4936523129449597e-08,9.43988212043223e-08
1875,3.3757011408397375e-08,9.326089411842986e-08
1876,5.38095328295185e-08,1.3543072441279946e-07
1877,6.741449709579683e-08,8.65874270061795e-08
1878,4.7104890654736664e-08,1.0447623566278708e-07
1879,4.948553566919145e-08,1.3684888244824833e-07
1880,4.941741593711413e-08,1.078198152981713e-07
1881,3.834879080955034e-08,7.111957955885373e-08
1882,5.856738738430067e-08,7.454030992448679e-08
1883,4.107570461542309e-08,8.847074184359371e-08
1884,3.4328824227713994e-08,1.1024833668216161e-07
1885,3.93183761104865e-08,6.381179673553561e-08
1886,8.002295004416737e-08,7.679621916167889e-08
1887,1.2404957061562527e-08,5.941321390423582e-08
1888,2.0924028731883482e-08,8.179392807505792e-08
1889,2.6313573542324775e-08,9.648310594911891e-08
1890,2.8839300725280737e-08,8.913965388046563e-08
1891,1.7210394887001712e-08,7.967774706685304e-08
1892,1.5044429702015805e-08,8.462491507543746e-08
1893,1.4164357686752282e-08,9.237624709612646e-08
1894,1.9534772022211655e-08,6.742646974089439e-08
1895,2.768562623600701e-08,1.0051086007933918e-07
1896,2.6536630670648265e-08,6.250850503874972e-08
1897,1.5732126712464378e-08,5.884980680548324e-08
1898,2.9423445013776472e-08,8.487532454637403e-08
1899,9.949641111006713e-09,7.075300345604774e-08
1900,3.9971109089265155e-08,6.333085167398167e-08
1901,8.38310842965484e-09,5.756401222356544e-08
1902,1.178468167495339e-08,4.910283735171106e-08
1903,1.7820726228023887e-08,7.776317545449274e-08
1904,1.4511488011237361e-08,6.23456486437135e-08
1905,3.4061010012464976e-08,7.018632430799698e-08
1906,3.600929110447737e-09,7.201858664984684e-08
1907,2.7771354993433306e-08,9.308546822239805e-08
1908,1.080505640516094e-08,6.630375537497457e-08
1909,3.355599886845084e-08,8.746563651129691e-08
1910,2.672075360976578e-08,1.1757131801459764e-07
1911,1.702519725199636e-08,1.0055507004835817e-07
1912,2.5005221004903433e-08,9.168581271978837e-08
1913,1.3787773589513108e-08,1.3840802637332672e-07
1914,2.4777952134513725e-08,8.906668824693043e-08
1915,1.1780762143587253e-08,8.010918151057922e-08
1916,6.592477230782379e-09,1.0657838345196069e-07
1917,1.2063066989753679e-08,1.337903796638784e-07
1918,2.067547733020092e-08,1.0108011139209339e-07
1919,3.591060959706738e-08,1.178604591700605e-07
