year,tes_DET arts_NOUN,tes_DET chars_NOUN
1800,4.0874138740321087e-08,3.144164395507687e-08
1801,7.143547975374531e-09,1.1905912700171939e-08
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,1.1702035340732664e-08,5.851017448321727e-09
1804,3.707776552452913e-08,1.730295728918918e-08
1805,4.5486043376286034e-08,5.970043304159844e-08
1806,6.916005901302924e-08,0.0
1807,3.9857372513552036e-08,1.4234775580490577e-08
1808,2.945896149242344e-08,0.0
1809,2.259030518203531e-08,0.0
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,6.769107141479935e-08,1.504245972228091e-08
1812,2.1337665412346496e-08,0.0
1813,8.627224934443234e-09,2.8757416448144113e-09
1814,3.776012391654149e-08,0.0
1815,1.888056444521169e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.71256075987003e-08,0.0
1818,2.8610826152686286e-08,1.1921177378582115e-09
1819,1.7596785029105888e-08,6.210630232317271e-09
1820,2.254631326081835e-08,4.746592452420373e-09
1821,4.5362846701202386e-08,4.930744257336528e-09
1822,3.8097340393505874e-08,1.7043547018147365e-08
1823,4.5460358144566726e-08,7.906149512848515e-09
1824,1.2631669044083083e-08,7.57900142644985e-09
1825,2.0252519883356968e-08,1.7610886082763955e-09
1826,2.8185549671988497e-08,7.046387362485973e-09
1827,3.963427458453239e-08,2.7651818612639545e-09
1828,3.210305438150485e-08,1.1006761113652175e-08
1829,1.3717082136821546e-08,1.714635211591542e-09
1830,1.1480519424011959e-08,7.305785310052215e-09
1831,1.247296466111436e-08,4.677361609140007e-09
1832,1.2176972319366541e-08,8.117981842303834e-09
1833,9.266902467608418e-09,2.3167257001688313e-09
1834,3.733812548034621e-08,7.467624740797874e-09
1835,9.832014313815307e-09,8.31939672707449e-09
1836,1.545772521094335e-08,7.392825018825988e-09
1837,1.043683617307778e-08,7.653680356156656e-09
1838,1.7674053331973028e-08,6.943378316748294e-09
1839,1.8876982754711946e-08,8.38977065598101e-09
1840,2.420481626241866e-08,7.0066574764382494e-09
1841,2.118780972892864e-08,8.346713542550788e-09
1842,1.542901006956754e-08,2.0124795163667386e-09
1843,1.6539350389255247e-08,1.4767277400906664e-08
1844,9.879410234336916e-09,2.195424508855126e-09
1845,1.060243309813913e-08,6.696273757711424e-09
1846,1.6978053185567887e-08,1.1709002656346001e-09
1847,1.7258315665458213e-08,1.4561703842730367e-08
1848,1.3676876908785829e-08,1.6090443422100975e-09
1849,9.217356433666168e-09,1.5920887719289567e-08
1850,1.4935791270431764e-08,6.1100964288129944e-09
1851,2.0638204034639784e-08,1.2898877521649865e-09
1852,1.6927417911816178e-08,6.510545436100301e-10
1853,1.3138250265498641e-08,5.3747388761848924e-09
1854,8.313063126763609e-09,1.558699391779328e-09
1855,1.6982198758341838e-08,5.837630823180007e-09
1856,1.6049286344355096e-08,1.1389816201301528e-08
1857,1.8061582895967376e-08,9.274867152075927e-09
1858,1.908533653338651e-08,5.872411001917044e-09
1859,1.6804171831807935e-08,2.036869339860914e-09
1860,1.1900678165144285e-08,5.492620580582752e-09
1861,1.0375120096384194e-08,5.659156698811785e-09
1862,1.6716550060857926e-08,4.9697850279528666e-09
1863,1.598278720482682e-08,1.4983863039219614e-09
1864,2.157627665422268e-08,7.1920918109924514e-09
1865,1.3649848362717876e-08,1.2237795665726026e-08
1866,1.3623716654809215e-08,1.2650593461671633e-08
1867,1.2132028714972876e-08,5.82337378318698e-09
1868,2.222943340512984e-08,2.4699371437009177e-09
1869,9.278686374791789e-09,1.1720445947105418e-08
1870,2.2936195609446486e-08,1.204150201772336e-08
1871,4.248470908407853e-09,0.0
1872,1.874675159552197e-08,3.0236697590169115e-09
1873,1.197200905078688e-08,5.986004469882289e-10
1874,4.779687479139483e-09,1.7923826867161097e-09
1875,9.15444320348513e-09,3.432916173551348e-09
1876,2.237025387152869e-08,9.673623679873344e-09
1877,8.040260901509555e-09,0.0
1878,5.4351798062235446e-09,6.039088673581716e-10
1879,3.6655952717623563e-09,2.443730107160036e-09
1880,1.6686400705623328e-08,1.2835692508872398e-09
1881,8.367008974552448e-09,9.064259565150223e-09
1882,4.658769592325029e-09,1.0648616211028639e-08
1883,1.2006744043446815e-08,1.2638677882037541e-09
1884,7.922036360241691e-09,8.582206056928499e-09
1885,8.379326343899152e-09,8.379326565943757e-09
1886,6.453463929911862e-09,4.5174246565693466e-09
1887,5.223139698529167e-09,1.3057849246322917e-09
1888,1.1413106015822905e-08,0.0
1889,3.759081934617825e-09,1.566284169030041e-08
1890,6.554386478008212e-09,1.0487018364813139e-08
1891,3.187110020341777e-09,8.92390783491237e-09
1892,5.014809900671935e-09,8.149066310636499e-09
1893,2.463366621796581e-09,2.3401982574000613e-08
1894,6.93169299736951e-09,6.301539290376468e-09
1895,3.0093072478365457e-09,7.22233739480771e-09
1896,4.7176231254830725e-09,1.4152869098893461e-08
1897,2.913356778044829e-09,6.992056267307589e-09
1898,5.6583546736987955e-09,1.13167097914868e-09
1899,2.7637891975018647e-09,3.8693048765026106e-09
1900,9.34389543516545e-09,2.595526460424935e-09
1901,7.265360812969135e-09,5.588738916095792e-10
1902,3.437198692335386e-09,0.0
1903,5.940242298052567e-09,2.7001101354784396e-09
1904,3.7622376325430196e-09,1.0749250378694342e-09
1905,8.257214578755168e-09,5.160758931310738e-09
1906,4.629766070518571e-09,3.600929110447737e-09
1907,7.714265004565846e-09,6.685696329888913e-09
1908,9.331639017062798e-09,8.840500331785961e-09
1909,3.300590190047359e-09,2.2003934230241384e-09
1910,5.3441505665219324e-09,5.344150677544235e-10
1911,6.3844490805209375e-09,1.5961122423746588e-09
1912,2.6047105583515417e-09,6.772247651554153e-09
1913,6.8938866282231e-09,2.121195885607108e-09
1914,5.3573948055607445e-09,6.696743604095445e-09
1915,2.3561523843085297e-09,7.068456930880984e-09
1916,1.6481192854911342e-08,1.0987462051303964e-09
1917,3.2899273305631027e-09,3.289927441585405e-09
1918,5.743188147278033e-09,2.2972752589112133e-09
1919,6.4454939163738345e-09,4.603924186330488e-09
1920,1.438724073210551e-08,5.300562211374427e-09
1921,3.7863738810983705e-09,4.543648568500203e-09
1922,2.951174138399182e-09,5.164555005876537e-09
1923,1.4862327368803108e-08,7.431163684401554e-09
1924,7.734974438733389e-09,1.1602462102189293e-08
1925,9.898360131543882e-09,8.798542339150117e-09
1926,4.458455493683289e-09,4.458455382660986e-09
1927,1.1149224765638621e-08,1.1149224876660924e-09
1928,1.1426041335305115e-08,1.1426041224282812e-09
1929,8.912325100141061e-09,4.4561625500705304e-09
1930,1.57554050916886e-08,7.352522590764465e-09
1931,7.983749661377715e-09,1.1405356659111021e-09
1932,4.383814644626227e-09,1.0959536611565568e-09
1933,1.2617728861741284e-08,1.1470662197865522e-09
1934,2.3963160344919743e-09,1.1981580172459871e-09
1935,0.0,3.590485242455088e-09
1936,8.487300195980652e-09,1.4549657478823974e-08
1937,2.5182236296217297e-09,2.5182236296217297e-09
1938,1.2965214457594243e-09,3.8895642262559704e-09
1939,6.117620188206274e-09,1.5294050470515685e-09
1940,1.2678914584896006e-08,2.5357829169792012e-09
1941,0.0,8.854508237732261e-09
1942,9.102635090130207e-09,0.0
1943,1.1612940831184915e-08,1.1612940831184915e-08
1944,3.2131861615880553e-09,9.639558484764166e-09
1945,4.357008087652048e-09,0.0
1946,5.568441707737293e-09,5.568441707737293e-09
1947,1.1920870957027319e-09,4.7683483828109274e-09
1948,7.610321706152945e-09,2.174377566888097e-09
1949,1.178041031391075e-08,3.9268033269479474e-09
1950,2.1270722960764488e-09,7.444753258312176e-09
1951,6.396841278899501e-09,1.0661401761424827e-09
1952,5.272401959466322e-09,3.1634410646574906e-09
1953,4.30953106533849e-09,4.30953106533849e-09
1954,2.9317608341017376e-09,1.3681550115052232e-08
