year,aux_ADP airs_NOUN,aux_ADP chers_ADJ
1800,1.5720823043352539e-07,3.144164484325529e-09
1801,1.7620750725200196e-07,2.6193008650921e-08
1802,2.0364345232337655e-07,2.4616241489638924e-08
1803,2.262393496987869e-07,1.3652374342143503e-08
1804,1.6808586700278738e-07,1.9774808235339947e-08
1805,1.478296409729296e-07,1.7057265822018053e-08
1806,2.4494187300660997e-07,2.0171683878800195e-08
1807,8.54086508184082e-08,2.8469551160981155e-09
1808,7.931259204951857e-08,1.8128591960930862e-08
1809,1.3102376783535874e-07,2.0331274441787173e-08
1810,1.8721014161116045e-07,0.0
1811,1.1783261077980001e-07,7.521229861140455e-09
1812,9.601949813031752e-08,2.6672083208723052e-08
1813,1.35159851311073e-07,2.0130190847567064e-08
1814,1.384537871018665e-07,1.2586708120210233e-08
1815,4.855002422310406e-08,5.394447111228828e-09
1816,9.270415368689555e-08,3.476405829871965e-08
1817,1.4945985393755024e-07,1.0898113522728181e-08
1818,1.1563542035020191e-07,1.7881766511962383e-08
1819,1.8528379808202544e-07,8.280840013696888e-09
1820,1.6257079860082513e-07,2.254631326081835e-08
1821,1.3608853222102368e-07,9.861488403650753e-09
1822,1.5639960793123464e-07,3.0076847679083585e-09
1823,9.388552868472289e-08,1.9765373338032077e-08
1824,1.2800091475639874e-07,5.894778887238772e-09
1825,1.1799293964109836e-07,8.805443485471187e-09
1826,1.2595417842042878e-07,3.082794441944259e-08
1827,6.267745611410191e-08,9.217273166939322e-09
1828,1.0823315454988602e-07,2.7516904310687096e-09
1829,9.51622528555518e-08,2.3147575411996968e-08
1830,1.7533884189013804e-07,1.5655253093882493e-08
1831,1.309661297188569e-07,2.4945929544273326e-08
1832,3.125422969318947e-07,1.7588959622116818e-08
1833,1.3089500561225265e-07,1.1583628278799551e-08
1834,1.1388127951761362e-07,6.534171426153534e-09
1835,1.459675971204888e-07,1.4369867074037757e-08
1836,1.196293524241554e-07,2.8899226123257904e-08
1837,1.0715152298779174e-07,1.948209416013924e-08
1838,1.205622943700746e-07,1.7674054220151447e-08
1839,1.3703291867894762e-07,2.7965899818127582e-08
1840,1.2038711361128662e-07,2.2293909995863004e-08
1841,8.154096420298629e-08,1.926164472365599e-08
1842,1.3483613425790963e-07,9.391571076378114e-09
1843,1.3290549683020458e-07,1.772073249250994e-08
1844,1.3007890231619967e-07,1.4819115712327857e-08
1845,8.816759988761191e-08,1.2834524387717039e-08
1846,9.777017462297977e-08,2.2832555623963913e-08
1847,8.46736130100112e-08,1.77976389181822e-08
1848,1.3757328987118456e-07,3.942158599556933e-08
1849,9.133561951202296e-08,1.8434712867332337e-08
1850,1.1948632749891885e-07,3.1229383523623255e-08
1851,8.513259319720134e-08,1.8703373294570724e-08
1852,1.367214490510804e-07,1.3672145415810633e-08
1853,9.913406562311877e-08,1.7318601441829173e-08
1854,7.79349695889664e-08,1.2989161579657349e-08
1855,1.2895856826844465e-07,3.02495415382964e-08
1856,9.629572161884425e-08,1.6049285789243584e-08
1857,1.0836950115056254e-07,1.7573432598005923e-08
1858,1.1598011928626306e-07,1.761723389392955e-08
1859,1.5632971717138844e-07,2.0877910955618972e-08
1860,1.2587255593388136e-07,2.0139609535618774e-08
1861,1.6788831125325032e-07,2.122183700992153e-08
1862,9.307051873630456e-08,2.078273733663316e-08
1863,1.143768160183356e-07,3.696019545973428e-08
1864,1.2466292620416652e-07,3.691940397843041e-08
1865,1.0355057483701913e-07,3.247722668575648e-08
1866,1.2942529759030208e-07,3.162648393173484e-08
1867,1.1889387963037734e-07,2.523461972714358e-08
1868,9.682153423451467e-08,2.3217407330022866e-08
1869,1.1573940161824225e-07,3.467298514969741e-08
1870,1.0665330840708975e-07,2.6376624440160867e-08
1871,4.99195342840153e-08,2.761506068260644e-08
1872,1.1066630678513434e-07,5.019291737795584e-08
1873,1.4725570851581438e-07,2.9331421014244796e-08
1874,1.0216581447508588e-07,3.465273329394947e-08
1875,1.0127102711976477e-07,4.0622842589765895e-08
1876,8.283040520140617e-08,2.7811667635546655e-08
1877,1.0576035047726862e-07,2.7213190589847613e-08
1878,1.600358487952036e-07,2.2948537181655126e-08
1879,1.4601287046112077e-07,4.3376209291068335e-08
1880,8.214843538745242e-08,4.364135519629997e-08
1881,1.1295462259974798e-07,2.649552877098671e-08
1882,1.2844893282348835e-07,2.5956001792337702e-08
