year,tes_DET armes_NOUN,tes_DET charmes_NOUN
1800,2.0751485152459281e-07,2.358123332157902e-07
1801,1.1905912811194241e-07,3.238408190497921e-07
1802,1.096541666356643e-07,3.714814624800056e-07
1803,2.8669986562590566e-07,3.7836581512351586e-07
1804,2.348258347772969e-07,4.6223611782636453e-07
1805,1.1371510977298271e-07,2.7007338854190266e-07
1806,1.9019015873311673e-07,2.9393025080537427e-07
1807,1.6512339096053097e-07,2.9893027431171504e-07
1808,2.3113955016640375e-07,3.6710399031747443e-07
1809,2.484933565582992e-07,2.3945723803819874e-07
1810,3.3697824308731583e-07,2.4103306062173147e-07
1811,1.8301660542618947e-07,5.415285819765359e-07
1812,1.413620380752434e-07,2.4538314979949405e-07
1813,1.8404746038314101e-07,3.5084048022326897e-07
1814,1.4789382873914292e-07,1.8250727862323401e-07
1815,1.7531953111493692e-07,1.240722899975566e-07
1816,9.733936501277185e-08,1.5064425262778514e-07
1817,1.2454986952903369e-07,3.16045289494582e-07
1818,1.7404918861707586e-07,1.6212801501325202e-07
1819,2.536007333020507e-07,2.7223261211961614e-07
1820,2.219031909334035e-07,4.188867919197037e-07
1821,2.011743611696204e-07,3.135953177135775e-07
1822,3.0076849100169056e-07,3.0177103838013863e-07
1823,1.5120510643562568e-07,2.9944541068971375e-07
1824,2.2989637038506316e-07,2.8631782456045585e-07
1825,2.8089364612071677e-07,2.5447729967709165e-07
1826,1.9641804982484246e-07,3.3206101779370556e-07
1827,1.3088527128779504e-07,1.8987581995588698e-07
1828,2.1279738859902864e-07,1.62349725940647e-07
1829,1.4660130498445056e-07,1.9032450709888238e-07
1830,2.6300827626890566e-07,3.0997401423427107e-07
1831,1.0446107889805489e-07,2.2919072306670785e-07
1832,1.7724260303886297e-07,1.5559465382786186e-07
1833,1.0656937909914177e-07,2.0734695560520322e-07
1834,2.0069240980191694e-07,2.5203232212334115e-07
1835,1.8983350713597247e-07,1.7773256644204594e-07
1836,1.5592140056863713e-07,1.767557278320453e-07
1837,1.4402834835891554e-07,1.13413621827263e-07
1838,1.5464796065955966e-07,1.4076121601647174e-07
1839,1.4612182974715893e-07,1.3283802691166358e-07
1840,1.305786227479011e-07,9.36344221602603e-08
