year,aurez_VERB assez_ADV,aurez_VERB chassé_VERB
1800,7.545995117652637e-08,0.0
1801,6.429193177837078e-08,0.0
1802,7.832440473976021e-08,1.3427040812530322e-08
1803,6.046051481689574e-08,1.950339223455444e-09
1804,5.19088700912107e-08,9.887403784603066e-09
1805,4.264316544322355e-08,2.55858996212055e-08
1806,7.780506905419315e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,2.0331274441787173e-08,2.4849335034105025e-08
1810,7.956430891908894e-08,0.0
1811,6.016983888912364e-08,0.0
1812,6.401299401659344e-08,0.0
1813,5.463909147351842e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.506390555685357e-08,0.0
1816,3.244645441213834e-08,0.0
1817,5.1376822796100896e-08,7.784366928831332e-09
1818,3.695565098382758e-08,1.1921177378582115e-09
1819,3.726378139390363e-08,1.9666995143552413e-08
1820,4.2719332071783356e-08,1.542642635854463e-08
1821,4.7335142028259725e-08,3.550135829755163e-08
1822,5.413832582235045e-08,0.0
1823,5.336650943377208e-08,7.906149512848515e-09
1824,3.03160057057994e-08,1.431589158329416e-08
1825,5.2832657360113444e-08,4.4027217427355936e-09
1826,8.279505436803447e-08,2.642395191543301e-09
1827,3.410390903013649e-08,9.217273055917019e-10
1828,2.0179061976932644e-08,2.2930752408001354e-08
1829,2.2290258527846163e-08,8.573175946935407e-09
1830,4.174734158368665e-08,3.1310507520032616e-09
1831,5.456922025359745e-08,0.0
1832,8.117981309396782e-08,0.0
1833,4.9809603552830595e-08,8.108539617524002e-09
1834,4.85395617033646e-08,2.8003592777992026e-09
1835,7.563087933704082e-08,4.5378527602224494e-09
1836,6.51912728244497e-08,1.68018754465038e-08
1837,7.51452233771488e-08,6.957890930081589e-10
1838,8.39517539930057e-08,5.680945491803868e-09
1839,1.237491176198091e-07,1.3982949909063791e-08
1840,6.242294858793684e-08,1.7198159341091923e-08
1841,4.55858959469424e-08,1.926164561183441e-09
1842,6.708265232191479e-08,1.341653010911159e-09
1843,4.7255287682901326e-08,1.1813822142769936e-09
1844,6.147188713612195e-08,4.390849017710252e-09
1845,4.910600637231255e-08,8.928364714222425e-09
1846,5.678866443759034e-08,9.367202125076801e-09
1847,3.235934187273415e-08,8.629157832729106e-09
1848,4.666228647920434e-08,1.045878850192139e-08
1849,1.5920887719289567e-08,3.267971848686102e-08
1850,4.1412874907109654e-08,4.752297222410107e-09
1851,5.93348374877678e-08,2.579775504329973e-09
1852,4.492276417522589e-08,4.557382027314816e-09
1853,5.6136158832487126e-08,3.5831591027601917e-09
1854,5.0917510208137173e-08,7.79349651480743e-09
1855,4.5108965451845506e-08,6.8990182455763716e-09
1856,6.160855292591805e-08,2.5885946719483854e-09
1857,5.125584578991038e-08,3.905207268672939e-09
1858,5.529853908115001e-08,1.0766087576996597e-08
1859,6.110607841947058e-08,4.073738679721828e-09
1860,5.858795404378725e-08,2.746310290291376e-09
1861,5.94211435611669e-08,1.8863854922557266e-09
1862,6.189641510445654e-08,4.517986429419807e-09
1863,5.693867777267769e-08,7.491931519609807e-09
1864,8.582563282288902e-08,1.2945765348604255e-08
1865,6.213034708935083e-08,1.4120533631256649e-09
1866,6.3252969084715e-08,2.432806400776144e-09
1867,4.901339423213358e-08,4.85281148598915e-10
1868,6.86642493974432e-08,6.915823469455518e-09
1869,2.8812763730456936e-08,1.953407657850903e-09
1870,5.504686839685746e-08,0.0
1871,4.460894587055009e-08,0.0
1872,4.475031190054324e-08,1.8142017887967654e-09
1873,4.1303430009520525e-08,9.577607151811662e-09
1874,6.572069821686455e-08,1.1949218281515073e-09
1875,4.920513418937844e-08,1.1443054503956773e-08
1876,3.264847947548333e-08,1.813804439976252e-09
1877,1.6699003069220453e-08,4.329371083855449e-09
1878,2.8383716710322915e-08,6.6429977074733415e-09
1879,5.1929266220440695e-08,7.331190321480108e-09
1880,6.482024872411785e-08,3.8507077526617195e-09
1881,5.996356833293248e-08,6.2752567586699115e-09
1882,5.257754409626614e-08,1.7969540522244642e-08
1883,4.92908434068795e-08,1.1374810426900694e-08
1884,7.459917839014452e-08,7.2618666635548834e-09
1885,5.1565084646654213e-08,3.2228177904158883e-09
1886,3.6784744139595205e-08,1.097088819790315e-08
1887,9.466941008895446e-08,5.876032105334161e-09
1888,3.106901047544852e-08,6.340614699951175e-10
1889,2.7566601445982997e-08,5.012109394186837e-09
