year,des_DET eaux_NOUN
1800,1.2161627836348998e-05
1801,1.0810568916497232e-05
1802,1.0750584408469877e-05
1803,1.2193521158110343e-05
1804,1.1934096463050992e-05
1805,1.0493061409988513e-05
1806,8.725694257805117e-06
1807,1.0451171831959982e-05
1808,9.442730757314166e-06
1809,1.143069447095968e-05
1810,9.154575806746834e-06
1811,1.0775416043884434e-05
1812,1.0788856940280311e-05
1813,9.303023773554742e-06
1814,7.325464238761015e-06
1815,9.127404766218206e-06
1816,8.081484850208653e-06
1817,7.968077664344264e-06
1818,8.528410489816451e-06
1819,8.172153641794466e-06
1820,7.181594508409717e-06
1821,6.7215905588113856e-06
1822,8.149823329972605e-06
1823,6.7113327801848754e-06
1824,7.527632703840936e-06
1825,7.487268231187727e-06
1826,8.103345280119356e-06
1827,7.783987014065019e-06
1828,7.69739506267797e-06
1829,8.64176151793572e-06
1830,8.167867537878237e-06
1831,8.966502967666656e-06
1832,8.223515258976022e-06
1833,9.679280147167901e-06
1834,8.237723786663764e-06
1835,8.491078808958719e-06
1836,6.8820482610476574e-06
1837,7.70795137583491e-06
1838,7.458450674846517e-06
1839,6.9446324175714835e-06
1840,7.442981001304361e-06
1841,7.3110786047436704e-06
1842,6.6042869377724855e-06
1843,7.415536231292208e-06
1844,7.332169111862186e-06
1845,7.733079932847886e-06
1846,7.986125666548105e-06
1847,6.925438384541849e-06
1848,6.943831074579521e-06
1849,7.152668619170299e-06
1850,6.721785084096155e-06
1851,7.5155312018182485e-06
1852,8.450037128682197e-06
1853,7.715138671926525e-06
1854,8.09380572519558e-06
1855,8.42688534419267e-06
1856,7.945431899969435e-06
1857,8.011532955265466e-06
1858,7.1614053993585e-06
1859,8.112850899522073e-06
1860,7.203114428477875e-06
1861,7.572423086799063e-06
1862,7.998191151159517e-06
1863,7.627784853525554e-06
1864,7.602041137033666e-06
1865,7.054618528457013e-06
1866,7.208892000676315e-06
1867,7.036091247414333e-06
1868,7.288290028384381e-06
1869,6.767580892130809e-06
1870,7.1973782382883655e-06
1871,6.624428294799145e-06
1872,6.733107710488184e-06
1873,8.112831608286797e-06
1874,7.736521247636574e-06
1875,7.623934770606411e-06
1876,7.904559844007508e-06
1877,7.546712389228105e-06
1878,7.1859116275163615e-06
1879,7.152798069398614e-06
1880,7.279762776590815e-06
1881,7.238857200775328e-06
1882,7.0413976160921266e-06
1883,7.053014144275949e-06
1884,6.847280161537128e-06
1885,7.208154563898006e-06
1886,6.695468691475526e-06
1887,7.375726312375264e-06
1888,6.678569661744405e-06
1889,6.352222271743813e-06
1890,6.851300383914349e-06
1891,6.857385699277074e-06
1892,7.3040705999005695e-06
1893,6.971327501048563e-06
1894,7.339402820605301e-06
1895,6.161255665659837e-06
1896,6.510909507539964e-06
1897,6.841144177371916e-06
1898,6.608392482121417e-06
1899,6.924950255893236e-06
1900,6.856861965331973e-06
1901,6.472318631267626e-06
1902,6.062236636239504e-06
1903,7.404242083453028e-06
1904,6.919829928619947e-06
1905,6.729629639323775e-06
1906,6.96574034719788e-06
1907,6.356554379749468e-06
1908,6.3288159140029165e-06
1909,6.2133607130476776e-06
1910,7.122683996385604e-06
1911,6.413179164610483e-06
1912,6.157015072005834e-06
1913,5.958439423636719e-06
1914,5.755851248068211e-06
1915,5.268356662924134e-06
1916,4.6861523514962755e-06
1917,4.420565666407583e-06
1918,4.654279464944011e-06
1919,4.755853723281689e-06
1920,5.151389402158202e-06
1921,5.319097759581837e-06
1922,5.0915132021600584e-06
1923,5.053191209469787e-06
1924,5.75997785290383e-06
1925,5.5727766365976095e-06
1926,5.224195156472433e-06
1927,5.202228344103332e-06
1928,5.289114298534514e-06
1929,5.342938777630479e-06
1930,4.97450676562039e-06
1931,4.785687728769972e-06
1932,5.736221488916726e-06
1933,4.8887962478261215e-06
1934,4.89088120048109e-06
1935,4.832793294440307e-06
1936,5.008719377030957e-06
1937,4.882835717978651e-06
1938,5.153672823610123e-06
1939,5.677151669658542e-06
1940,5.773977530765251e-06
1941,5.776090482356722e-06
1942,5.291665118534183e-06
1943,6.21001997913595e-06
1944,4.4920344279830715e-06
1945,4.028054089388888e-06
1946,4.195820942243245e-06
1947,3.857593902978351e-06
1948,4.4379048134146615e-06
1949,4.915376095482316e-06
1950,4.415802159485338e-06
1951,4.885054256220656e-06
1952,5.54867567714723e-06
1953,5.548521041731647e-06
1954,5.312350786823572e-06
1955,5.132050361567053e-06
1956,4.85767606051013e-06
1957,5.200303036190235e-06
1958,5.048550388409012e-06
1959,4.817864891037971e-06
1960,4.924864803967921e-06
1961,4.858153069164928e-06
1962,4.328385351470843e-06
1963,4.393036736161093e-06
