year,aux_ADP airs_NOUN,aux_ADP chairs_NOUN
1800,1.5720823043352539e-07,1.980823611802407e-07
1801,1.7620750725200196e-07,2.690736380372982e-07
1802,2.0364345232337655e-07,4.923248297927785e-08
1803,2.262393496987869e-07,4.8758479920252285e-08
1804,1.6808586700278738e-07,1.557266102736321e-07
1805,1.478296409729296e-07,1.8194417350514414e-07
1806,2.4494187300660997e-07,1.4696512096179504e-07
1807,8.54086508184082e-08,1.9928686256776018e-08
1808,7.931259204951857e-08,1.246340701754889e-07
1809,1.3102376783535874e-07,9.262025457701384e-08
1810,1.8721014161116045e-07,7.488405628919281e-08
1811,1.1783261077980001e-07,4.262030373070047e-08
1812,9.601949813031752e-08,2.6138641828765685e-07
1813,1.35159851311073e-07,1.2940837734731758e-07
1814,1.384537871018665e-07,5.664018942752591e-08
1815,4.855002422310406e-08,1.0519171667056071e-07
1816,9.270415368689555e-08,8.806894413737609e-08
1817,1.4945985393755024e-07,2.6466848268569265e-08
1818,1.1563542035020191e-07,1.0848271614349869e-07
1819,1.8528379808202544e-07,1.0972112818308233e-07
1820,1.6257079860082513e-07,9.967844505354151e-08
1821,1.3608853222102368e-07,1.0255947557880063e-07
1822,1.5639960793123464e-07,8.020492714422289e-08
1823,9.388552868472289e-08,4.5460360809101985e-08
1824,1.2800091475639874e-07,3.536867154707579e-08
1825,1.1799293964109836e-07,6.075755720758025e-08
1826,1.2595417842042878e-07,6.870227764466108e-08
1827,6.267745611410191e-08,5.991227425283796e-08
1828,1.0823315454988602e-07,8.713686128203335e-08
1829,9.51622528555518e-08,1.1830982771243725e-07
1830,1.7533884189013804e-07,6.679574937606958e-08
1831,1.309661297188569e-07,9.042899762334855e-08
1832,3.125422969318947e-07,4.8707889277466165e-08
1833,1.3089500561225265e-07,1.285782786908385e-07
1834,1.1388127951761362e-07,8.401077877806529e-08
1835,1.459675971204888e-07,9.000074641107858e-08
1836,1.196293524241554e-07,9.946710122221702e-08
1837,1.0715152298779174e-07,1.0367257630150561e-07
1838,1.205622943700746e-07,1.0541310047074148e-07
1839,1.3703291867894762e-07,1.0347383039288616e-07
1840,1.2038711361128662e-07,7.134051571711097e-08
1841,8.154096420298629e-08,8.410918894696806e-08
1842,1.3483613425790963e-07,4.561620414733625e-08
1843,1.3290549683020458e-07,7.915260624713483e-08
1844,1.3007890231619967e-07,6.586273570974299e-08
1845,8.816759988761191e-08,8.984167010339661e-08
1846,9.777017462297977e-08,1.2470087540350505e-07
1847,8.46736130100112e-08,6.040410482910374e-08
1848,1.3757328987118456e-07,9.895622810063287e-08
1849,9.133561951202296e-08,9.887709495615127e-08
1850,1.1948632749891885e-07,9.640374543096186e-08
1851,8.513259319720134e-08,7.997304152240758e-08
1852,1.367214490510804e-07,7.682443481371592e-08
1853,9.913406562311877e-08,1.0510599679491861e-07
1854,7.79349695889664e-08,4.520228102933288e-08
1855,1.2895856826844465e-07,8.703376863650192e-08
1856,9.629572161884425e-08,5.643136091748602e-08
1857,1.0836950115056254e-07,8.347380742179666e-08
1858,1.1598011928626306e-07,7.242640265303635e-08
1859,1.5632971717138844e-07,9.573285808528453e-08
1860,1.2587255593388136e-07,1.0527522675829459e-07
1861,1.6788831125325032e-07,8.771692705522582e-08
1862,9.307051873630456e-08,7.409497726484915e-08
1863,1.143768160183356e-07,6.393114659886123e-08
1864,1.2466292620416652e-07,9.829192038068868e-08
1865,1.0355057483701913e-07,9.884373497470733e-08
1866,1.2942529759030208e-07,8.75810357570117e-08
1867,1.1889387963037734e-07,1.2665837800795998e-07
1868,9.682153423451467e-08,1.2497881130002497e-07
1869,1.1573940161824225e-07,8.741499613051928e-08
1870,1.0665330840708975e-07,1.1009373679371492e-07
1871,4.99195342840153e-08,5.3105885911008954e-08
1872,1.1066630678513434e-07,5.382132073350476e-08
1873,1.4725570851581438e-07,9.936767497720211e-08
1874,1.0216581447508588e-07,8.543690910300938e-08
1875,1.0127102711976477e-07,9.841026837875688e-08
1876,8.283040520140617e-08,1.3422152278508293e-07
1877,1.0576035047726862e-07,7.421779457672528e-08
1878,1.600358487952036e-07,8.756678226973236e-08
1879,1.4601287046112077e-07,8.369775628125353e-08
1880,8.214843538745242e-08,9.690948132856647e-08
1881,1.1295462259974798e-07,1.6734017549424607e-07
1882,1.2844893282348835e-07,1.3909755125496304e-07
1883,1.0742876366265364e-07,1.1058843085720582e-07
1884,1.558000528589787e-07,8.846274113238906e-08
1885,1.0055191379532147e-07,9.21725913372029e-08
1886,1.5423778870760074e-07,9.357522401387541e-08
