year,vingt - trois ans,vingt - trois chants
1800,6.751745935673625e-07,0.0
1801,6.537457162281157e-07,0.0
1802,6.454381491494132e-07,0.0
1803,7.24285202480246e-07,0.0
1804,8.345504944884397e-07,0.0
1805,8.24270102839364e-07,0.0
1806,8.974206151535213e-07,0.0
1807,6.79058787866893e-07,0.0
1808,1.2824262825006372e-06,0.0
1809,1.0180351726063464e-06,0.0
1810,9.205802307121758e-07,0.0
1811,1.5976367269132652e-06,0.0
1812,1.4516957165255917e-06,4.9655586309427235e-08
1813,1.6175916925931233e-06,0.0
1814,1.678416809092198e-06,0.0
1815,1.8714123299901075e-06,0.0
1816,1.6592072622501064e-06,0.0
1817,1.5832826845141312e-06,0.0
1818,1.6096037702695298e-06,0.0
1819,1.6846075112653125e-06,0.0
1820,1.5292446189363318e-06,0.0
1821,1.984019210254928e-06,0.0
1822,1.2477899531404546e-06,0.0
1823,1.5956298788921686e-06,0.0
1824,1.262367782750573e-06,7.350030806207997e-09
1825,1.6780290508222606e-06,0.0
1826,1.670320706637085e-06,0.0
1827,1.203254252679642e-06,0.0
1828,1.4804130010759309e-06,0.0
1829,1.4591439061462097e-06,0.0
1830,1.4358712014939101e-06,0.0
1831,1.3588899168137658e-06,0.0
1832,1.4663183467433782e-06,0.0
1833,1.29779510160688e-06,0.0
1834,1.6089813099640082e-06,0.0
1835,1.3163173946395545e-06,0.0
1836,1.3585456422049447e-06,0.0
1837,1.4772061973644668e-06,0.0
1838,1.5113406099942495e-06,8.258691508444826e-09
1839,1.436804776488998e-06,6.114063033635375e-09
1840,1.4599015738525623e-06,0.0
1841,1.468540148152897e-06,0.0
1842,1.5337919396785082e-06,7.335207996561621e-09
1843,1.5064052263369376e-06,0.0
1844,1.4828286758472586e-06,0.0
1845,1.3353786272318757e-06,6.100404625897227e-10
1846,1.5811499949336394e-06,6.406604691200357e-10
1847,1.3183161939878119e-06,0.0
1848,1.3530648992343686e-06,8.809016294186733e-10
1849,1.234848821418666e-06,0.0
1850,1.4718961498516592e-06,0.0
1851,1.3439514603419411e-06,0.0
1852,1.5486897737559957e-06,0.0
1853,2.0728959420068804e-06,0.0
1854,1.7350760259660092e-06,5.683183923466117e-10
1855,2.177016169113699e-06,0.0
1856,1.6917011045336494e-06,0.0
1857,1.8156872911845312e-06,0.0
1858,1.751970788888002e-06,0.0
1859,1.8774108951902235e-06,0.0
1860,1.7191607142308385e-06,0.0
1861,1.6369384940873033e-06,0.0
1862,1.7670423098081756e-06,0.0
1863,1.8860189481273437e-06,0.0
