year,ses_DET chantiers_NOUN
1800,1.0690159513160324e-07
1801,1.571580554582397e-07
1802,1.1189200677108602e-07
1803,1.3457341196954076e-07
1804,1.310080950389647e-07
1805,1.7625842474444653e-07
1806,3.7461699520235925e-08
1807,1.3380689267705748e-07
1808,1.2010191596800723e-07
1809,1.5135503872443223e-07
1810,9.594519667643908e-08
1811,7.019815262410134e-08
1812,2.74722452786591e-07
1813,1.0640244063608861e-07
1814,1.2272040805783035e-07
1815,1.0788894400093341e-07
1816,1.1124498655590287e-07
1817,8.095741643732168e-08
1818,1.2040389663070528e-07
1819,3.415846450138815e-08
1820,1.6494408328071586e-07
1821,5.621048160264763e-08
1822,1.1729970594842598e-07
1823,1.4231069656034379e-07
1824,4.378978601948802e-08
1825,1.1270967226195694e-07
1826,1.0129182070883758e-07
1827,1.2996355280847638e-07
1828,5.961995697134626e-08
1829,1.5431716865466072e-07
1830,1.513341219006037e-07
1831,1.1849316505774254e-07
1832,8.659180661396704e-08
1833,3.7530956176201613e-07
1834,2.333632753703796e-07
1835,8.24376584773745e-08
1836,8.938597773067158e-08
1837,1.328957099921979e-07
1838,2.3354999534319631e-07
1839,1.2374911095847096e-07
1840,1.7007068287000493e-07
1841,1.0722315835209884e-07
1842,1.10015544674269e-07
1843,9.03757366721436e-08
1844,1.1471093064319149e-07
1845,1.6350068143822227e-07
1846,1.2118817949158256e-07
1847,9.869599093548231e-08
1848,1.0378336312566461e-07
1849,1.1814974953949786e-07
1850,1.208441249289649e-07
1851,9.674158096828478e-08
1852,9.37518569443796e-08
1853,1.1107793085329831e-07
1854,2.795267584065897e-07
1855,1.5973880351793923e-07
1856,1.5738655401165147e-07
1857,1.1325101212378286e-07
1858,1.3212925642491768e-07
1859,1.1711998570973492e-07
1860,1.1488731876951874e-07
1861,7.875659235878629e-08
1862,1.3147339972263694e-07
1863,8.590747579972913e-08
1864,1.654181076560235e-07
1865,1.2614343125605387e-07
1866,1.493743173597295e-07
1867,1.5626053340156432e-07
1868,1.6894368837228058e-07
1869,1.318550140183561e-07
1870,1.0607990352795582e-07
1871,1.2001930826954776e-07
1872,1.6872076002982794e-07
1873,1.6042491557399785e-07
1874,1.392083959217416e-07
1875,1.235849917402554e-07
1876,1.711022195038936e-07
1877,1.8554447933638585e-07
1878,1.7151012476901428e-07
1879,1.2218650446982338e-07
1880,2.1756498469471808e-07
1881,1.5130341335378716e-07
1882,1.710433976676029e-07
1883,1.478725293324601e-07
1884,1.5183903379067942e-07
1885,1.366474775554849e-07
1886,1.3552274275019371e-07
1887,1.5147104825974367e-07
1888,1.4773632184272856e-07
1889,1.7229126514362036e-07
1890,1.2977685059922806e-07
1891,1.5999291613777444e-07
1892,1.65488723835594e-07
1893,1.9337427681342945e-07
1894,1.8085417430313555e-07
1895,2.7023580173590744e-07
1896,1.8752552799483624e-07
1897,2.365645699331509e-07
1898,1.7936985252653415e-07
1899,2.150228013420019e-07
1900,2.3359738499095783e-07
1901,2.2913829500481597e-07
1902,2.4404109311149114e-07
1903,2.2734927185297238e-07
1904,2.5206992759763125e-07
1905,1.904320108270241e-07
1906,2.428055081438174e-07
1907,2.3657079972760897e-07
1908,1.8270367885264704e-07
1909,2.271906232031995e-07
1910,1.6994398688296997e-07
1911,1.7557235132414917e-07
1912,1.750365550279298e-07
1913,1.9249852201141948e-07
1914,1.9621459002028274e-07
1915,2.42683689144485e-07
1916,1.9667556561131505e-07
1917,2.993833749798114e-07
1918,3.055376147642619e-07
1919,2.6886916915103143e-07
1920,2.1353693657744088e-07
1921,2.3854153674562895e-07
1922,2.3019158579273835e-07
1923,1.8471749108073254e-07
1924,1.5083200088916726e-07
1925,1.7707066302108387e-07
1926,1.382121137538661e-07
1927,1.382503952429559e-07
1928,1.6796280988273793e-07
1929,1.8715882732500688e-07
1930,1.943166705320465e-07
1931,1.4028588246617346e-07
1932,1.8083234909482826e-07
1933,1.6517754231060167e-07
1934,1.425808004995588e-07
1935,1.615718421277279e-07
1936,1.4064669207058955e-07
1937,2.2789924214450252e-07
1938,1.2576257901741883e-07
1939,1.4682287918788006e-07
1940,8.875240098404902e-08
1941,1.593811393973965e-07
1942,1.3957374767059605e-07
1943,1.335488235554294e-07
1944,1.8957798886276578e-07
1945,2.2220741868750338e-07
1946,2.185613441341161e-07
1947,1.5854758350641873e-07
1948,1.5872955660967136e-07
1949,1.6983424178107498e-07
1950,1.6059395591128123e-07
1951,1.4925961822065403e-07
1952,1.297010914225183e-07
1953,1.4436928408301242e-07
1954,1.6222409371380309e-07
1955,1.9240495952033143e-07
1956,1.412824865987261e-07
1957,1.342925664005179e-07
1958,1.629631984911839e-07
1959,1.6664107471697776e-07
1960,1.4672166259721564e-07
1961,1.4313208795968535e-07
1962,1.2113136738101105e-07
1963,1.454861946470487e-07
1964,1.216793683589401e-07
1965,1.2914022429200145e-07
1966,1.4180031948640703e-07
1967,1.1241164954434169e-07
1968,1.2531050552766487e-07
1969,1.0945636030879058e-07
1970,1.1864710680598023e-07
1971,1.233215450868741e-07
1972,1.3389683584108525e-07
1973,1.1136671518308106e-07
1974,1.3107581375848554e-07
1975,1.2051223130526978e-07
1976,1.5197982050629832e-07
1977,1.4339348153313836e-07
1978,1.4316825613924777e-07
1979,1.228914356943278e-07
1980,1.2223074130623957e-07
1981,1.3093887485382538e-07
1982,1.1980479419637646e-07
1983,1.2883244604466881e-07
1984,1.2003947458261166e-07
1985,1.0828004348706344e-07
1986,1.438676549003759e-07
1987,1.2466066356964234e-07
1988,1.1333486993336805e-07
