year,ses_DET arts_NOUN,ses_DET chars_NOUN
1800,4.213180280210338e-07,1.2576657937302116e-08
1801,3.143161109164794e-07,4.524246932646747e-08
1802,4.5651938762603095e-07,7.608656460433849e-08
1803,4.154222472685376e-07,6.046051725938639e-08
1804,4.3998947840684366e-07,1.1864884186252311e-07
1805,3.980028928651791e-07,2.1605870870189392e-07
1806,3.544452908954554e-07,5.76333825108577e-08
1807,3.729511108829797e-07,3.701041606518629e-08
1808,5.347934908250807e-07,1.1556977286275583e-07
1809,3.817761671243147e-07,8.132509687897027e-08
1810,2.948559592041988e-07,8.89248181756841e-08
1811,1.5794583196893086e-07,1.504246114336638e-07
1812,4.587598212424382e-07,2.6672082320544632e-08
1813,3.278345606094746e-07,3.45088981834607e-08
1814,3.461344864064131e-07,6.922689976818219e-08
1815,4.5043632423968916e-07,2.6972235778188747e-08
1816,2.7811245217890246e-07,2.3176038865813098e-08
1817,4.919720177909426e-07,4.203558257032114e-08
1818,4.124727333021383e-07,3.814776761146277e-08
1819,3.1777722364623173e-07,9.315945170840223e-08
1820,3.0852851917728685e-07,6.051905199200291e-08
1821,2.9485849495358707e-07,1.3707468315971028e-07
1822,2.7169419070105505e-07,7.519211919770896e-08
1823,3.785069062622881e-07,3.2612866407433216e-08
1824,4.3284519701813906e-07,7.15794579164708e-08
1825,5.036713557338146e-07,6.604082458672167e-08
1826,4.6153838817453163e-07,9.072223594586148e-08
1827,5.290714509831318e-07,3.871254605769536e-08
1828,3.5129914977005683e-07,7.154395120778645e-08
1829,5.941210837190347e-07,7.801590129474789e-08
1830,3.746824122075054e-07,8.453836675137438e-08
1831,3.492430096230237e-07,5.456922025359745e-08
1832,5.344337649093589e-07,8.659180394943178e-08
1833,4.494447791714151e-07,1.0077756940063409e-07
1834,4.499243835276445e-07,9.054494776172817e-08
1835,4.031125868664276e-07,9.832014313815307e-08
1836,3.5149523325284093e-07,1.2231765200709788e-07
1837,3.1032194292013315e-07,7.375364674544471e-08
1838,3.257075498197537e-07,1.382363514768059e-07
1839,3.7474305636386873e-07,8.249940464111205e-08
1840,2.8281418024134197e-07,7.325142092895476e-08
1841,3.678974382914646e-07,8.218302127716015e-08
1842,2.596098638285582e-07,9.324488381423635e-08
1843,2.977083046751261e-07,1.1341269479103744e-07
1844,2.4698525935562543e-07,4.9945908853210597e-08
1845,3.320235761883339e-07,1.0156014695894555e-07
1846,2.4705994894347327e-07,7.669396429044184e-08
1847,3.26290034102783e-07,7.874106344729626e-08
1848,2.622742272251344e-07,4.907585349211985e-08
1849,4.03887813638093e-07,5.9493845405711454e-08
1850,3.81541576111033e-07,5.838536587532417e-08
1851,3.579438565548543e-07,8.255281858104979e-08
1852,3.724032022756063e-07,7.877760155317048e-08
1853,2.7650044498450654e-07,1.1943864031138673e-07
1854,3.631769311951416e-07,7.793496870078798e-08
1855,3.3592910853030844e-07,8.278821539420278e-08
1856,2.826745193473812e-07,6.885661352207251e-08
1857,3.085113617906643e-07,1.03487993396989e-07
1858,3.7289811677387874e-07,7.193704099073273e-08
1859,4.939408295712155e-07,7.07812115585682e-08
1860,3.808217101664013e-07,7.643897345643857e-08
1861,3.320038433063388e-07,1.084671644169255e-07
1862,3.524029354995406e-07,9.352231711279302e-08
1863,3.3913476499281003e-07,7.092361925531421e-08
1864,3.078215256024919e-07,9.01408849784957e-08
1865,2.8664682727441715e-07,9.931441358190796e-08
1866,2.4036128087878694e-07,1.0023162566596966e-07
1867,3.4746130594953684e-07,5.82337378318698e-08
1868,3.0429623620875645e-07,1.0620729218313585e-07
1869,2.934994881576003e-07,8.692664010823137e-08
1870,2.4599069670117046e-07,7.855647066179472e-08
1871,2.48535537705763e-07,4.354682658913589e-08
1872,2.5277879345253496e-07,8.284855068652064e-08
1873,2.2806677124620478e-07,7.243065081041777e-08
1874,2.330097538805198e-07,9.38013648976721e-08
1875,2.437370534291716e-07,6.75140205963487e-08
1876,2.4788661101560194e-07,6.46923588032422e-08
1877,2.8944940022590515e-07,4.14382688163073e-08
1878,2.584729816290654e-07,5.495570531977023e-08
1879,1.9610934343106123e-07,6.598071577990083e-08
1880,2.149978506338357e-07,6.610381309002378e-08
1881,2.440377678825101e-07,6.205531577485601e-08
1882,2.5423569893767706e-07,8.585446664710616e-08
1883,1.718860143662404e-07,8.151947383794322e-08
1884,2.2049667602885847e-07,5.8755103005125875e-08
1885,1.553398247255977e-07,7.154655734531445e-08
1886,1.9424926323008407e-07,6.324394419277013e-08
1887,1.932561749518058e-07,4.8966935006777845e-08
1888,1.5724724566901216e-07,6.467426993950198e-08
1889,2.1489419732567683e-07,9.021796587571629e-08
1890,2.3464704074216414e-07,8.717334054608727e-08
1891,2.0907441844464358e-07,1.1664822596735291e-07
1892,1.6360817300942188e-07,5.0774952242704785e-08
1893,1.5457625601733582e-07,7.75960486976146e-08
1894,2.0038895121032851e-07,5.5453544867134497e-08
1895,1.5648398021816945e-07,5.476939080040211e-08
1896,1.4447721485844056e-07,6.781583294923621e-08
1897,1.5965194832823215e-07,5.2440423559119154e-08
1898,1.7597483858988738e-07,5.092519339555679e-08
1899,1.232649911031558e-07,6.633094074004475e-08
1900,1.894734381613361e-07,7.059832540790012e-08
1901,1.0562716279416406e-07,2.738482152153665e-08
1902,1.0508007691756305e-07,2.356936334990678e-08
1903,1.0368422964646129e-07,5.400220359774721e-08
1904,1.4027771744196116e-07,3.0635363579278874e-08
1905,1.496620174457064e-07,2.8900250192975818e-08
1906,1.4609483400818135e-07,3.7552548404207187e-08
1907,1.8102808052589126e-07,3.342848020615463e-08
1908,1.6698723181995945e-07,2.8486056180554442e-08
1909,1.2157174356097755e-07,4.345776982717098e-08
1910,1.5284271537296945e-07,6.19921465272455e-08
1911,1.6280344317110007e-07,2.8730021028877673e-08
1912,1.2398422455373037e-07,4.8968558985507116e-08
1913,1.3575654023156858e-07,4.825720545387213e-08
1914,1.627308711116271e-07,4.4198507076487203e-08
1915,2.3325908626858904e-07,2.4739600590351074e-08
1916,2.0216930041172532e-07,9.668966782783173e-08
1917,2.2152176981649063e-07,8.773139659190576e-08
1918,2.4351118277365913e-07,6.776962191423763e-08
1919,1.942855962222545e-07,1.5469185360439397e-07
1920,1.4614407461976953e-07,8.253732453056273e-08
1921,1.537267735329806e-07,5.14946840723951e-08
1922,1.3722959479878227e-07,4.648099505288883e-08
1923,1.6454720030978365e-07,7.749642350063368e-08
1924,1.0571131836556447e-07,4.2542360634278964e-08
1925,1.4957522265213186e-07,6.488924664260765e-08
1926,1.4044134355462035e-07,7.690835701623655e-08
1927,1.382503952429559e-07,4.5711821883287485e-08
1928,1.576793642321661e-07,4.456156144083678e-08
1929,1.0806194472579023e-07,5.3473950600846365e-08
1930,1.008345975606062e-07,5.7769819150621515e-08
1931,1.2203731891702319e-07,7.299428350648896e-08
1932,1.3261039999434843e-07,4.3838147445462994e-08
1933,1.2044195640825706e-07,4.588265056781893e-08
1934,1.2460843379358266e-07,4.7926320689839486e-08
1935,1.5080037396586476e-07,2.8723882827819125e-08
1936,1.0063513089519915e-07,6.183604739362636e-08
1937,1.422796291894457e-07,1.0576539599682633e-07
1938,1.2316953035274025e-07,9.983215454312244e-08
1939,9.788192478765723e-08,8.258787431714154e-08
1940,1.166460117385526e-07,1.546827641529802e-07
1941,9.444808402037097e-08,3.217137853894769e-07
1942,1.365395263519531e-07,1.3047111258046584e-07
1943,1.7129087859224512e-07,1.800005842156338e-07
1944,8.675602636287749e-08,5.366020943142757e-07
1945,9.367567610496508e-08,4.378793159176553e-07
1946,1.1136883681928111e-07,2.074244598304631e-07
1947,1.5139505671335485e-07,2.706037598443345e-07
1948,1.1632919760806715e-07,1.3807298016033087e-07
1949,9.718837867822572e-08,1.904499589144848e-07
1950,9.997240102421756e-08,9.359117858487309e-08
1951,1.0661401483869071e-07,1.6845014194633023e-07
1952,1.0861148047602853e-07,1.0333907907167372e-07
1953,7.002987900683877e-08,8.72680021579697e-08
1954,1.1727043625064937e-07,1.0163437735855041e-07
1955,9.385608157330694e-08,9.854888194382738e-08
1956,1.1599118576732792e-07,1.3779404284264274e-07
1957,9.011738344444353e-08,1.0867096467137571e-07
