year,soyons_VERB aux_ADP
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,1.755305234496518e-08
1804,0.0
1805,0.0
1806,1.4408345627714425e-08
1807,1.1387820464392462e-08
1808,0.0
1809,9.036122072814123e-09
1810,0.0
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,1.5497530370112145e-08
1819,1.6561680027393777e-08
1820,3.5599443393152796e-09
1821,1.97229765852569e-09
1822,2.90742860897808e-08
1823,3.95307486744656e-09
1824,2.2737005167527968e-08
1825,0.0
1826,0.0
1827,0.0
1828,1.4675682002973645e-08
1829,1.714635211591542e-09
1830,2.191735481993362e-08
1831,2.6505050598757407e-08
1832,4.058990921151917e-09
1833,1.1583628500844156e-09
1834,9.334531370086552e-09
1835,1.1344631900556124e-08
1836,3.024337402735e-08
1837,1.1828414692161004e-08
1838,1.199310784016916e-08
1839,1.0487212875887053e-08
1840,5.732719632334238e-09
1841,7.704658244733764e-09
1842,2.1466447286400125e-08
1843,2.3627644285539873e-09
1844,6.037417232818143e-09
1845,2.7901139176833567e-09
1846,5.854501328173001e-10
1847,4.314578916364553e-09
1848,1.126331028444838e-08
1849,2.8490010350878947e-08
1850,8.146795238417326e-09
1851,7.739326512989919e-09
1852,1.0416872697760482e-08
1853,5.3747388761848924e-09
1854,1.0391328686409906e-08
1855,1.0613874223963649e-09
1856,1.0354378687793542e-08
1857,1.2203773103180993e-08
1858,9.787352261980686e-09
1859,7.129042689513199e-09
1860,4.57718396518203e-09
1861,2.8295783494058924e-09
1862,4.066187636597718e-09
1863,2.1476870060155306e-08
1864,6.712618905169165e-09
1865,1.2237795665726026e-08
1866,2.9193677475447544e-09
1867,8.73506067478047e-09
1868,7.903798504571569e-09
1869,6.348574999037737e-09
1870,3.4404292748035914e-09
1871,9.559059321873065e-09
1872,7.256807155187062e-09
1873,7.183205141814142e-09
1874,9.559374625212058e-09
1875,4.005069165202713e-09
1876,0.0
1877,4.329371083855449e-09
1878,6.039088784604019e-09
1879,3.0546627449723474e-09
1880,1.2835692508872398e-08
1881,5.5780060570498335e-09
1882,1.1979693681496428e-08
1883,8.21514056781325e-09
1884,2.6406787867472303e-09
1885,4.511945039809007e-09
1886,3.2267319927115068e-09
1887,1.1099172247952538e-08
1888,3.804368819970705e-09
1889,4.385595886446936e-09
1890,4.5880703680722945e-09
1891,1.0836173736095134e-08
1892,3.761107425503951e-09
1893,4.926733243593162e-09
1894,6.301539290376468e-10
1895,9.027921521465032e-09
1896,5.897029087265082e-09
1897,5.826713556089658e-10
1898,5.6583546736987955e-09
1899,4.4220627160029835e-09
1900,2.07642125715779e-09
1901,1.676621730339889e-09
1902,1.276673788908056e-08
1903,7.020286574288548e-09
1904,3.2247751136083025e-09
1905,2.580379465655369e-09
1906,5.658602919567102e-09
1907,8.228549397415463e-09
