year,as_VERB assez_ADV,as_VERB chassé_VERB
1800,1.0690159513160324e-07,2.2009151834367913e-08
1801,7.143547975374531e-08,2.1430643926123594e-08
1802,1.4098392853156838e-07,8.951360541686881e-09
1803,9.361627917314763e-08,0.0
1804,9.640218934237055e-08,0.0
1805,6.822906328807221e-08,0.0
1806,7.780506905419315e-08,0.0
1807,3.9857372513552036e-08,5.693910232196231e-09
1808,2.4926814390369145e-08,0.0
1809,8.584316191218022e-08,6.7770917766551975e-09
1810,7.722418615685456e-08,0.0
1811,3.259199843341776e-08,0.0
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,9.202373263406116e-08,0.0
1814,3.776012391654149e-08,3.4613449884091096e-08
1815,4.315557688983063e-08,3.776112933451259e-08
1816,8.1116134253989e-08,0.0
1817,6.85024303948012e-08,2.3353100786493997e-08
1818,5.126106117359086e-08,1.1921177378582115e-09
1819,6.83169290027763e-08,5.175524897538253e-09
1820,5.814575843032799e-08,0.0
1821,4.339054981983281e-08,1.97229765852569e-09
1822,1.012587205195814e-07,6.015369535816717e-09
1823,7.906149335212831e-08,1.1859224713361982e-08
1824,3.705289586264371e-08,2.105278085196005e-08
1825,4.490776106536032e-08,2.4655239627691117e-08
1826,6.870227764466108e-08,8.80798456392995e-09
1827,5.438191053031005e-08,6.452091305675367e-09
1828,3.5771975603893225e-08,2.7516904310687096e-09
1829,4.029392641768936e-08,0.0
1830,6.262101237552997e-08,4.174734336004349e-09
1831,3.4300654760954785e-08,1.2472964883158966e-08
1832,4.329590197471589e-08,4.058990921151917e-09
1833,6.139323005527331e-08,4.6334514003376626e-09
1834,8.214387037241977e-08,2.8003592777992026e-09
1835,6.806779140333674e-08,8.31939672707449e-09
1836,7.728862527756064e-08,2.688300027031687e-09
1837,8.558205877307046e-08,8.349468672008697e-09
1838,5.9334322344284374e-08,1.64116205070286e-08
1839,6.432156851587933e-08,6.292327547896548e-09
1840,4.522479102320176e-08,1.3376346252869098e-08
1841,4.365973182984817e-08,1.0272877659645019e-08
1842,6.976596012009395e-08,5.366612043644636e-09
1843,5.729703644874462e-08,8.269675610961258e-09
1844,4.8299337862545144e-08,3.841992946007622e-09
1845,9.263178668561522e-08,8.928364714222425e-09
1846,4.742146231251354e-08,6.439951683034906e-09
1847,5.177494699637464e-08,2.1572894581822766e-09
1848,6.033916122305527e-08,4.82713291560799e-09
1849,3.5193544078993e-08,5.02764896381791e-09
1850,5.4311968256115506e-08,8.146795238417326e-09
1851,6.384944128967618e-08,3.8696632564949596e-09
1852,5.338647213193326e-08,5.859490670445666e-09
1853,6.031650912063924e-08,9.555090940693844e-09
1854,8.105236304345453e-08,5.7152309551611324e-09
1855,6.527533003009012e-08,5.837630823180007e-09
1856,6.160855292591805e-08,1.2425253714809514e-08
1857,4.1004675210842834e-08,1.8549734193129552e-08
1858,8.417122643322728e-08,1.663849857891364e-08
1859,7.434572779629889e-08,1.6804172275897145e-08
1860,6.957319698130959e-08,2.334363813361051e-08
1861,6.225072013421595e-08,1.1789909493131745e-08
1862,6.551080389272101e-08,1.2650361647104091e-08
1863,6.093437576737415e-08,9.989241434027463e-09
1864,6.664672014267126e-08,1.2466292886870178e-08
1865,5.036323358353911e-08,1.6473954644879996e-08
1866,7.395731671522299e-08,1.3623716377253459e-08
1867,9.365925990323376e-08,6.79393608038481e-09
1868,5.285665238830006e-08,6.915823469455518e-09
1869,6.104399119521986e-08,1.3185501579471293e-08
1870,6.250112960515253e-08,1.0894693147633916e-08
1871,8.603153389685758e-08,5.3105884134652115e-09
1872,4.9588180672799353e-08,7.861540751719076e-09
1873,6.46488516053978e-08,2.9930022904522957e-09
1874,6.572069821686455e-08,4.182226565063729e-09
1875,6.865832347102696e-08,6.293679799540541e-09
1876,7.980739269441983e-08,9.673623679873344e-09
1877,7.421779457672528e-08,8.658742167710898e-09
1878,6.824170384334138e-08,1.7513357875031943e-08
1879,7.758843167948726e-08,9.774920428640144e-09
1880,6.161132404258751e-08,1.0268554007097919e-08
1881,8.715634436384789e-08,9.761510710859511e-09
1882,7.587139094766826e-08,9.983077475794744e-09
1883,7.393626333396242e-08,1.3902545781263598e-08
1884,4.951272813968899e-08,7.922036360241691e-09
1885,7.541393642895855e-08,3.2228177904158883e-09
1886,5.162771188338411e-08,6.4534639854230136e-09
1887,6.790081386043312e-08,9.140494583448344e-09
1888,7.672143453874014e-08,3.804368819970705e-09
1889,5.6386230795624215e-08,1.566284169030041e-08
1890,5.1124214195397144e-08,4.5880703680722945e-09
1891,9.625072294738857e-08,7.0116419337296065e-09
1892,7.14610379759506e-08,1.2537024751679837e-08
1893,6.343169189904074e-08,6.15841644346915e-09
1894,4.978215883966186e-08,3.150769645188234e-09
1895,5.838056083007359e-08,1.2037228991346183e-09
1896,6.486732218036195e-08,4.1279202278587945e-09
1897,8.157398667663074e-08,4.078699600285063e-09
1898,5.8846890027552945e-08,3.3950129374460403e-09
1899,4.864268987603282e-08,4.4220627160029835e-09
1900,5.7620688664883346e-08,6.748368974740515e-09
1901,4.5827658112784775e-08,9.500856101851696e-09
1902,4.615666782115113e-08,4.419255628107521e-09
1903,6.75027536090056e-08,4.320176216765503e-09
1904,5.8045952044949445e-08,3.2247751136083025e-09
