year,mes_DET airs_NOUN,mes_DET chairs_NOUN
1800,9.432493452976587e-09,4.7162465932615305e-08
1801,3.333655596016172e-08,0.0
1802,2.2378401354217203e-08,8.951360541686881e-09
1803,3.1205427575287104e-08,3.900678446910888e-09
1804,5.19088700912107e-08,9.887403784603066e-09
1805,1.7057266488151868e-08,8.528632911009026e-09
1806,8.068673551520078e-08,2.305335300434308e-08
1807,0.0,5.693910232196231e-09
1808,6.798222074166915e-08,4.5321478570059526e-08
1809,1.1295152813062259e-08,2.25903047379461e-08
1810,6.552354792077608e-08,1.8721014072298203e-08
1811,5.515568801683912e-08,3.5099073869560016e-08
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,4.313612333994854e-08,5.463909147351842e-08
1814,2.5173417128598885e-08,4.405347908686963e-08
1815,1.0788894222457657e-08,3.236668177919455e-08
1816,1.8540831092650478e-08,1.3905623319487859e-08
1817,1.5568733857662664e-08,6.227493631882908e-09
1818,0.0,1.192117760062672e-08
1819,4.140420006848444e-09,1.1386155129855524e-08
1820,3.678609061807947e-08,2.254631326081835e-08
1821,2.465372084259343e-08,1.577838126820552e-08
1822,1.0025615893027862e-08,1.1028177482330648e-08
1823,2.9648061450338048e-08,1.8777105204037525e-08
1824,2.6105450245950124e-08,9.263223965660927e-09
1825,1.496925317034936e-08,1.6730341556581152e-08
1826,1.76159691278599e-08,2.2019960965735663e-08
1827,1.3825909916942436e-08,7.373818444733615e-09
1828,2.2013523448549677e-08,1.5592912128159497e-08
1829,2.0575622983187714e-08,2.143293942324931e-08
1830,2.2961039292113128e-08,1.5655253760016308e-08
1831,9.354723218280014e-09,1.5591206548037917e-08
1832,2.5706942574643676e-08,3.111892887819323e-08
1833,2.548398292390175e-08,1.2741991461950875e-08
1834,5.600718555598405e-09,2.7070139463347687e-08
1835,1.663879345414898e-08,3.100866052818674e-08
1836,2.419469957715137e-08,3.5619975857770214e-08
1837,7.653680356156656e-09,5.983786066643404e-08
1838,1.7042836475411605e-08,3.1560810409558826e-08
1839,6.9914749545318955e-09,9.78806569129631e-09
1840,3.184844388215424e-08,3.694419392630266e-08
1841,1.733548060656176e-08,2.0545755763379248e-08
1842,7.379091560011375e-09,1.542900918138912e-08
1843,2.4218335781256428e-08,2.539971788451112e-08
1844,4.390849017710252e-09,2.96382307585219e-08
1845,1.0602432709561072e-08,2.79011406201235e-08
1846,9.367202125076801e-09,3.337065823671992e-08
1847,6.47186837454683e-09,1.1865092020002521e-08
1848,1.528592186161859e-08,1.769948765328877e-08
1849,6.703531951757213e-09,7.54147322368226e-09
1850,2.1045888587423178e-08,8.82569484161877e-09
1851,5.804494884742439e-09,1.612359690206233e-08
1852,1.3021090872200602e-08,2.083374561756557e-08
1853,2.20961471342207e-08,3.523439917607618e-08
1854,3.013485283531736e-08,2.1302224872954412e-08
1855,2.812676669350367e-08,1.326734277995456e-08
1856,2.8992259260007813e-08,1.6049286344355096e-08
1857,1.6597130780837688e-08,2.147864025525692e-08
1858,7.829881809584549e-08,2.104280616421761e-08
