year,sans_ADP armer_VERB,sans_ADP charmer_VERB
1800,2.829747991484055e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,2.0140561218795483e-08,4.475680270843441e-09
1803,1.3652374342143503e-08,0.0
1804,8.898663206302615e-08,0.0
1805,3.695740957709859e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,5.124519120158766e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,4.066255088197579e-08,0.0
1810,1.6380887313260928e-08,0.0
1811,1.504246105454854e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,1.4378708002027452e-08
1814,2.8320094713762956e-08,1.5733386149463513e-08
1815,2.1577788444915313e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,2.490997497162084e-08,1.556873407970727e-09
1818,3.814776761146277e-08,0.0
1819,2.6912730377581795e-08,3.1053151161586356e-09
1820,2.610625848831205e-08,4.746592452420373e-09
1821,3.648750501739073e-08,0.0
1822,6.51665033046811e-08,0.0
1823,3.755420863171821e-08,1.976537300496517e-08
1824,9.263223965660927e-09,8.421112696055388e-10
1825,7.924898959288385e-09,8.805443485471187e-09
1826,1.5854371593349015e-08,8.807984341885344e-10
1827,9.217272889383565e-09,5.530363722527909e-09
1828,1.2841221419535032e-08,2.7516904310687096e-09
1829,1.028781115852695e-08,0.0
1830,6.262101504006523e-09,1.3567886369969528e-08
1831,1.2472964883158966e-08,3.1182412207897414e-09
1832,5.411987857861789e-09,0.0
1833,2.3167256557599103e-08,1.1583628500844156e-09
1834,2.7070139019258477e-08,1.0267983796552471e-08
1835,1.1344631900556124e-08,1.5126175867408165e-09
1836,1.747394939854985e-08,1.3441500135158435e-09
1837,2.3656829162277404e-08,1.18284144701164e-08
1838,1.7674052665839213e-08,6.312161682231476e-09
1839,7.690622361167243e-09,5.5931801412612e-09
1840,2.4204817705708592e-08,3.821813088222825e-09
1841,1.6051371787284552e-08,1.2841097074556274e-09
1842,1.0733224087289273e-08,6.708265054555795e-10
1843,5.906911182407271e-09,4.134837805480629e-09
1844,1.866110821424627e-08,0.0
1845,1.1718478631905782e-08,1.1160455892778032e-09
1846,1.5221703675294407e-08,7.025401593807601e-09
1847,2.9123407685460734e-08,4.314578916364553e-09
1848,1.6894965648717175e-08,2.413566457803995e-09
1849,1.5920887719289567e-08,1.6758829879393033e-09
1850,1.0183494048021657e-08,3.394498016007219e-09
1851,9.029214709244116e-09,3.8696632564949596e-09
1852,9.114763388495817e-09,9.114763388495817e-09
1853,1.0749477752369785e-08,1.1943863675867306e-09
1854,9.352196184142514e-09,6.234797567117312e-09
1855,1.1675261646360013e-08,1.1675261646360013e-08
1856,1.3978411317339123e-08,3.6240324075009767e-09
1857,1.5132678443663394e-08,2.4407544874094356e-09
1858,1.7127866180910445e-08,6.361778659424999e-09
1859,5.601390462572908e-09,1.5276520048956854e-09
1860,9.15436793036406e-09,3.661747127736703e-09
