year,bonnes_ADJ eaux_NOUN,bonnes_ADJ chaux_NOUN
1800,5.345079756580162e-08,0.0
1801,1.4287095706499997e-07,0.0
1802,1.1189200677108602e-07,0.0
1803,1.4822578009443532e-07,0.0
1804,1.2359254308869083e-07,0.0
1805,9.381496446358994e-08,0.0
1806,9.797675204481493e-08,2.881669125542885e-09
1807,5.97860605466849e-08,8.540865792383556e-09
1808,2.605985116588272e-07,0.0
1809,9.03612189517844e-08,0.0
1810,9.594519667643908e-08,0.0
1811,7.019814773912003e-08,0.0
1812,1.1468995353425271e-07,0.0
1813,6.326631307729258e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,5.933891955578474e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,8.56280379935015e-08,0.0
1818,4.6492591110336434e-08,1.668964877410417e-08
1819,5.175525075173937e-08,1.035105001712111e-09
1820,7.119888323359191e-08,0.0
1821,4.536284592404627e-08,1.3806083387635226e-08
1822,6.616906489398389e-08,2.4061478143266868e-08
1823,5.435477845594505e-08,7.906149512848515e-09
1824,4.463189640091514e-08,2.863178316658832e-08
1825,5.6354835464844655e-08,2.201360693732113e-08
1826,5.9013494535520294e-08,0.0
1827,3.96342727526644e-08,0.0
1828,7.246117661452445e-08,2.8434133270138773e-08
1829,8.487444347338169e-08,2.4004892296147773e-08
1830,8.453837097022188e-08,1.0436835395921662e-08
1831,3.741889287312006e-08,1.5591206103948707e-09
1832,6.3590853471851e-08,0.0
1833,4.40177885252524e-08,1.1583628500844156e-09
1834,4.667265329771908e-08,1.3068342852307069e-08
1835,4.840376277570613e-08,1.3613558280667348e-08
1836,3.2259599436201825e-08,1.8146025126952736e-08
1837,8.071153700939249e-08,3.1310509740478665e-08
1838,2.7773513266993177e-08,7.574594285131298e-09
1839,4.754203075663099e-08,3.4957374772659477e-09
1840,1.05099864811109e-07,3.05745047057826e-08
1841,5.457466301095337e-08,1.5409316489467528e-08
1842,4.8299508392801727e-08,2.683306021822318e-09
1843,6.261326035428283e-08,3.5441467538532834e-09
1844,5.817874892954933e-08,5.488561272137815e-10
1845,4.073566373108406e-08,1.0602432709561072e-08
1846,9.07447699205477e-08,7.610851504580296e-09
1847,5.3932236454556914e-08,6.47186837454683e-09
1848,8.447482713336285e-08,1.206783295515379e-08
1849,1.298809308991622e-07,6.703531951757213e-09
1850,5.5669765686161554e-08,1.0862393651223101e-08
1851,7.094382681316347e-08,1.2253933867611977e-08
1852,8.659025496626782e-08,8.463708844885787e-09
1853,1.260077624465339e-07,1.7915795513800958e-09
1854,5.0397943596180994e-08,6.754363734984281e-09
1855,7.429711956774554e-08,1.326734277995456e-08
1856,7.144521418922523e-08,1.2942972915652717e-08
1857,5.320844942424685e-08,1.1715622250108026e-08
1858,6.410715513993637e-08,1.9574704079872163e-09
1859,6.263373109050008e-08,2.5460866748261424e-09
1860,4.989130530930197e-08,5.492620580582752e-09
1861,7.922819378336499e-08,4.715963619617014e-09
1862,1.2379283020891307e-07,8.132375661773494e-09
1863,1.3735207460285892e-07,9.989241434027463e-09
1864,5.993410212568051e-08,9.589456340108882e-09
1865,4.283228349777346e-08,2.8241067262513297e-09
1866,6.957826315101556e-08,7.298419202328432e-09
1867,5.629261323747414e-08,2.91168689159349e-09
1868,7.014621417056333e-08,2.9639244392143382e-09
1869,3.4672986259920435e-08,9.767038733343725e-09
1870,5.5620273275991394e-08,1.3761717099214366e-08
1871,4.779529705345453e-08,5.3105884134652115e-09
1872,4.233137573805834e-08,1.1489944995446422e-08
1873,7.362785259257265e-08,8.380406590902112e-09
1874,6.990292644726281e-08,2.9873046258899194e-09
1875,8.181783783811625e-08,2.8607636259891933e-09
1876,5.1995728167497646e-08,6.650616057868319e-09
1877,6.30851220151385e-08,1.5462040536817767e-08
1878,2.3552445327368332e-08,4.22736201599605e-09
1879,5.437299321897626e-08,6.720257683667796e-09
1880,3.080566313151678e-08,7.701415505323439e-09
1881,6.902782700990429e-08,4.183504653809678e-09
1882,7.121261802467416e-08,0.0
1883,5.308244865886991e-08,5.687405213450347e-09
1884,4.951272813968899e-08,6.601696966868076e-10
1885,5.8655285073427876e-08,6.445635691854079e-10
1886,4.7755634113855194e-08,3.2267319927115068e-09
1887,7.573552807116357e-08,1.9586774424595887e-09
1888,4.9456794215529953e-08,6.340614699951175e-10
1889,5.6386230795624215e-08,1.8795409673089125e-09
1890,7.209825270138026e-08,1.3108772956016423e-09
1891,7.457837369884146e-08,7.0116419337296065e-09
1892,1.567128151691577e-07,4.387958441043338e-09
1893,6.404753349897874e-08,0.0
1894,8.065970291681879e-08,6.9316934414587195e-09
1895,1.3120579822611944e-07,6.018614495673091e-09
1896,4.717623269812066e-08,2.358811590497112e-09
1897,4.952706689209663e-08,1.1653427112179315e-09
1898,3.112095137147719e-08,1.13167097914868e-09
1899,7.130576129554811e-08,2.2110313580014918e-09
1900,5.3467847038746186e-08,0.0
1901,4.470991044058792e-08,1.1177477832191585e-09
1902,5.941443320667261e-08,2.455141867585553e-09
1903,6.372260230591564e-08,5.400220270956879e-10
1904,1.0964235741539596e-07,3.2247751136083025e-09
1905,5.986480289266183e-08,1.0321518084666081e-09
1906,4.012463961089452e-08,7.716276506641861e-09
1907,4.319988278211895e-08,5.65712765521198e-09
1908,4.4202501214840595e-08,1.4734167219643268e-09
1909,6.43615075679449e-08,6.0510818578052294e-09
1910,5.130384816975919e-08,4.275320542035388e-09
1911,2.7133907565257687e-08,8.51259862599818e-09
1912,2.5005221004903433e-08,1.0418842455450772e-09
1913,3.234823608977422e-08,1.590896969716482e-09
1914,3.951078958452925e-08,0.0
1915,5.5369582696584985e-08,0.0
1916,2.5271162940043723e-08,1.0987462051303964e-09
1917,2.1932848426331475e-08,0.0
1918,2.6418664589300533e-08,0.0
1919,1.5653341733923298e-08,1.1049418269237776e-08
1920,1.438724073210551e-08,7.572231730534895e-09
1921,2.120369302360814e-08,3.0290989716519334e-09
1922,3.172512208493572e-08,0.0
1923,1.8047112249064412e-08,1.0615948120573648e-09
1924,2.8361574311297488e-08,0.0
1925,4.06932585406139e-08,0.0
1926,1.3375366592072169e-08,1.1146138456652466e-09
1927,2.2298449309232637e-08,0.0
1928,1.2568645679778001e-08,0.0
1929,1.3368487650211591e-08,0.0
1930,1.8906487042613662e-08,1.0503603542488804e-09
1931,3.877821086462063e-08,1.1405356659111021e-09
1932,1.9727165678773417e-08,2.1919073223131136e-09
