year,deux_DET chaises_NOUN
1800,1.4463157071986643e-07
1801,1.5477686798881507e-07
1802,1.0741632650024258e-07
1803,8.58149284965748e-08
1804,1.3100809326260787e-07
1805,1.1371510844071508e-07
1806,1.4120178981613662e-07
1807,1.3095993267597805e-07
1808,1.1783584996649665e-07
1809,1.26505712794156e-07
1810,1.474279796020994e-07
1811,1.278609147448151e-07
1812,1.8137015445063298e-07
1813,2.0992914073758584e-07
1814,1.4474714760126517e-07
1815,2.400528842372296e-07
1816,7.879853392012137e-08
1817,1.914954239623512e-07
1818,1.513989502655022e-07
1819,1.0661581595350356e-07
1820,1.3883783722690168e-07
1821,1.321439406787306e-07
1822,1.6341753905635414e-07
1823,1.5713472123479733e-07
1824,1.3894836037309233e-07
1825,1.2855946618373082e-07
1826,1.3652375807637895e-07
1827,1.4747636772893813e-07
1828,1.2932945026022935e-07
1829,1.7660742007707952e-07
1830,1.6177095729652535e-07
1831,2.2607248695294402e-07
1832,2.5842241335727323e-07
1833,1.969216907315996e-07
1834,2.426978051861539e-07
1835,2.117664621437143e-07
1836,1.7205120173002797e-07
1837,1.5446518197848036e-07
1838,1.3823634059662027e-07
1839,1.6220222587293165e-07
1840,1.3885920946421493e-07
1841,2.208668696823679e-07
1842,1.999062941848706e-07
1843,2.091046482632919e-07
1844,1.756339571556964e-07
1845,1.8861170492101564e-07
1846,1.9027129827264844e-07
1847,1.7042586719639985e-07
1848,1.7297226007073618e-07
1849,1.9943007956158e-07
1850,1.5954141296958824e-07
1851,2.0251237886625972e-07
1852,1.4844044038397897e-07
1853,2.3230815138219896e-07
1854,1.9743524681814506e-07
1855,2.2819829226250476e-07
1856,1.6877636710432853e-07
1857,2.250375663592763e-07
1858,1.9281083174504943e-07
1859,2.3423996786675616e-07
1860,2.819545414922686e-07
1861,2.1504794567306362e-07
1862,2.679165920227433e-07
1863,2.3075148103401943e-07
1864,2.0952961321540897e-07
1865,2.5652301793854804e-07
1866,2.131138430172541e-07
1867,2.693310268142568e-07
1868,2.0055888549919132e-07
1869,2.8715091193731723e-07
1870,2.2993535608861748e-07
1871,3.1120050714150693e-07
1872,2.437077704087187e-07
1873,2.3465137655165336e-07
1874,2.3002245530534537e-07
1875,2.6376240747083557e-07
