year,beaux_ADJ ans_NOUN,beaux_ADJ champs_NOUN
1837,5.6358917532861597e-08,4.174734513640033e-08
1838,8.521418237705802e-08,4.797243136067664e-08
1839,3.775396706373613e-08,4.754203075663099e-08
1840,3.05745047057826e-08,5.6690229399691816e-08
1841,7.255219713897532e-08,8.66774030328088e-08
1842,5.836190553054621e-08,6.574099842282521e-08
1843,3.721353891705803e-08,7.560846171372759e-08
1844,3.841993034825464e-08,6.147188713612195e-08
1845,5.1896119401817487e-08,4.073566373108406e-08
1846,5.678866443759034e-08,5.620321275046081e-08
1847,2.6426796750911308e-08,4.58424018745518e-08
1848,4.827133182061516e-08,4.827133182061516e-08
1849,3.854530916669319e-08,4.8600607982507427e-08
1850,6.381656447729256e-08,3.8018377779280854e-08
1851,2.579775504329973e-08,5.224045551699419e-08
1852,3.2552726736412296e-08,4.362065553209504e-08
1853,3.822036376277538e-08,4.896984151514516e-08
1854,3.4291385730966795e-08,7.949366676029967e-08
1855,2.4942604426314574e-08,6.580602018857462e-08
1856,4.34883880018333e-08,3.675804194358534e-08
1857,4.5886185517929334e-08,6.004255936886693e-08
1858,4.3553715300959084e-08,4.257498176230001e-08
1859,2.2914779407301467e-08,1.1253703036118168e-07
1860,1.9224172476128842e-08,5.6757080812985805e-08
1861,6.602348889828136e-08,6.272231445336729e-08
1862,6.912519268098549e-08,5.1956842384015545e-08
1863,3.795911851511846e-08,6.493007020935693e-08
1864,4.6029388300894425e-08,7.000302559845295e-08
1865,2.9182434246877165e-08,8.566456699554692e-08
1866,4.135770836910524e-08,7.298419291146274e-08
1867,3.299911810472622e-08,4.367530337390235e-08
1868,3.754304245262574e-08,5.0386717020955984e-08
1869,4.6393431318847433e-08,5.4695412643468444e-08
1870,3.096386436141074e-08,4.587239033071455e-08
1871,2.973929724703339e-08,4.0360472297606975e-08
1872,2.116568786902917e-08,4.172663992108028e-08
1873,3.95076291681562e-08,5.3874039451784483e-08
1874,1.4936523129449597e-08,3.4652732239237594e-08
1875,3.3757011408397375e-08,4.577221801582709e-08
1876,5.38095328295185e-08,4.17175023414984e-08
1877,6.741449709579683e-08,6.246663986075873e-08
1878,4.7104890654736664e-08,4.7708802242141246e-08
1879,4.948553566919145e-08,5.1318330918093125e-08
1880,4.941741593711413e-08,5.198455355071019e-08
1881,3.834879080955034e-08,4.2532295907449225e-08
1882,5.856738738430067e-08,3.5939081044489285e-08
1883,4.107570461542309e-08,4.1707636455612374e-08
1884,3.4328824227713994e-08,5.215340692643622e-08
1885,3.93183761104865e-08,6.445635847285303e-08
1886,8.002295004416737e-08,5.162771188338411e-08
1887,1.2404957061562527e-08,4.961982824625011e-08
