year,ces_DET armes_NOUN,ces_DET charmes_NOUN
1800,1.4777572516777582e-06,3.049839492064166e-07
1801,1.4501401679467563e-06,5.143354329106842e-07
1802,1.4948772104617092e-06,3.401517005841015e-07
1803,1.5914768454194927e-06,4.095712498042303e-07
1804,2.2889340556275783e-06,5.092013068974666e-07
1805,1.4157531467162698e-06,2.473303641892244e-07
1806,1.2823427368857665e-06,2.679952331163804e-07
1807,1.5487435831573748e-06,1.907459861172356e-07
1808,1.3279193780135756e-06,3.3084681660966453e-07
1809,3.0383961444613306e-06,1.784634093837667e-07
1810,1.7129727893916424e-06,2.597540840199031e-07
1811,1.3237365266149936e-06,2.8831382792304794e-07
1812,1.3469401523025226e-06,3.2539941496878555e-07
1813,1.1301664954999069e-06,3.393375038740487e-07
1814,1.4632048674911857e-06,1.2901375789908798e-07
1815,1.2542089393718925e-06,1.3486117089733796e-07
1816,1.242235640575018e-06,2.0858435334503156e-07
1817,1.7328001291616602e-06,2.0239354014961464e-07
1818,1.3566299514877755e-06,2.884924930057764e-07
1819,1.6758349801193617e-06,2.473900888588787e-07
1820,1.8001451707050364e-06,2.990353120679856e-07
1821,1.7060374659649824e-06,2.7513552680602515e-07
1822,1.6893163348186135e-06,2.726967380795031e-07
1823,1.5634411170140083e-06,2.668325524979309e-07
1824,1.5814849660955588e-06,2.2063315086029434e-07
1825,1.8183239802738171e-06,2.3334423993048858e-07
1826,1.6048147273295399e-06,1.514973249072682e-07
1827,1.2682967991395344e-06,1.5392845575945557e-07
1828,1.610656084949369e-06,1.3850174696017348e-07
1829,1.4428654964149246e-06,2.31475750567256e-07
1830,1.6834616047844975e-06,2.6092089910889626e-07
1831,1.7883113088146274e-06,1.4187997976478073e-07
1832,2.16479519110635e-06,2.2730349158450736e-07
1833,1.8313716338980157e-06,1.5522062835060524e-07
1834,1.9201129788370963e-06,1.344172444461833e-07
1835,1.9543018936474255e-06,2.079849110714349e-07
1836,1.5538374213974748e-06,1.4852857166403055e-07
1837,1.9217694244844097e-06,1.5168202782689377e-07
1838,1.7238514118389503e-06,1.571728303062514e-07
1839,1.587764018040616e-06,1.3773206797296211e-07
1840,1.7159941450017868e-06,1.0892167789933183e-07
1841,1.5133232835751187e-06,2.2536124788530287e-07
1842,1.7367698603720783e-06,1.267862121956398e-07
1843,1.3745381863827788e-06,1.3172412227646646e-07
1844,1.5636910859484487e-06,1.69047682518908e-07
1845,1.607105687639887e-06,1.5457232027671353e-07
1846,1.5643227015971206e-06,1.3406807841676027e-07
1847,1.7684380679838796e-06,1.1919024167639236e-07
1848,1.8640778307599248e-06,1.2309189312276203e-07
1849,2.0169252081814193e-06,1.3658445929820573e-07
1850,1.4474139078402004e-06,1.0862393651223101e-07
1851,1.535611360736766e-06,1.341483262251586e-07
1852,1.6888354537059058e-06,1.6081046716465153e-07
1853,1.3036726898008055e-06,9.375933274213821e-08
1854,1.5108992386103637e-06,1.5015470378187956e-07
1855,1.342655096436829e-06,1.6133089530967482e-07
1856,1.4874064220293803e-06,8.43881853285211e-08
1857,1.2316047701688149e-06,1.249666357061585e-07
1858,1.521443820706736e-06,1.6295941485111598e-07
1859,1.3952555093510455e-06,1.553112927155098e-07
1860,1.99702535041979e-06,1.2221081213681373e-07
1861,1.407243630069388e-06,1.4760966049465196e-07
1862,1.5573499183574313e-06,1.4457556218872014e-07
1863,1.517865285904918e-06,1.6432302629709739e-07
1864,1.6642500781927083e-06,1.4288289840180823e-07
1865,1.564084371352692e-06,1.3085027422699014e-07
1866,1.6869079502157547e-06,1.3380434893406346e-07
1867,1.9532565715962846e-06,1.2180556829832767e-07
1868,1.9305027763039107e-06,8.496583481232278e-08
1869,1.6828606703711557e-06,9.767038555708041e-08
1870,1.4845451801193121e-06,1.1124054921651805e-07
1871,2.0849370798714517e-06,9.028000880206832e-08
1872,2.05125749630497e-06,8.163908216118898e-08
1873,2.1310176521183166e-06,8.61984617017697e-08
1874,2.4471999608977058e-06,7.587753625415417e-08
1875,1.6844176400354627e-06,1.1671915256528109e-07
1876,1.9075177135619015e-06,1.6082399367789435e-07
1877,1.4942515065285988e-06,1.360659541704834e-07
1878,1.6166640790515885e-06,1.1776222930137692e-07
1879,1.3910933205352194e-06,1.203537092209217e-07
1880,1.3207927338498848e-06,7.31634441919482e-08
1881,1.45237329718384e-06,7.530307843950368e-08
1882,1.2691819222254708e-06,1.217935450270602e-07
1883,1.3308527400113235e-06,8.783881466634114e-08
1884,1.3124173676715145e-06,8.714240173901544e-08
1885,1.2685011085977749e-06,8.057044853515549e-08
1886,1.4810699155987095e-06,6.776137295716467e-08
1887,1.297950163348105e-06,8.879337243250518e-08
1888,1.2218364560112605e-06,5.6431471717743875e-08
1889,1.454764799291297e-06,7.016953196270492e-08
1890,1.3914962835315237e-06,6.882105552108442e-08
1891,1.6706830763268954e-06,6.055509071956067e-08
1892,1.3721773655106517e-06,6.331197432984936e-08
1893,1.4238259211651894e-06,6.096832216861969e-08
1894,1.2546365155685635e-06,6.112493267096397e-08
1895,1.2458531557513197e-06,4.7547055626040446e-08
1896,1.2932184745295672e-06,6.545702335714054e-08
1897,1.1938935813304852e-06,7.574727778347778e-08
1898,1.000963010255873e-06,7.582195493682775e-08
1899,1.075114013815437e-06,6.356714976618605e-08
1900,1.0745480096829851e-06,6.956010967229531e-08
1901,1.0640958976182446e-06,5.924063062323626e-08
1902,9.354090764190914e-07,8.838510900943675e-08
1903,1.0768039260256046e-06,5.616229170612996e-08
1904,1.1673685662572097e-06,4.2997001514777367e-08
1905,1.0414411519832356e-06,3.354493394169822e-08
1906,9.403569407595569e-07,5.812928627335623e-08
1907,1.1283398464456695e-06,6.222840642777783e-08
1908,1.047599297976376e-06,5.1569586378974464e-08
1909,9.90177056792163e-07,6.106091854363171e-08
1910,8.721654012333602e-07,6.680188580077129e-08
1911,9.911857148381387e-07,5.7992077806545694e-08
1912,8.121487979906306e-07,6.92852988315451e-08
1913,9.789319079800407e-07,6.9469168639813e-08
1914,9.187932619170169e-07,4.553785570848845e-08
1915,1.198103532829009e-06,4.5944972160150144e-08
1916,9.89970331488621e-07,5.054232476986442e-08
1917,1.1229618479546843e-06,5.592876561877347e-08
1918,9.591124268126805e-07,5.743188147278033e-08
1919,8.462012459631296e-07,8.56329887000129e-08
1920,7.163331190440658e-07,4.619061355626286e-08
1921,7.815075377948233e-07,8.708659438028121e-08
1922,6.861480059683345e-07,7.451714978401469e-08
