year,pas_ADV armé_VERB,pas_ADV charmé_VERB
1800,5.0306631749208464e-08,3.458580977167003e-08
1801,7.381665767525192e-08,5.714838380299625e-08
1802,6.489736392722989e-08,2.4616241489638924e-08
1803,1.326230716358623e-07,3.900678446910888e-09
1804,4.2021465418429216e-08,5.438072037122765e-08
1805,2.842877755426798e-08,3.695740957709859e-08
1806,5.4751712497136396e-08,7.780506905419315e-08
1807,2.8469550272802735e-08,8.540865792383556e-09
1808,5.891792298484688e-08,8.157866204783204e-08
1809,5.421673421324158e-08,2.0331274441787173e-08
1810,1.0764583180389309e-07,1.2168659679900884e-07
1811,4.011322829455821e-08,1.1281845502253418e-07
1812,1.600324850414836e-08,1.0668833283489221e-07
1813,2.8757416004054903e-08,3.163315653864629e-08
1814,1.3845379953636439e-07,5.034683425719777e-08
1815,4.045835311217161e-08,4.045835311217161e-08
1816,2.3176038865813098e-08,3.9399267848239106e-08
1817,1.2454987086130132e-07,9.029865566390072e-08
1818,1.0252212234718172e-07,3.9339884239097955e-08
1819,1.0144029261027754e-07,3.8298885840504227e-08
1820,8.187871713971617e-08,7.713212824000948e-08
1821,1.065040748926549e-07,8.776724769177235e-08
1822,1.2030739071633434e-07,3.408709403629473e-08
1823,5.0401702367253165e-08,5.731958552246397e-08
1824,4.29476756380609e-08,4.29476756380609e-08
1825,1.7963104426144128e-07,5.2832657360113444e-08
1826,1.1186140369545683e-07,2.906634755106552e-08
1827,5.438191053031005e-08,1.8434546333878643e-08
1828,1.0731592681167967e-07,4.677873732816806e-08
1829,6.944272712416932e-08,4.2865881511033876e-08
1830,1.3463518655498774e-07,4.4878394334091354e-08
1831,1.2472965238430334e-07,3.1182413096075834e-08
1832,1.2176973029909277e-07,8.929779937716376e-08
1833,8.80355770505048e-08,1.3900354645102198e-08
1834,1.0081293311259287e-07,4.480574844478724e-08
1835,1.2554725969948777e-07,3.554651328840919e-08
1836,1.0148332307835517e-07,2.2850549896702432e-08
1837,1.2385045522478322e-07,1.6698937344017395e-08
1838,8.963269948480956e-08,3.092959488526503e-08
1839,9.857979677008188e-08,2.516931019158619e-08
1840,9.745623685830651e-08,1.592422194107712e-08
1841,6.548959419205858e-08,1.8619591202195807e-08
1842,9.794067068469303e-08,1.7441490030023488e-08
1843,4.430183153658618e-08,4.134837894298471e-08
1844,6.53138769735051e-08,3.1833653935109396e-08
1845,7.19849424513086e-08,1.674068350610014e-08
1846,8.840297027745692e-08,2.5759806732139623e-08
1847,1.0570718700364523e-07,3.289866512545814e-08
1848,1.5366373418146395e-07,2.172209789819135e-08
1849,1.5501917971505463e-07,3.603148357456121e-08
1850,1.1677073530336202e-07,1.0862393651223101e-08
1851,6.642921590582773e-08,7.739326512989919e-09
1852,9.765818020923689e-08,2.669323606596663e-08
1853,1.176470547648023e-07,2.030456869306363e-08
1854,1.0183502041627435e-07,2.8576154775805662e-08
1855,6.580602018857462e-08,2.9718847827098216e-08
1856,5.7466799319172424e-08,1.7084724746041502e-08
1857,6.394776619345066e-08,2.9289054737091647e-08
1858,1.2527810611118184e-07,1.663849857891364e-08
1859,8.453007893649556e-08,3.0043821652725455e-08
1860,6.728460277827253e-08,2.288591893773173e-08
1861,1.2685941896961594e-07,1.3204698667834691e-08
1862,6.731799828685325e-08,4.517986340601965e-08
1863,7.541877522498908e-08,3.146611149418277e-08
1864,1.1986820425136102e-07,2.5412058235474433e-08
1865,6.777855787731824e-08,3.294790928975999e-08
1866,1.0217787149713331e-07,2.1895258939252926e-08
1867,1.412168160186411e-07,3.0572714138088486e-08
1868,1.2003893345990946e-07,3.408512938563035e-08
1869,1.2843655383676378e-07,4.688178378842167e-08
1870,9.23181886491875e-08,2.2362790730312554e-08
1871,1.1364659968648994e-07,1.4869648623516696e-08
1872,1.342509392543434e-07,5.5635521079011596e-08
1873,1.1972008451266447e-07,2.1549615425442425e-08
1874,1.0814042639140098e-07,3.0470506118263074e-08
1875,8.925582051233505e-08,2.2886109007913547e-08
1876,8.948101992700686e-08,2.8416270225761764e-08
1877,9.091679231687522e-08,3.587193120324628e-08
1878,8.454723854356416e-08,2.4760263173106978e-08
1879,7.209003882735487e-08,2.5659165459046562e-08
1880,4.941741593711413e-08,1.6044616302224313e-08
1881,6.344981784422998e-08,1.8128519130300447e-08
1882,8.984770261122321e-08,4.791877472598571e-08
1883,7.709593319304986e-08,2.5277355319985872e-08
1884,6.997798607244476e-08,2.178559910248623e-08
1885,7.734762874633816e-08,1.6758653131887513e-08
1886,8.905779935730607e-08,1.4842966855610484e-08
1887,8.095866377288985e-08,2.285123557044244e-08
1888,6.086990111953128e-08,1.521747527988282e-08
1889,4.51089832154139e-08,1.628935564212952e-08
1890,5.309053108248918e-08,1.7696843102044113e-08
1891,6.055508805502541e-08,1.6572972327821844e-08
1892,6.895363924286357e-08,2.193979398157353e-08
1893,8.129109829724257e-08,1.970693297437265e-08
1894,9.326278416210698e-08,2.0164925729204697e-08
1895,8.064943557428705e-08,2.2268872967856623e-08
