year,des_DET airs_NOUN,des_DET chairs_NOUN
1800,1.9305169658423438e-06,6.005354435956178e-07
1801,1.514432067750704e-06,7.334042297912902e-07
1802,1.609007057368217e-06,5.057518990270182e-07
1803,1.7045964781914336e-06,5.948534749222745e-07
1804,2.031861363605003e-06,2.4718508484511403e-07
1805,1.6289689126480766e-06,3.2124517002074526e-07
1806,2.4321286673512077e-06,3.169836020333605e-07
1807,1.6853974180719433e-06,2.7046073114433966e-07
1808,1.8400520644945573e-06,2.923235378204936e-07
1809,1.6468332475483294e-06,2.981920244060632e-07
1810,2.5975406430234216e-06,2.597540680326915e-07
1811,2.2062274780410007e-06,2.8329966994533606e-07
1812,1.7150148821087896e-06,4.7209585574137236e-07
1813,2.2286997882758897e-06,6.499175846386152e-07
1814,2.0359000529879268e-06,3.3984112235430075e-07
1815,1.151714417169103e-06,3.398501813300925e-07
1816,1.3418926556596489e-06,6.419762499376702e-07
1817,1.6627408570002444e-06,4.950857386276653e-07
1818,1.6308170760481744e-06,4.720786250800302e-07
1819,1.495726777989148e-06,4.1404199235817174e-07
1820,1.940169710223927e-06,3.951538189994608e-07
1821,1.4900709235377008e-06,4.082656204218438e-07
1822,1.6903187969319333e-06,3.398683787736445e-07
1823,1.6691858242268154e-06,2.767152365024117e-07
1824,1.5318003860897988e-06,2.804230501141092e-07
1825,1.7681329573804305e-06,2.3334424370524687e-07
1826,1.4621254500468694e-06,2.792131112983043e-07
1827,1.1825761010442193e-06,1.871106458661842e-07
1828,1.3740107824844472e-06,3.109410233737009e-07
1829,1.3717082136821546e-06,3.420697267664252e-07
1830,1.652151127018442e-06,3.287603393964389e-07
1831,1.4437456314908559e-06,3.242970865180439e-07
1832,1.6290083664216581e-06,4.3160602825054184e-07
1833,1.692368128303201e-06,3.359252240819899e-07
1834,1.4617875230271693e-06,3.631132519110736e-07
1835,2.072286044096927e-06,3.3655741304983167e-07
1836,1.4785650712667575e-06,3.010896088007087e-07
1837,1.4423708147859315e-06,3.812924358470582e-07
1838,1.5433235649453536e-06,3.2507632719003254e-07
1839,1.7059199706181971e-06,3.160146813119269e-07
1840,1.4790416997811917e-06,2.9682749591586344e-07
1841,1.596790447422336e-06,3.0369195291868323e-07
1842,1.6992035796192795e-06,2.629639950235685e-07
1843,1.7130041811697083e-06,2.5872269793225655e-07
1844,1.6449218165348611e-06,3.079082735446548e-07
1845,1.343718853519249e-06,3.2755937517947586e-07
1846,1.5087050151407766e-06,3.8815345182463545e-07
1847,1.3671822181038351e-06,2.319086149782379e-07
1848,1.5519232903216107e-06,2.92846063398855e-07
1849,1.539298523312027e-06,2.6646539685870607e-07
1850,1.2220192786571715e-06,2.85816731171451e-07
1851,1.2756989651308004e-06,2.579775468802836e-07
1852,1.5840156546431672e-06,3.3854836267721566e-07
1853,1.6166019918273378e-06,3.2965063878620526e-07
1854,1.4360816216196781e-06,2.2549183142928086e-07
1855,1.7979903113030105e-06,2.855132095191948e-07
