year,des_DET chantiers_NOUN
1800,2.7039815186924443e-07
1801,4.0956340718878437e-07
1802,2.953948978756671e-07
1803,3.530114003336138e-07
1804,3.0898137093338107e-07
1805,1.6772978539414396e-07
1806,2.42060210098316e-07
1807,2.7046074935199726e-07
1808,2.0394666044865062e-07
1809,3.162642809861893e-07
1810,3.346381234337059e-07
1811,2.1560860830049933e-07
1812,5.707825607714767e-07
1813,4.716216412958829e-07
1814,2.076806868700487e-07
1815,1.807139715648276e-07
1816,1.2051540920765547e-07
1817,2.631115940676665e-07
1818,2.813397941281437e-07
1819,2.2875820226975208e-07
1820,2.9310207150246015e-07
1821,1.1932400745262584e-07
1822,1.4938167680611514e-07
1823,1.6602914065799723e-07
1824,1.8947503477306782e-07
1825,2.0604736317153538e-07
1826,2.624779449345027e-07
1827,2.958744569347971e-07
1828,3.467129889855869e-07
1829,2.571952677499212e-07
1830,2.9431875958607634e-07
1831,2.4010457622125614e-07
1832,3.2471927369215337e-07
1833,3.417170493236199e-07
1834,3.7618159964836195e-07
1835,3.1386816345957413e-07
1836,3.0310581466963527e-07
1837,4.40434499315856e-07
1838,3.3012607736360167e-07
1839,3.607601057886711e-07
1840,3.382304711863071e-07
1841,3.9678989072200466e-07
1842,2.8711374877588014e-07
1843,2.793969078873637e-07
1844,3.858458648142715e-07
1845,2.7343117325884236e-07
1846,2.6286712007106416e-07
1847,2.923127189191632e-07
1848,4.0387013400255967e-07
1849,3.1339011585806986e-07
1850,3.408075883726269e-07
1851,4.263078954291899e-07
1852,3.1380829135230215e-07
1853,3.3920573150325595e-07
1854,3.730487064257382e-07
1855,3.3858258063901303e-07
1856,2.8267452795160963e-07
1857,2.826393843413655e-07
1858,3.6800444197515603e-07
1859,2.678483046469893e-07
1860,3.249800616944576e-07
1861,3.3200384041975894e-07
1862,3.777036647889531e-07
1863,3.2465035548767673e-07
1864,3.3371306740193063e-07
1865,3.591322325080526e-07
1866,3.5129724729188183e-07
1867,4.7217856291581484e-07
1868,3.176338931876188e-07
1869,3.013131275597658e-07
1870,3.904887182493155e-07
1871,3.7705179689595525e-07
1872,2.878533371664105e-07
1873,4.399713287028817e-07
1874,4.618372727582809e-07
1875,3.324207211718999e-07
1876,4.1838422415452214e-07
1877,3.352170406811794e-07
1878,3.3698113455216117e-07
1879,4.368167603185924e-07
1880,4.88398090858766e-07
1881,4.804057681107032e-07
1882,3.6671172476410163e-07
1883,4.335066492444639e-07
1884,4.4495437379055147e-07
1885,4.724650886078763e-07
1886,4.74329608257662e-07
1887,3.8781811406707334e-07
1888,4.28625552828521e-07
1889,3.9971571097474623e-07
1890,3.7491090260077797e-07
1891,5.029259528832597e-07
1892,3.8237926847095594e-07
1893,4.5695449668592403e-07
1894,4.108603537389399e-07
1895,3.924136615651719e-07
1896,5.672942036127893e-07
1897,5.045934128311558e-07
1898,5.160419632721513e-07
1899,6.00295024355546e-07
1900,5.995666390035126e-07
1901,6.304097280862564e-07
1902,7.134642685535653e-07
1903,5.421821187567843e-07
