year,ces_DET oies_NOUN,ces_DET choix_NOUN
1800,1.6978488659447066e-07,2.7983063688452603e-07
1801,1.2620267497709392e-07,4.1908814907287706e-07
1802,8.727576528144709e-08,1.8350289110458107e-07
1803,7.411289004721766e-08,7.606322949271771e-08
1804,1.1617699158250616e-07,1.755014160664814e-07
1805,2.2743021688143017e-08,1.4782964363746487e-07
1806,2.305335300434308e-08,1.8442681692931728e-07
1807,6.547996900252429e-08,1.3095993622869173e-07
1808,1.3823051503436545e-07,1.2916622083025686e-07
1809,3.6144488291256494e-08,5.1957702140725814e-08
1810,1.6380887757350138e-08,6.31834251585417e-08
1811,5.515568934910675e-08,3.008492122091866e-08
1812,2.6672082320544632e-09,3.7340914360584065e-08
1813,2.8757416448144113e-09,1.0640244241244545e-07
1814,0.0,2.2970743351891088e-07
1815,1.8880564667256294e-08,3.3175849267763624e-07
1816,1.622322720606917e-08,2.0394914201915526e-07
1817,4.203558356952186e-08,2.6778224082590896e-07
1818,2.2650237241350624e-07,2.5392107261268393e-07
1819,3.1053151161586356e-09,2.784432382441082e-07
1820,1.1866481131050932e-08,2.5038275452970993e-07
1821,1.9722976807301507e-08,3.0274769535765245e-07
1822,4.0102463572111446e-08,1.523893615740235e-07
1823,1.2847493069401139e-08,1.9864200595520742e-07
1824,4.210556348027694e-09,2.913704939544459e-07
1825,6.516027784009282e-08,1.7875048996529586e-07
1826,2.906634755106552e-08,1.35642963527971e-07
1827,1.474763688946723e-08,1.8803237367137626e-07
1828,1.3024667566696735e-07,2.0821124024905657e-07
1829,6.858540846366168e-09,3.720758314784689e-07
1830,6.992679768558219e-08,2.1708618547222613e-07
1831,4.365537531469954e-08,3.523612548406163e-07
1832,1.3529969367098715e-09,3.328372386590672e-07
1833,8.108540172635514e-09,2.57156557381677e-07
1834,4.387229601832132e-08,2.8003592689174184e-07
1835,6.882410019670715e-08,2.3672464521951042e-07
1836,2.9571300075303952e-08,1.9422967412197067e-07
1837,2.435261814426326e-08,2.268272396577231e-07
1838,5.680945602826171e-08,2.0009552770261507e-07
1839,5.523265411699896e-08,2.0485021678950943e-07
1840,1.9109066218270243e-08,2.4650695351624563e-07
1841,2.6966304744746594e-08,2.0674166023582075e-07
1842,9.391571076378114e-09,2.3009349803260193e-07
1843,1.063243981747064e-08,2.3804851423392392e-07
1844,1.756339607084101e-08,2.3600813037205626e-07
1845,2.2320911785556063e-08,5.122649184841066e-07
1846,2.3418005756781213e-08,2.365218527700108e-07
1847,4.314578827546711e-08,2.5509947221280527e-07
1848,4.1835152453373325e-08,2.6227423433056174e-07
1849,1.256912218750017e-08,2.555721536623423e-07
1850,2.4440385715251978e-08,2.437249548847831e-07
1851,7.094382636907426e-09,2.3088990630526496e-07
1852,3.776116352938175e-08,1.927121395794984e-07
1853,3.5234398509942366e-08,1.6900566635058567e-07
1854,4.78001130344019e-08,1.3820467259506586e-07
1855,4.2455496895854594e-08,1.6663782886894296e-07
1856,3.313401081284084e-08,2.019103817474388e-07
1857,2.3919394687155204e-08,2.357768877914168e-07
1858,1.5170395550878624e-08,2.2853467385175463e-07
1859,2.2405563404603868e-08,2.2762014850741252e-07
1860,2.1512764458719857e-08,2.4075986715388353e-07
1861,1.4147891413962554e-08,2.805998420285505e-07
1862,2.48489247234307e-08,2.765007529603736e-07
1863,1.548332484446746e-08,2.5522512814291076e-07
1864,1.7261020501813107e-08,2.335032505129675e-07
