year,plusieurs_DET oies_NOUN,plusieurs_DET choix_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,7.143547975374531e-09
1802,1.5664880947952042e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,3.1271653710973624e-08,0.0
1806,0.0,4.8988376022407465e-08
1807,5.693910232196231e-09,0.0
1808,2.039466551195801e-08,1.8128591960930862e-08
1809,1.129515236897305e-08,2.259030518203531e-09
1810,2.3401266702194334e-08,7.020380277111826e-09
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,1.4378708002027452e-08
1814,6.293354282149721e-09,0.0
1815,0.0,5.394447111228828e-09
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,1.5568733857662664e-08
1818,0.0,5.960588467246453e-09
1819,0.0,4.140420006848444e-09
1820,4.746592452420373e-09,1.3053129244156025e-08
1821,0.0,5.9168927535324656e-09
1822,0.0,1.303330066093622e-08
1823,0.0,1.2847493291445744e-08
1824,0.0,2.4421225930382207e-08
1825,1.7610886082763955e-09,2.641632912414593e-09
1826,0.0,7.0463874735082754e-09
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,0.0,9.172301251858528e-09
1829,0.0,1.714635211591542e-09
1830,9.39315203396518e-09,4.174734336004349e-09
1831,0.0,4.677361609140007e-09
1832,1.3529969367098715e-09,2.0294953273491956e-08
1833,0.0,3.4750886612755494e-09
1834,1.8669061851994684e-09,6.534171426153534e-09
1835,2.2689263801112247e-09,0.0
1836,2.016224964762614e-09,2.016224964762614e-09
1837,1.3915781860163179e-09,1.7394727436226276e-08
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,0.0,1.957613093850341e-08
1840,0.0,1.9109066329292546e-08
1841,1.926164561183441e-09,0.0
1842,0.0,5.366612043644636e-09
1843,6.497602011990011e-09,4.134837805480629e-09
1844,0.0,1.0977122322231025e-08
1845,5.580227946389016e-10,5.022205318283568e-09
1846,0.0,1.2294452567118697e-08
1847,0.0,5.3932236454556914e-09
1848,8.045221711050488e-10,4.02261068899179e-09
1849,2.513824481908955e-09,0.0
1850,0.0,1.0862393651223101e-08
1851,6.449438760824933e-10,6.449438760824933e-10
1852,0.0,1.3021090872200602e-09
1853,1.0152284346531815e-08,2.9859659189668264e-09
1854,0.0,0.0
1855,0.0,1.5920811335945473e-09
1856,0.0,4.141751386299575e-09
1857,0.0,2.4407544874094356e-09
1858,4.893676019968041e-10,1.0276719919488642e-08
1859,1.5276520048956854e-09,3.055304009791371e-09
1860,0.0,2.746310290291376e-09
1861,4.715963730639317e-10,1.0846716413936974e-08
1862,9.035972525772706e-10,1.0843167252971853e-08
1863,6.99246927027275e-09,4.994620828036034e-10
1864,4.794727948009836e-10,0.0
1865,2.3534221238463715e-09,7.0602665935837194e-09
1866,4.865612912574591e-10,6.811858188626729e-09
1867,0.0,1.455843445796745e-09
1868,4.44588676984381e-09,9.38576083520104e-09
1869,0.0,5.860222973552709e-09
1870,0.0,5.734048791339319e-09
1871,0.0,1.3807530230280918e-08
1872,6.047339295989218e-10,1.2094678591978436e-09
1873,5.387403856360606e-09,4.190203295451056e-09
1874,0.0,5.974609140757536e-10
1875,1.1443054281912168e-09,2.8607636259891933e-09
1876,6.04601479992084e-10,4.232210137899983e-09
1877,6.184815992682502e-10,1.2369631985365004e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,0.0,1.832797580370027e-09
1880,1.2835692508872398e-09,1.9253538763308597e-09
1881,3.4862537301449947e-09,1.045876096839038e-08
1882,3.3276925659464496e-09,3.9932310791357395e-09
1883,5.687405213450347e-09,3.791603475633565e-09
1884,0.0,7.2618666635548834e-09
1885,0.0,4.511945039809007e-09
1886,6.453463874400711e-10,1.936039106809062e-09
1887,0.0,5.223139698529167e-09
1888,6.340614699951175e-10,4.4384300679212174e-09
1889,3.132568426877924e-09,6.265136853755848e-09
1890,0.0,4.588070479094597e-09
1891,6.374220040683554e-10,7.649063604731055e-09
1892,6.268512375839919e-10,3.1342561879199593e-09
1893,0.0,0.0
1894,6.301539290376468e-10,6.301539290376468e-09
1895,1.8055843487019274e-09,0.0
1896,1.179405795248556e-09,1.7691086373616827e-09
1897,0.0,4.661370844871726e-09
1898,5.6583548957434e-10,4.52668391659472e-09
1899,0.0,2.2110313580014918e-09
1900,1.038210628578895e-09,4.671947717582725e-09
1901,0.0,5.588738916095792e-10
1902,6.874397495693074e-09,2.455141867585553e-09
1903,0.0,7.560308379339631e-09
1904,0.0,0.0
1905,5.160759042333041e-10,1.1353670004154992e-08
1906,0.0,3.600929110447737e-09
1907,0.0,8.228549397415463e-09
1908,0.0,9.822778146428846e-10
1909,1.1001967115120692e-09,6.0510818578052294e-09
1910,0.0,2.137660271017694e-09
1911,1.0640748282497725e-09,5.852411444351446e-09
1912,2.0837684910901544e-09,5.209421227725386e-09
1913,1.590896969716482e-09,3.181793939432964e-09
1914,0.0,9.375441145653696e-09
1915,0.0,0.0
1916,2.197492410260793e-09,0.0
1917,0.0,0.0
1918,0.0,5.743188147278033e-09
1919,0.0,1.8415696745321952e-09
1920,7.572231730534895e-10,1.514446346106979e-09
1921,0.0,7.572747429129834e-10
1922,1.4755870969551665e-09,0.0
1923,0.0,0.0
1924,0.0,3.867487219366694e-09
1925,0.0,4.399271169575059e-09
1926,0.0,2.229227691330493e-09
1927,1.1149224876660924e-09,7.804457524684949e-09
1928,1.1426041224282812e-09,4.570416489713125e-09
1929,0.0,0.0
1930,0.0,2.100720708497761e-09
1931,0.0,1.1405356659111021e-09
