year,ces_DET ans_NOUN,ces_DET chants_NOUN
1800,6.288328968651058e-09,5.690937854296862e-07
1801,2.3811825844433088e-09,6.88161790662889e-07
1802,2.2378401354217203e-08,4.811356291156699e-07
1803,7.801356893821776e-09,3.8811749192291245e-07
1804,4.943701892301533e-09,6.4020938017606e-07
1805,1.1371510844071508e-08,5.94161463141063e-07
1806,2.0171682990621775e-08,8.38565688887627e-07
1807,5.693910232196231e-09,7.117387639254957e-07
1808,2.7192887053217873e-08,6.32234623765271e-07
1809,1.581321384946932e-08,9.736421873185463e-07
1810,4.680253518074551e-09,8.260647632596374e-07
1811,2.2563691359778204e-08,1.1031137674422098e-06
1812,1.0668832928217853e-08,7.86826433341048e-07
1813,1.1502966579257645e-08,1.1129120167652218e-06
1814,6.293354282149721e-09,8.590428350885304e-07
1815,3.776112933451259e-08,7.120670417748443e-07
1816,4.6352077731626196e-09,5.585425206788841e-07
1817,1.71256075987003e-08,5.869412863512835e-07
1818,1.1921177378582115e-09,5.984430868632984e-07
1819,1.0351050350188018e-08,6.210630024705566e-07
1820,1.0679833017945839e-08,8.555732762260959e-07
1821,2.1695273910715684e-08,8.520325831540276e-07
1822,5.413832582235045e-08,7.850057102132268e-07
1823,7.510842370272997e-08,6.759757908980646e-07
1824,1.2631669044083083e-08,1.0619023314006881e-06
1825,4.402721520690989e-09,1.0117453768110352e-06
1826,1.7615968683770689e-09,1.1168524176596861e-06
1827,6.452091305675367e-09,7.189472721602641e-07
1828,1.0089531543577834e-08,8.374310738190616e-07
1829,8.57317605795771e-10,8.958968962247127e-07
1830,3.7572609246083744e-08,1.2805997187115281e-06
1831,1.5591206103948707e-09,1.292510983130768e-06
1832,2.3000947813045514e-08,1.5302395210969877e-06
1833,1.50587169400751e-08,1.3900353945661692e-06
1834,1.1201437333241415e-08,1.4207155596412946e-06
1835,3.2521278114927554e-08,1.241859031608783e-06
1836,1.6801875613037254e-08,1.36296812164316e-06
1837,1.1132625044041333e-08,1.18075406596585e-06
1838,6.122797135965641e-08,1.1532320343121683e-06
1839,3.845311480343838e-08,1.3640368232703537e-06
1840,1.5287252685958208e-08,1.0752034711458691e-06
1841,1.8619591202195807e-08,1.2295350839686137e-06
1842,4.293289501688946e-08,1.3772068281348027e-06
1843,5.316220019757623e-09,1.2345443742844964e-06
1844,1.152597861597826e-08,1.0384357738701944e-06
1845,1.0044410192477926e-08,1.0429445886916966e-06
1846,1.3465352610708692e-08,1.8225062459187313e-06
1847,1.1325769655456952e-08,1.2113180059003525e-06
1848,7.401603796530765e-08,1.0547285599904477e-06
1849,9.217356433666168e-09,1.260263985614074e-06
1850,1.0862393651223101e-08,1.2376339366682032e-06
1851,1.6768540778144825e-08,1.1267169195416926e-06
1852,2.864639925270751e-08,1.4336220708344172e-06
1853,1.7915795735845563e-08,1.3741415081369723e-06
1854,1.7665259477439577e-08,1.4573838336140454e-06
1855,2.0697054736729115e-08,1.3553916886621664e-06
1856,1.5013848608802505e-08,1.3207009512683499e-06
1857,2.0990488958094744e-08,1.5078981878691167e-06
1858,1.6638498356869036e-08,1.1632267584160694e-06
1859,1.680417249794175e-08,1.4487232666837713e-06
1860,1.1900678331677739e-08,1.323263869146274e-06
1861,1.1789909160064838e-08,1.2709522811960028e-06
1862,2.2589932147099034e-08,1.3675944012803143e-06
1863,1.1487627959994029e-08,1.3200782489342089e-06
1864,1.5343129544653777e-08,1.1459399743563026e-06
1865,8.943004337069738e-09,1.2548446537419267e-06
1866,3.1139921974343565e-08,1.2081317125600677e-06
1867,1.4073153309368536e-08,1.290362529715594e-06
1868,3.210918098073279e-08,1.2675716283272465e-06
1869,2.8324410261681976e-08,1.362501872215205e-06
1870,1.1468097138589428e-08,1.0464638826590544e-06
1871,7.434823867669138e-09,1.0833600754267536e-06
1872,7.861540973763681e-09,1.4199152182925445e-06
1873,6.824045062359119e-08,1.0457549945996902e-06
1874,7.766991494406739e-09,1.24869328654853e-06
1875,1.77367336373635e-08,1.0041280091854787e-06
1876,4.111290130559553e-08,1.2720814925870627e-06
1877,2.72131899237138e-08,1.0341012535164396e-06
1878,1.2078177291652281e-08,1.3636261990690457e-06
1879,1.8938908663557186e-08,9.0906759053766e-07
1880,1.8611754359909582e-08,9.755126537669412e-07
1881,1.812851979643426e-08,1.0591238859269936e-06
1882,1.4641846846075168e-08,8.525548274018746e-07
1883,1.2638677882037541e-08,8.79651961938066e-07
1884,1.1222884843675729e-08,8.80666362057525e-07
1885,1.2246707925545053e-08,7.863675524633074e-07
1886,1.6133659463957173e-08,9.744730271599167e-07
1887,1.697520390919749e-08,8.92504007588002e-07
1888,1.7119659467823567e-08,8.718345330116506e-07
1889,7.518164202302557e-09,9.410235282114598e-07
1890,1.9007721174801873e-08,7.432674422602759e-07
1891,3.505821055682645e-08,7.406843423041209e-07
1892,2.1312941633766513e-08,6.813873185684827e-07
1893,1.3548516419881196e-08,7.106812707213805e-07
1894,1.5123694296903523e-08,8.305428735866371e-07
1895,1.2037228547256973e-08,8.281613421701195e-07
1896,9.435246306477296e-09,8.161488098679115e-07
1897,7.574727733938857e-09,6.490958739391317e-07
1898,1.018503881233812e-08,9.766320412385454e-07
1899,1.1055156790007459e-08,7.716499332843796e-07
1900,1.7130475371551768e-08,6.146207121027203e-07
1901,5.588739082629246e-09,6.44381600745092e-07
1902,1.2766738111125164e-08,5.396401983048804e-07
1903,6.48026410310365e-09,6.577468387725105e-07
1904,6.987012746151322e-09,6.180818772349994e-07
1905,8.257214467732865e-09,6.022606022781929e-07
1906,5.658602919567102e-09,5.16476119649667e-07
1907,8.228549175370858e-09,6.582839287005982e-07
1908,9.822778146428846e-09,5.648097349819636e-07
1909,5.500983557560346e-09,7.123773473338701e-07
1910,1.2825962070195374e-08,7.556629275651261e-07
1911,1.276889838308648e-08,6.437652958490858e-07
1912,6.772247596043002e-09,8.131906632513619e-07
1913,4.772690798127144e-09,7.493124170032672e-07
1914,4.68772043404897e-09,6.703440691424589e-07
1915,1.64930663570928e-08,6.455857604059645e-07
1916,1.3184954461564757e-08,6.812226427399537e-07
1917,1.644963654179321e-08,7.08431005636001e-07
1918,3.2161855401113826e-08,6.214129397719148e-07
1919,2.0257266697409904e-08,7.439941427378471e-07
1920,5.300562211374427e-09,6.640847121097693e-07
1921,2.7261891411001216e-08,6.838191008995409e-07
1922,2.5084979815570563e-08,7.355801878716761e-07
1923,3.3971033541746465e-08,6.942829977596432e-07
1924,3.222906141964188e-08,7.296659378930315e-07
1925,1.8696902470694e-08,8.435602207867987e-07
1926,1.560459417238036e-08,7.412181943777796e-07
1927,1.783875902550136e-08,6.343908971473411e-07
1928,9.140832757381645e-09,8.123915362645562e-07
1929,3.119313785049371e-08,6.706524455779572e-07
1930,1.4705044848462023e-08,7.520580336262128e-07
1931,2.0529641986399838e-08,8.029371123541296e-07
1932,2.1919073223131136e-08,6.400369142456341e-07
1933,1.1470662197865522e-08,5.242092602220083e-07
1934,1.1981580172459871e-08,6.086642994063141e-07
1935,1.4361940969820353e-08,6.426968690576018e-07
1936,2.667437293268904e-08,6.244227979124162e-07
1937,8.813782592653752e-09,4.7468515429471836e-07
1938,1.555825723809079e-08,7.260520161755935e-07
1939,1.988226649984881e-08,6.209384526556505e-07
1940,2.2822046030768206e-08,5.350501979251021e-07
1941,8.854508237732261e-09,5.135614387086207e-07
1942,2.730790527039062e-08,7.888950743772938e-07
1943,3.774205858952939e-08,5.719373570300945e-07
1944,2.2492303131116387e-08,7.13327308332623e-07
1945,1.9606536838523425e-08,6.056241126373152e-07
1946,1.6705325123211878e-08,7.155447434570306e-07
1947,2.0265480182857232e-08,5.698176419599577e-07
1948,1.848220909650422e-08,5.772972322404257e-07
1949,6.8719057111366055e-09,5.065576234031255e-07
1950,1.4889506072535141e-08,6.051520582417425e-07
1951,1.2793682113709792e-08,6.226258859598488e-07
1952,1.0544804140977249e-08,4.681892770141971e-07
1953,4.3095309543161875e-09,5.720902329642286e-07
1954,7.818028890937967e-09,6.098062534931614e-07
1955,1.1262729859851106e-08,5.246554879434484e-07
