year,mes_DET airs_NOUN,mes_DET chères_ADJ
1800,9.432493452976587e-09,8.489244152087849e-08
1801,3.333655596016172e-08,9.524730160137551e-08
1802,2.2378401354217203e-08,2.1483265300048515e-07
1803,3.1205427575287104e-08,2.398917251511534e-07
1804,5.19088700912107e-08,1.0628958690972468e-07
1805,1.7057266488151868e-08,1.2508662194932185e-07
1806,8.068673551520078e-08,1.613734728067584e-07
1807,0.0,2.163685852707431e-07
1808,6.798222074166915e-08,8.157866204783204e-08
1809,1.1295152813062259e-08,2.1008983708270534e-07
1810,6.552354792077608e-08,3.814406537294701e-07
1811,5.515568801683912e-08,1.0279014972525147e-07
1812,1.0668832928217853e-08,8.45504988689072e-07
1813,4.313612333994854e-08,1.2653262970729884e-07
1814,2.5173417128598885e-08,8.81069599500961e-08
1815,1.0788894222457657e-08,1.807139717868722e-07
1816,1.8540831092650478e-08,5.701305596517159e-07
1817,1.5568733857662664e-08,2.1640540825984544e-07
1818,0.0,3.075663723706157e-07
1819,4.140420006848444e-09,1.9356462921393813e-07
1820,3.678609061807947e-08,1.5426425292730528e-07
1821,2.465372084259343e-08,4.260162853597649e-07
1822,1.0025615893027862e-08,3.2984276288061665e-07
1823,2.9648061450338048e-08,5.040170165671043e-07
1824,2.6105450245950124e-08,4.943193419038039e-07
1825,1.496925317034936e-08,7.625513642750548e-07
1826,1.76159691278599e-08,3.118026512538563e-07
1827,1.3825909916942436e-08,3.474911904888245e-07
1828,2.2013523448549677e-08,2.604933460048642e-07
1829,2.0575622983187714e-08,3.7207582970211206e-07
1830,2.2961039292113128e-08,5.823754136713433e-07
1831,9.354723218280014e-09,1.5435294642429653e-07
1832,2.5706942574643676e-08,1.9753755342577506e-07
1833,2.548398292390175e-08,2.490480239814019e-07
1834,5.600718555598405e-09,4.769945363136685e-07
1835,1.663879345414898e-08,3.509272801238694e-07
1836,2.419469957715137e-08,4.704525125021064e-07
1837,7.653680356156656e-09,4.4808818522312777e-07
1838,1.7042836475411605e-08,3.206578238490465e-07
1839,6.9914749545318955e-09,4.1599277267323487e-07
1840,3.184844388215424e-08,6.911112446772449e-07
1841,1.733548060656176e-08,2.1252015613981712e-07
1842,7.379091560011375e-09,2.0527291244576418e-07
1843,2.4218335781256428e-08,2.020163534233177e-07
1844,4.390849017710252e-09,6.410639556975184e-07
1845,1.0602432709561072e-08,7.003185862330952e-07
1846,9.367202125076801e-09,4.906072135213435e-07
1847,6.47186837454683e-09,2.745150746719105e-07
1848,1.528592186161859e-08,2.413566537740053e-07
1849,6.703531951757213e-09,2.5138245085543076e-07
1850,2.1045888587423178e-08,2.6069744940571127e-07
1851,5.804494884742439e-09,3.2569664565329504e-07
1852,1.3021090872200602e-08,4.1341963630259215e-07
1853,2.20961471342207e-08,2.776948413441005e-07
1854,3.013485283531736e-08,1.1066765353007213e-06
1855,2.812676669350367e-08,4.2190149329712767e-07
1856,2.8992259260007813e-08,9.800419107364178e-07
1857,1.6597130780837688e-08,3.626961149194585e-07
1858,7.829881809584549e-08,3.425573229520751e-07
1859,3.360834455179429e-08,3.3455578218877235e-07
1860,1.876645361331697e-08,4.970821798622183e-07
1861,1.7920661843362495e-08,9.219709280472443e-07
1862,2.5300723294208183e-08,5.507425271389366e-07
1863,1.9479021062807078e-08,5.154448814437274e-07
1864,8.151037178549814e-09,5.959846802738866e-07
1865,1.3179164537469035e-08,4.819808738787401e-07
1866,3.503241252644784e-08,4.028727396132581e-07
1867,1.5043715606566366e-08,3.6056388452720967e-07
1868,1.2349684830326169e-08,4.4261272513779204e-07
1869,1.6115613732381462e-08,3.8091449283683687e-07
1870,1.490852596930381e-08,6.055155274964363e-07
1871,1.5931766128574054e-08,2.4853555391501914e-07
1872,1.8746751706544273e-08,2.443125062256968e-07
1873,3.112722185560912e-08,2.747576051120859e-07
1874,2.3898437007119355e-08,2.198656190444126e-07
1875,2.7463329999033448e-08,6.860111199102903e-07
1876,4.353130833578689e-08,3.6759769272975973e-07
1877,8.040260901509555e-09,4.37884976278724e-07
1878,2.355244521634603e-08,2.3069318544344242e-07
1879,2.077170613290491e-08,2.816398882998783e-07
1880,2.6954953824542827e-08,2.0922179366777982e-07
1881,2.9284532132578533e-08,2.4752401550642844e-07
1882,2.6621540527571597e-08,2.668809493400204e-07
1883,1.895801765572358e-08,2.1548946449456707e-07
1884,2.3105939384038265e-08,1.7626530990355604e-07
1885,2.6427105892512515e-08,2.301091992507054e-07
1886,1.677900662855336e-08,2.839524233522184e-07
1887,2.154545164501087e-08,2.2198343430090972e-07
1888,1.9021844543942734e-08,2.1494683810630022e-07
1889,1.3156787381785051e-08,2.524850089002939e-07
1890,1.2453334363726754e-08,2.1629475543960552e-07
1891,2.6771723837804018e-08,1.644548772716803e-07
1892,1.6298132621272998e-08,2.820830680150266e-07
1893,1.23168328869383e-08,2.580376481375879e-07
1894,1.827446460822557e-08,4.688345089931545e-07
1895,2.7083764564395096e-08,2.985232647745306e-07
1896,9.435246361988447e-09,5.165797478667855e-07
1897,9.322741689743452e-09,2.051003153979991e-07
1898,1.5277558773618694e-08,3.9438734233954165e-07
