year,ces_DET airs_NOUN,ces_DET chairs_NOUN
1800,4.181738866293472e-07,1.131899196593622e-07
1801,4.238504889286787e-07,1.3810859300633638e-07
1802,3.6700578220916213e-07,1.4545960880241182e-07
1803,4.0567054426787763e-07,8.776526794207484e-08
1804,7.786330371573058e-07,1.1617699158250616e-07
1805,6.02690079176682e-07,4.264316544322355e-08
1806,7.405889590472725e-07,6.051504897186533e-08
1807,3.3024679169102455e-07,3.9857372513552036e-08
1808,3.3991110370834576e-07,4.7587553009265093e-08
1809,3.998484032763372e-07,5.873479480555943e-08
1810,4.5632472378542843e-07,1.2168659146993832e-07
1811,4.061464267124393e-07,1.0780430415024966e-07
1812,6.027890364634914e-07,2.2937990706850542e-07
1813,6.039057396378666e-07,8.914799209946977e-08
1814,7.457624633389059e-07,1.1013369682899565e-07
1815,2.643279088943018e-07,6.743059000058338e-08
1816,3.036061109185084e-07,1.0660977878274025e-07
1817,4.110145797042719e-07,9.808302792180257e-08
1818,3.9339886015454795e-07,1.4663047487317726e-07
1819,4.5958660876976865e-07,1.221423904240737e-07
1820,5.541646501683317e-07,3.9159388620646496e-08
1821,5.216727174683911e-07,1.1242096320529527e-07
1822,4.4513735986129177e-07,1.1328945959121484e-07
1823,3.014219576158439e-07,8.30145694408202e-08
1824,3.7558162802042716e-07,6.736889890390785e-08
1825,5.151184421237076e-07,7.484626651788062e-08
1826,3.8138572833190665e-07,9.776862297528055e-08
1827,2.7283126868837826e-07,6.728609314166079e-08
1828,3.6689204740980585e-07,1.1190207516165174e-07
1829,3.7379047057584103e-07,1.4574398932154509e-07
1830,5.89681221185856e-07,6.157732990175191e-08
1831,2.806417143119688e-07,1.325252512174302e-07
1832,4.4784197683611637e-07,1.7724259393503417e-07
1833,5.965568661281395e-07,1.3900353934559462e-07
1834,3.2857548859510644e-07,1.3908450924304816e-07
1835,4.363901808801529e-07,1.2479095090611736e-07
1836,3.790502951517283e-07,1.6197007823848253e-07
1837,2.845777480331435e-07,1.5098623951104173e-07
1838,3.1118958787601514e-07,8.963269815254193e-08
1839,4.1809022022221143e-07,1.2095251999966194e-07
1840,3.40141363963653e-07,8.535382800545221e-08
1841,3.6918153512033314e-07,9.309795601097903e-08
1842,3.481589700982113e-07,9.05615809010385e-08
1843,3.691819294715515e-07,7.501777377072472e-08
1844,3.9956725217393796e-07,9.879410001190081e-08
1845,3.7499130378648715e-07,1.0937247130193839e-07
1846,3.4424467898475086e-07,8.664662054513883e-08
1847,2.998632275819091e-07,1.0624650848001238e-07
1848,3.041093847855336e-07,1.0861049204446971e-07
1849,3.578010066007664e-07,7.541473778793772e-08
1850,2.966791328162799e-07,6.177986477950981e-08
1851,2.7281125092315506e-07,1.0190113464147998e-07
1852,5.546984809257083e-07,1.1067927374597275e-07
1853,3.702597801691354e-07,1.0092564828312334e-07
1854,5.268403597824545e-07,1.0027632590947633e-07
1855,3.5184992697168127e-07,1.2683578987093824e-07
1856,4.498977546063543e-07,1.2166394558477123e-07
1857,4.266438917710502e-07,1.0739319833419358e-07
1858,3.4402541970735e-07,6.068158375782673e-08
1859,5.356966497060967e-07,9.72605092020018e-08
1860,3.712096017238764e-07,1.071061030977205e-07
1861,4.456585642742539e-07,1.3723454905800736e-07
1862,3.194216411372963e-07,1.0662447680331866e-07
1863,3.041724134789092e-07,1.173735921788932e-07
1864,3.490561972796513e-07,9.062036099294346e-08
