year,des_DET armes_NOUN,des_DET charmes_NOUN
1800,8.193692586644374e-06,2.175761746769922e-06
1801,7.96743724862381e-06,2.60263250950743e-06
1802,8.047273126976506e-06,1.924542544884389e-06
1803,7.971036630749495e-06,2.075161041226181e-06
1804,8.522942422928281e-06,2.667127148470172e-06
1805,6.518718492998232e-06,2.163429918766724e-06
1806,7.143657910546608e-06,2.1439619306562463e-06
1807,7.80919829423965e-06,1.9387765419764946e-06
1808,7.57548546914677e-06,1.7811341628259925e-06
1809,7.762028786828523e-06,1.6445742403448094e-06
1810,7.701357240819107e-06,2.3003446294467267e-06
1811,8.315973985872915e-06,2.1485647465624425e-06
1812,8.097644151661143e-06,1.442959629116558e-06
1813,7.212360046082722e-06,2.1798121423444172e-06
1814,8.911389500099176e-06,1.5796319292604721e-06
1815,9.089643313586748e-06,1.4915646067148458e-06
1816,7.791783943389419e-06,1.4345967951356897e-06
1817,8.70603602720621e-06,1.871361844152375e-06
1818,8.53675550160915e-06,1.7023441554187002e-06
1819,9.193802682716523e-06,1.664448799232332e-06
1820,1.026450597407802e-05,1.9674626727805844e-06
1821,9.679050357647156e-06,2.0068129629180476e-06
1822,9.250636054503047e-06,1.8006006285986587e-06
1823,1.0198932791638526e-05,1.7373763014916221e-06
1824,9.659016342311588e-06,1.7608546301062233e-06
1825,9.661332150301405e-06,1.6827201889668686e-06
1826,9.432470577053209e-06,1.6603050241315032e-06
1827,9.107587487733326e-06,1.1659849850076398e-06
1828,8.91547718140373e-06,1.2199161192327779e-06
1829,7.782729269933952e-06,1.1882422343845178e-06
1830,9.310701017284373e-06,1.6062290519869293e-06
1831,8.464465636848217e-06,1.1007391780282205e-06
1832,9.2409694758544e-06,1.3814098376307982e-06
1833,8.52786755700663e-06,1.281149313747676e-06
1834,1.0744045098931565e-05,1.1649494764398582e-06
1835,1.0796308202998262e-05,1.2569852216870459e-06
1836,9.735006557320958e-06,1.0302910329329507e-06
1837,8.94367259718365e-06,9.100921438687237e-07
1838,9.276984684447598e-06,1.0143644679772024e-06
1839,9.114785960662175e-06,8.991037132588531e-07
1840,1.0084490924100464e-05,8.662776789236659e-07
1841,7.759875032320451e-06,9.11075863641031e-07
1842,9.059511576481327e-06,8.418872798898747e-07
1843,7.465154354235892e-06,8.771763098103236e-07
1844,8.777307620277952e-06,9.325065333243288e-07
1845,8.221907648930937e-06,8.431724589641476e-07
1846,8.0610631485456e-06,7.967976487499584e-07
1847,9.144210821432353e-06,6.22917307069315e-07
1848,9.30590771019979e-06,5.937373517284072e-07
1849,8.880504360320174e-06,5.890728722590666e-07
1850,8.202465053841479e-06,6.578536959622738e-07
1851,8.492620665379036e-06,6.533281187159901e-07
1852,7.596504588036623e-06,8.053544462427453e-07
1853,7.3180051671783986e-06,8.623469591739763e-07
1854,7.1741736391572886e-06,9.913328220534368e-07
1855,6.979683860208752e-06,9.791298509753688e-07
1856,7.115528859458209e-06,8.485413287573351e-07
1857,7.375960173305884e-06,8.322973261698507e-07
1858,7.708029173159048e-06,9.65032885602568e-07
1859,7.957539040148731e-06,7.892868554293386e-07
1860,8.98363899892729e-06,7.721709236463425e-07
1861,8.488263190997714e-06,7.187128616692462e-07
1862,8.100749255390838e-06,9.573612662627795e-07
1863,8.134239024570888e-06,9.609650999387043e-07
1864,7.500872470700415e-06,9.138751249082588e-07
1865,7.487648055359841e-06,7.130869423832564e-07
1866,7.503261500119152e-06,6.719411373978801e-07
1867,7.785851046548942e-06,5.852490776447894e-07
1868,7.814387238624931e-06,6.466294948381801e-07
1869,7.2569095905805625e-06,7.076219312729393e-07
1870,7.614243415332567e-06,6.680166650951946e-07
1871,9.473027816397916e-06,5.661087731922976e-07
1872,9.075241678146995e-06,5.684499164715362e-07
1873,8.460618857952795e-06,5.267684080045854e-07
1874,8.814938766477098e-06,5.556386621918818e-07
1875,7.343007801807744e-06,6.328008765876802e-07
1876,6.841670519008858e-06,6.729214656608917e-07
1877,6.890503513545809e-06,7.199125957590979e-07
1878,7.1321635317644905e-06,7.258984524582957e-07
1879,6.879100197920707e-06,6.145980995242439e-07
1880,6.063581210469238e-06,7.098137846384134e-07
1881,6.992030535002414e-06,6.093971727239023e-07
1882,6.023123496845528e-06,6.855046486009542e-07
1883,6.1847372307966e-06,5.839069441293532e-07
1884,6.85652267407022e-06,4.898459042834702e-07
1885,6.3354151897954125e-06,3.796479364215344e-07
1886,6.203069588650578e-06,5.382188907887553e-07
1887,5.893007141821727e-06,4.518015925825125e-07
1888,6.100939529574134e-06,4.850570434200563e-07
1889,6.654201605726939e-06,4.592345108633822e-07
1890,5.881906318450092e-06,3.814652922429218e-07
1891,5.759745064892741e-06,3.4357044764732336e-07
1892,5.872969069287137e-06,4.820486028123128e-07
1893,6.364723510898784e-06,4.2185152526741376e-07
1894,6.012928835730236e-06,4.0644928400723757e-07
1895,5.777268000883851e-06,3.581075751490914e-07
1896,5.999637501474808e-06,3.715128296111203e-07
1897,5.699108413637077e-06,4.6380639495691156e-07
1898,5.188145475898409e-06,4.147574126367459e-07
1899,5.207531827977618e-06,3.8582497730033083e-07
1900,5.1983205509031905e-06,3.659692504598411e-07
1901,5.014775606326793e-06,3.263823638022245e-07
1902,4.178651533237598e-06,3.118030300619523e-07
1903,5.095107894703688e-06,3.5047429580714606e-07
1904,4.803302612543803e-06,3.762237597015883e-07
1905,4.784539775926078e-06,3.963462877898394e-07
