year,ses_DET airs_NOUN,ses_DET chairs_NOUN
1800,3.018397904952508e-07,2.546773161249405e-07
1801,4.143257559263702e-07,3.119349116786907e-07
1802,2.4616241489638924e-07,1.4769744893783354e-07
1803,4.21273259831878e-07,3.101039414143969e-07
1804,7.464990119387949e-07,3.139250579486941e-07
1805,3.098736751638853e-07,1.279295029910088e-07
1806,5.503988118604752e-07,2.7664024493390116e-07
1807,2.4768510797912313e-07,1.7081731096268982e-07
1808,3.512414803452657e-07,1.9488236269182835e-07
1809,2.868968715930009e-07,1.6716825257390155e-07
1810,4.422839516848853e-07,1.7784962658140557e-07
1811,5.114436874009698e-07,1.5293167621166504e-07
1812,6.134579066952028e-07,2.453831555726538e-07
1813,7.620715223310981e-07,4.284855017466782e-07
1814,2.832009533548785e-07,1.2901376233998008e-07
1815,1.7531953111493692e-07,1.8341120600062766e-07
1816,3.569109896517375e-07,3.5691098787538067e-07
1817,3.3939841515007174e-07,2.895784447787264e-07
1818,3.6598014663269396e-07,2.419999045599752e-07
1819,3.0949639295840825e-07,1.7596784473994376e-07
1820,3.548077778248171e-07,1.9223698899395458e-07
1821,2.504818059634317e-07,2.090635486950987e-07
1822,4.661911532366503e-07,1.7544827812798758e-07
1823,5.297120146963152e-07,2.3718448094456335e-07
1824,2.5937027459121964e-07,2.770546183583633e-07
1825,3.2492083512636327e-07,2.2189716020193373e-07
1826,2.1051082210732375e-07,1.699940956889634e-07
1827,2.2213627737244224e-07,1.6591091167583727e-07
1828,2.5315550056248526e-07,2.1554907370102683e-07
1829,2.9491725683783443e-07,1.7660743178993243e-07
1830,4.039055490068222e-07,2.0664935362901815e-07
1831,2.8064169654840043e-07,1.8553535419130185e-07
1832,2.273034804822771e-07,2.2730347915000948e-07
1833,2.8495726667188137e-07,3.1159961366711286e-07
1834,2.174945723520949e-07,3.1737403993759017e-07
1835,2.8134687113379186e-07,2.140353956292529e-07
1836,3.461186359743351e-07,3.286446750294658e-07
1837,2.1847777098571441e-07,1.7394726903319224e-07
1838,2.3165634388533363e-07,2.2092566620557363e-07
1839,2.929428202236295e-07,2.4330333747712984e-07
1840,2.3695241679888568e-07,2.5860935881638625e-07
1841,3.017657759230019e-07,2.812200214918903e-07
1842,3.474881253850981e-07,2.3076432320578988e-07
1843,3.904468250937043e-07,2.793968789660539e-07
1844,3.534633599144854e-07,2.058210517574821e-07
1845,2.812434836130251e-07,2.711990791937069e-07
1846,2.8452876144058337e-07,2.83357872277179e-07
1847,1.9361672976003774e-07,1.6880790187911998e-07
1848,2.856053598065955e-07,2.284842901545403e-07
1849,3.0584863974780774e-07,2.3965126683123117e-07
1850,2.0910107512150944e-07,2.33541459948583e-07
1851,2.1154158513780885e-07,1.915483309744559e-07
1852,2.975319315368097e-07,2.44796511950085e-07
1853,3.3084501804836464e-07,2.6395937702261563e-07
1854,3.205725054300501e-07,2.3796143722165652e-07
1855,4.24554979616687e-07,2.4889533634109284e-07
1856,3.6861587382475136e-07,1.9259144412586693e-07
1857,3.6220798094177553e-07,2.0502337649830338e-07
1858,3.9002598661852517e-07,1.8987463146213912e-07
1859,3.890420323671151e-07,2.3373075030974633e-07
1860,3.972995692436143e-07,2.700538637157024e-07
1861,3.2634468283276874e-07,2.5890640920067653e-07
1862,3.117410560804501e-07,2.3312809149800273e-07
1863,3.6310894024893514e-07,2.6721220480752095e-07
1864,3.605635559011944e-07,2.977526047942547e-07
1865,3.652511124663249e-07,2.6170054656660113e-07
1866,3.14805156165221e-07,2.6420277254857183e-07
1867,3.799751358002368e-07,2.1449426235164992e-07
1868,3.5171902101893693e-07,2.0846268800056578e-07
1869,3.731008497709354e-07,2.280603430548922e-07
1870,3.635387013645186e-07,2.425502589886719e-07
1871,3.2500803737178785e-07,1.5825553845161267e-07
1872,3.2837051566758646e-07,2.830154919308825e-07
1873,4.477531332369722e-07,2.83736603989837e-07
1874,3.172517573091227e-07,2.2643768460284264e-07
1875,3.341371748177835e-07,2.0483066531795657e-07
1876,3.766667333593432e-07,3.246709852078311e-07
1877,3.3892790440859244e-07,3.253213165521629e-07
1878,4.1971667208429153e-07,2.011016477787564e-07
1879,3.8366562193914433e-07,1.802250926274951e-07
1880,3.529815550962212e-07,2.1884856060694347e-07
1881,4.0440544069042517e-07,2.168449793060745e-07
1882,3.4009017646496886e-07,2.6688094401094986e-07
1883,3.444039791133946e-07,1.7820536335477755e-07
1884,4.152467312223962e-07,2.0003141543156744e-07
1885,3.7706968569750643e-07,1.791886767854578e-07
1886,3.9753338043624353e-07,1.813423287089222e-07
1887,3.6627267441247113e-07,1.7823964082452903e-07
1888,3.734621962792062e-07,2.561608454243469e-07
1889,3.35811327190072e-07,2.0236391851113922e-07
1890,3.480379096032493e-07,1.9859791322573983e-07
