year,deux_DET chantiers_NOUN
1800,1.2576657937302116e-08
1801,2.1430643926123594e-08
1802,2.2378401354217203e-08
1803,3.90067853572873e-08
1804,3.460591280202152e-08
1805,0.0
1806,1.729001475325731e-08
1807,3.131650672116848e-08
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,4.680253518074551e-09
1811,1.2535383842049441e-08
1812,1.3336041604361526e-08
1813,5.751483289628823e-09
1814,6.293354282149721e-09
1815,0.0
1816,6.952811659743929e-09
1817,1.2454987263765815e-08
1818,1.1921177378582115e-09
1819,3.726377961754679e-08
1820,1.542642635854463e-08
1821,9.86148829262845e-10
1822,1.7043547018147365e-08
1823,9.882686891060644e-10
1824,3.3684450784221553e-09
1825,1.4969252504215547e-08
1826,1.4973572604048968e-08
1827,1.382590963938668e-08
1828,4.586150570418113e-09
1829,1.714635172733736e-08
1830,1.0436835395921662e-08
1831,1.2472964883158966e-08
1832,2.705993829010822e-08
1833,1.1583628500844156e-09
1834,3.267085801894609e-08
1835,5.294161553592858e-09
1836,1.478565020418543e-08
1837,5.4967336904354624e-08
1838,1.7042836475411605e-08
1839,4.1249703208734445e-08
1840,1.3376346252869098e-08
1841,3.659712533021775e-08
1842,2.1466447286400125e-08
1843,1.0041748765843295e-08
1844,1.866110915793584e-08
1845,1.3392547515422848e-08
1846,1.5807152919933287e-08
1847,9.168480197274675e-09
1848,1.3676876908785829e-08
1849,5.865590679832167e-09
1850,1.765138968323754e-08
1851,9.674158363282004e-09
1852,9.114764054629632e-09
1853,1.3138249599364826e-08
1854,1.50674273058371e-08
1855,2.7596072982305486e-08
1856,3.4687168137814695e-08
1857,1.513267827712994e-08
1858,5.0894229275399994e-08
1859,1.629495471888731e-08
1860,5.492620663849479e-09
1861,4.385846352761291e-08
1862,1.581295272501393e-08
1863,1.5982786927271064e-08
1864,7.671564716815737e-09
1865,7.0602665935837194e-09
1866,1.8002767721014834e-08
1867,1.1161466417775046e-08
1868,1.2843672791973404e-08
1869,1.5627261262807224e-08
1870,3.727131803188399e-08
1871,2.4428708167434365e-08
1872,6.652073114565837e-09
1873,1.5563611288627044e-08
1874,4.062734149101743e-08
1875,1.716458086775674e-08
1876,2.781166785759126e-08
