year,mes_DET airs_NOUN,mes_DET chers_ADJ
1800,9.432493452976587e-09,2.609656561958218e-07
1801,3.333655596016172e-08,3.714644805086209e-07
1802,2.2378401354217203e-08,2.842056971985585e-07
1803,3.1205427575287104e-08,4.427269966189584e-07
1804,5.19088700912107e-08,2.6201620073607046e-07
1805,1.7057266488151868e-08,3.525168277285218e-07
1806,8.068673551520078e-08,1.556101292266021e-07
1807,0.0,5.836257770397424e-07
1808,6.798222074166915e-08,2.424699130365582e-07
1809,1.1295152813062259e-08,5.308721853225506e-07
1810,6.552354792077608e-08,8.026634930047294e-07
1811,5.515568801683912e-08,2.3065106358188814e-07
1812,1.0668832928217853e-08,6.401299557090567e-07
1813,4.313612333994854e-08,2.6169247746565816e-07
1814,2.5173417128598885e-08,2.2970742685757273e-07
1815,1.0788894222457657e-08,2.2656676845755896e-07
1816,1.8540831092650478e-08,5.191432812523544e-07
1817,1.5568733857662664e-08,4.919719858165195e-07
1818,0.0,3.2544813888257806e-07
1819,4.140420006848444e-09,3.198474445298416e-07
1820,3.678609061807947e-08,2.4326286052200885e-07
1821,2.465372084259343e-08,1.334259398522164e-06
1822,1.0025615893027862e-08,5.193268890479885e-07
1823,2.9648061450338048e-08,7.63931693459341e-07
1824,2.6105450245950124e-08,5.911621077103746e-07
1825,1.496925317034936e-08,4.217807199058399e-07
1826,1.76159691278599e-08,2.959482716669015e-07
1827,1.3825909916942436e-08,4.064817367144258e-07
1828,2.2013523448549677e-08,4.301809373163934e-07
1829,2.0575622983187714e-08,3.4721362818235235e-07
1830,2.2961039292113128e-08,7.003116742065885e-07
1831,9.354723218280014e-09,6.93808669627316e-07
1832,2.5706942574643676e-08,1.17304836300125e-06
1833,2.548398292390175e-08,6.011903268543506e-07
1834,5.600718555598405e-09,5.796743700603457e-07
1835,1.663879345414898e-08,4.076504254157953e-07
1836,2.419469957715137e-08,3.588880545524198e-07
1837,7.653680356156656e-09,5.009681361967111e-07
1838,1.7042836475411605e-08,3.5726837088745356e-07
1839,6.9914749545318955e-09,4.0480640750573116e-07
1840,3.184844388215424e-08,5.331429417942957e-07
1841,1.733548060656176e-08,3.839487998646973e-07
1842,7.379091560011375e-09,3.4614647370645457e-07
1843,2.4218335781256428e-08,3.7331677021912313e-07
1844,4.390849017710252e-09,6.180119940246698e-07
1845,1.0602432709561072e-08,6.015485650712193e-07
1846,9.367202125076801e-09,4.695310118485452e-07
1847,6.47186837454683e-09,3.5703140355280993e-07
1848,1.528592186161859e-08,2.8801894547125784e-07
1849,6.703531951757213e-09,2.430030254796378e-07
1850,2.1045888587423178e-08,3.2519291082167e-07
1851,5.804494884742439e-09,2.715213680559714e-07
1852,1.3021090872200602e-08,4.3750864842095893e-07
1853,2.20961471342207e-08,5.06419803425473e-07
1854,3.013485283531736e-08,5.081359824576914e-07
1855,2.812676669350367e-08,4.282698284896469e-07
1856,2.8992259260007813e-08,5.513706509141514e-07
1857,1.6597130780837688e-08,3.9930743828131554e-07
1858,7.829881809584549e-08,2.887268847340252e-07
1859,3.360834455179429e-08,3.6765491562285035e-07
1860,1.876645361331697e-08,4.151505933469579e-07
1861,1.7920661843362495e-08,4.102888427892637e-07
1862,2.5300723294208183e-08,3.6550508109023383e-07
1863,1.9479021062807078e-08,3.4862452436001945e-07
1864,8.151037178549814e-09,3.9508559934731124e-07
1865,1.3179164537469035e-08,4.744499021436255e-07
1866,3.503241252644784e-08,4.2038896097551515e-07
1867,1.5043715606566366e-08,3.125210596977013e-07
1868,1.2349684830326169e-08,3.586348569228903e-07
1869,1.6115613732381462e-08,4.5416727523228673e-07
1870,1.490852596930381e-08,4.805132953755731e-07
1871,1.5931766128574054e-08,8.57128998665857e-07
1872,1.8746751706544273e-08,6.676262550575629e-07
1873,3.112722185560912e-08,3.9328049666886855e-07
1874,2.3898437007119355e-08,3.0351014079776917e-07
1875,2.7463329999033448e-08,3.9993474398869466e-07
1876,4.353130833578689e-08,3.2950781836404985e-07
1877,8.040260901509555e-09,5.2570935105134e-07
1878,2.355244521634603e-08,3.460397763888068e-07
1879,2.077170613290491e-08,5.577814068402631e-07
1880,2.6954953824542827e-08,4.2871214045447914e-07
1881,2.9284532132578533e-08,7.307188030769574e-07
1882,2.6621540527571597e-08,5.031471232985751e-07
1883,1.895801765572358e-08,4.366663278188021e-07
1884,2.3105939384038265e-08,3.3866705262397545e-07
1885,2.6427105892512515e-08,3.0745683210486874e-07
1886,1.677900662855336e-08,4.4206227123311237e-07
1887,2.154545164501087e-08,3.277520247424448e-07
1888,1.9021844543942734e-08,3.7156001675420214e-07
1889,1.3156787381785051e-08,3.7590820411992354e-07
1890,1.2453334363726754e-08,3.8801968094137607e-07
1891,2.6771723837804018e-08,3.097870928669977e-07
1892,1.6298132621272998e-08,2.9712749083365964e-07
1893,1.23168328869383e-08,4.4032677681826726e-07
1894,1.827446460822557e-08,3.402831234566861e-07
1895,2.7083764564395096e-08,4.429700388719482e-07
1896,9.435246361988447e-09,3.827171816128683e-07
1897,9.322741689743452e-09,3.7524035667590994e-07
1898,1.5277558773618694e-08,4.255082910464836e-07
1899,1.9346524382513053e-08,4.3778420888429537e-07
1900,1.9206896184620348e-08,4.3812488170758e-07
1901,6.147612641171918e-09,3.755632616009308e-07
1902,7.365425880312415e-09,3.1278507561793845e-07
1903,1.0800440541913758e-08,3.531744061646691e-07
1904,1.2361637935498493e-08,3.595624340491099e-07
1905,9.28936660926638e-09,4.2576261449767117e-07
1906,9.259531807970234e-09,3.8890033837724047e-07
1907,1.7485666858885196e-08,4.834272688825081e-07
1908,1.7680999775393502e-08,5.333768355875179e-07
1909,1.9803540807217246e-08,4.1477415674284757e-07
1910,1.6566866878342523e-08,4.905930457432817e-07
1911,2.2877608141236294e-08,5.607674440355481e-07
1912,1.2502610502451716e-08,4.480102173687328e-07
1913,3.712092677687906e-08,5.759047021491881e-07
1914,1.1384464038144415e-08,5.384181949175115e-07
1915,2.1205371680821372e-08,6.98599190718241e-07
1916,1.2086208478478966e-08,5.823354791711921e-07
1917,1.864292187292449e-08,6.228929008145201e-07
1918,1.8378202071289707e-08,5.961429430101362e-07
1919,1.2890987832747669e-08,6.97034131746932e-07
1920,1.2872794385998532e-08,5.103684164176059e-07
1921,3.634918854800162e-08,4.922285663511161e-07
1922,2.87739485571592e-08,5.238334286339352e-07
1923,2.7601466001669905e-08,4.883336108818526e-07
1924,1.675911143195208e-08,6.226654540864018e-07
1925,2.859526304632709e-08,5.466094246120434e-07
1926,3.343841470382358e-08,5.104931315447203e-07
1927,3.4562596340492746e-08,5.485418455020152e-07
1928,2.5137291359556002e-08,4.684676908617291e-07
1929,2.4508894691521732e-08,5.85985368450892e-07
1930,2.6259009189288918e-08,5.335830653985241e-07
1931,1.8248570654577634e-08,6.215919396979075e-07
1932,2.082311922890767e-08,6.214057269859907e-07
1933,1.261772819560747e-08,5.827096420940592e-07
1934,1.1981580172459871e-09,6.398163989729255e-07
