year,telles_ADJ armes_NOUN,telles_ADJ larmes_NOUN
1800,3.144164395507687e-08,0.0
1801,4.286128785224719e-08,0.0
1802,7.384872446891677e-08,0.0
1803,7.606323038089613e-08,7.801356893821776e-09
1804,1.0134588990240445e-07,2.4718509905596875e-08
1805,1.4214388954769674e-07,3.695740957709859e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,1.0249038240317532e-07,8.540865792383556e-09
1808,9.970725756147658e-08,4.5321479902327155e-09
1809,3.388545621874073e-08,3.388545621874073e-08
1810,7.488405628919281e-08,5.3822915901946544e-08
1811,3.760615285841595e-08,7.521229861140455e-09
1812,4.267533171287141e-08,1.3336041604361526e-08
1813,5.7514832008109806e-08,2.5881675469463516e-08
1814,1.3530711839848664e-07,3.1466771410748606e-09
1815,6.74305908887618e-08,2.697223555614414e-09
1816,4.8669683394564345e-08,1.1588019432906549e-08
1817,9.808302792180257e-08,7.784366928831332e-09
1818,5.364529798157491e-08,1.4305412854298538e-08
1819,1.604412744882211e-07,2.070210003424222e-09
1820,9.374520004712394e-08,9.493184904840746e-09
1821,1.5088076565916708e-07,2.5639868894700157e-08
1822,8.622029668003961e-08,1.804610860745015e-08
1823,1.7690010167825676e-07,1.087095569118901e-08
1824,1.1873768812620256e-07,1.2631669044083083e-08
1825,1.5321471380502771e-07,2.201360693732113e-08
1826,1.241925815520517e-07,7.927186018719112e-09
1827,6.083400450052068e-08,3.6869092223668076e-09
1828,7.429564163885516e-08,8.255071293206129e-09
1829,6.77280880267972e-08,3.429270423183084e-09
1830,1.054120417620652e-07,9.39315203396518e-09
1831,1.0134284167406804e-07,1.5591206103948707e-09
1832,1.2312271735481772e-07,5.411987746839486e-09
1833,7.992703388026712e-08,6.950177322551099e-09
1834,1.23215812664057e-07,3.733812370398937e-09
1835,1.232783404248039e-07,9.075705520444899e-09
1836,1.357591514761225e-07,1.8146025126952736e-08
1837,6.54041727443655e-08,8.349468672008697e-09
1838,1.6600985475179186e-07,1.64116205070286e-08
1839,1.0417298312859202e-07,2.7965900706306e-09
1840,8.66277645172886e-08,6.3696887764308485e-09
1841,7.512041833024341e-08,1.2841097074556274e-08
1842,6.842430622100437e-08,1.542900918138912e-08
1843,7.619915010081968e-08,5.31621990873532e-09
1844,7.025358428336403e-08,9.879410178825765e-09
1845,6.082448322786149e-08,1.3950569588416784e-08
1846,5.503231292891542e-08,5.269050973311096e-09
1847,1.1163972857275439e-07,3.235934187273415e-09
1848,9.091100849900613e-08,7.24069959545659e-09
1849,7.709061833338637e-08,1.005529792763582e-08
1850,6.042206734946376e-08,7.467895635215882e-09
1851,9.02921399870138e-08,5.159551008659946e-09
1852,8.268392548416159e-08,1.1718981340891332e-08
1853,8.659301187208257e-08,8.957897534855874e-09
1854,6.702406807335137e-08,2.4939190268469247e-08
1855,1.0454665755332826e-07,7.429711956774554e-09
1856,7.76578374939163e-08,9.318940286107136e-09
1857,6.443592326377257e-08,8.298565390418844e-09
1858,7.34051397444091e-08,1.2234189661342043e-08
1859,9.165911762920587e-08,1.5785737161877478e-08
1860,7.140406665939736e-08,1.5562426014525954e-08
1861,8.771692705522582e-08,1.2733101684148096e-08
1862,9.03597268120393e-08,1.0391368654438793e-08
1863,9.489779273508248e-08,1.6482248454963155e-08
1864,8.055143041474366e-08,1.6781548595190543e-08
1865,5.7894187222018445e-08,2.3063536858103362e-08
1866,6.617233339056838e-08,1.8489329178805747e-08
1867,8.73506067478047e-08,2.1837651686951176e-08
1868,6.471235280969267e-08,1.1855697756857353e-08
1869,7.960136372275883e-08,1.0743741896135361e-08
1870,7.339582452914328e-08,4.587239033071455e-09
1871,9.877695106297324e-08,1.0621176826930423e-08
1872,9.61526964715631e-08,1.5723081503438152e-08
1873,1.1193828441946607e-07,1.7958013742713774e-08
1874,4.241972462182275e-08,4.182226565063729e-09
1875,5.607096653648114e-08,5.721527251978387e-09
1876,6.287855569553358e-08,1.3301232115736639e-08
1877,6.80329748092845e-08,8.658742167710898e-09
1878,6.944951991272319e-08,1.3285995414946683e-08
1879,4.948553566919145e-08,3.665595160740054e-09
1880,5.390990764908565e-08,7.059631101924424e-09
1881,6.135806529528054e-08,5.5780060570498335e-09
1882,7.254369904785563e-08,1.4641846846075168e-08
1883,4.3603439081607576e-08,7.58320695126713e-09
1884,3.630933420595284e-08,9.242375753615306e-09
1885,3.93183761104865e-08,1.2246707647989297e-08
1886,4.58195934527339e-08,2.1296431285122708e-08
1887,4.83140425444617e-08,1.2404957061562527e-08
1888,4.311618084784641e-08,8.242799331981132e-09
1889,3.633779144252003e-08,3.759081934617825e-09
