year,figures_NOUN égales_ADJ,figures_NOUN légales_ADJ
1800,2.515331676278265e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,3.7340915692851695e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,0.0,0.0
1815,3.236668177919455e-08,0.0
1816,4.4034475621401725e-08,0.0
1817,2.3353100786493997e-08,6.227493631882908e-09
1818,9.536941902865692e-09,0.0
1819,7.24573512300708e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,9.86148829262845e-10,1.97229765852569e-09
1822,4.010246357211145e-09,0.0
1823,1.8777104315859106e-08,0.0
1824,1.0105335235266466e-08,2.5263338088166165e-09
1825,6.427973175959778e-08,0.0
1826,3.3470339388941284e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,4.608636583469661e-09
1828,3.485474309172787e-08,9.172301251858528e-10
1829,1.2002446148073886e-08,4.286587973467704e-09
1830,7.30578508800761e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,5.411987746839486e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,2.8003592777992026e-09,1.8669061851994684e-09
1835,1.4369867074037757e-08,2.2689263801112247e-09
1836,8.736974699274924e-09,0.0
1837,9.045257876039159e-09,6.957890930081589e-10
1838,1.7042836475411605e-08,0.0
1839,2.0974426639952526e-09,0.0
1840,3.821813088222825e-09,1.2739377330817092e-09
1841,2.43980835534785e-08,6.998397594770722e-08
1842,1.0733224087289273e-08,1.341653010911159e-09
1843,7.088293285661962e-09,1.1813822142769936e-09
1844,1.7014540221182983e-08,3.2931368743049916e-09
1845,5.5802281129224696e-09,0.0
1846,1.7563503540429792e-08,0.0
1847,2.1572894581822766e-09,0.0
1848,1.2067832733109185e-08,0.0
1849,0.0,0.0
1850,8.146795238417326e-09,2.7155984128057753e-09
1851,9.029214265154906e-09,0.0
1852,8.463708844885787e-09,5.208436348880241e-09
1853,1.6124216628554677e-08,5.971931837933653e-10
1854,3.117398783558656e-09,0.0
1855,3.661786607267459e-08,3.714855978387277e-09
1856,6.212626857404757e-09,0.0
1857,1.0251168802710708e-08,9.763018171682347e-10
1858,1.5170396494568195e-08,0.0
