year,hauteurs_NOUN égales_ADJ,hauteurs_NOUN egales_ADJ
1800,2.2952400513531757e-07,0.0
1801,3.333655484993869e-08,0.0
1802,9.84649659585557e-08,0.0
1803,1.1116933507082649e-07,0.0
1804,2.3235398316501232e-07,0.0
1805,6.481761047893997e-07,0.0
1806,9.221341201737232e-08,0.0
1807,8.54086508184082e-08,0.0
1808,1.8808414381510374e-07,2.2660739951163578e-09
1809,2.2364402241237258e-07,2.259030518203531e-09
1810,2.971960952891095e-07,0.0
1811,1.0279014617253779e-07,0.0
1812,2.9339290108509886e-07,0.0
1813,1.581657897986588e-07,0.0
1814,9.125363931161701e-08,0.0
1815,5.3944472000466703e-08,0.0
1816,1.274682119856152e-07,0.0
1817,4.514932783195036e-08,0.0
1818,3.5763530803478716e-08,0.0
1819,8.384350280721264e-08,0.0
1820,3.559944161679596e-08,0.0
1821,2.5639868894700157e-08,0.0
1822,1.1328945959121484e-07,0.0
1823,6.127265805844218e-08,0.0
1824,4.8000341479337294e-08,8.421112696055388e-10
1825,9.245714949202011e-08,0.0
1826,5.372870504061211e-08,0.0
1827,1.1337245808817897e-07,0.0
1828,4.4027046897099353e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,5.4271545479878114e-08,1.0436835840010872e-09
1831,3.274153215215847e-08,0.0
1832,6.22378593106987e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,5.3206825612051034e-08,0.0
1835,9.000074641107858e-08,0.0
1836,7.19120265557649e-08,2.016224964762614e-09
1837,7.653680000885288e-08,6.957890930081589e-10
1838,7.132742751991827e-08,1.2624323808552163e-09
1839,7.480878139176639e-08,0.0
1840,4.33138822586443e-08,0.0
1841,3.2102743574569104e-08,0.0
1842,4.427455024824667e-08,0.0
1843,3.7804230856863796e-08,0.0
1844,5.4885614275690386e-08,0.0
1845,4.073566373108406e-08,1.1160455892778032e-09
1846,5.678866443759034e-08,0.0
1847,5.015698079091635e-08,0.0
1848,5.792559676365272e-08,0.0
1849,5.111443002192573e-08,0.0
1850,3.733947906425783e-08,0.0
1851,4.385618268543112e-08,0.0
1852,5.273541803241244e-08,0.0
1853,5.4344578614973216e-08,0.0
1854,3.273268589509826e-08,0.0
1855,5.625353338700734e-08,0.0
1856,3.7793480345271746e-08,5.177189232874468e-10
1857,5.174399575480493e-08,0.0
1858,2.104280660830682e-08,0.0
1859,4.68479939286226e-08,0.0
1860,3.4786598490654796e-08,0.0
1861,2.9238975685075275e-08,0.0
1862,2.981871105589562e-08,0.0
1863,3.2465035104678464e-08,0.0
1864,2.589153069720851e-08,0.0
1865,2.447559133145205e-08,0.0
1866,4.6223323835192787e-08,0.0
1867,1.8925964795357686e-08,0.0
1868,4.00129813726835e-08,4.93987406535723e-10
1869,7.42294901101559e-08,0.0
1870,5.390005952676802e-08,0.0
1871,2.0180236148803488e-08,0.0
1872,6.531126361952744e-08,0.0
1873,6.644464889404844e-08,0.0
1874,4.301718448118663e-08,0.0
1875,3.94785359958405e-08,0.0
1876,4.413590914964516e-08,0.0
1877,4.391219476929109e-08,0.0
1878,3.01954443671093e-08,0.0
1879,3.0546626561545054e-08,0.0
1880,2.3746030919369332e-08,0.0
1881,3.416528571165145e-08,0.0
1882,2.3293848627758962e-08,0.0
1883,4.044376922252013e-08,0.0
1884,6.535680086017237e-08,6.601696966868076e-10
1885,2.6427105837001363e-08,0.0
1886,2.774989482645651e-08,0.0
1887,2.285123557044244e-08,0.0
1888,4.628648753168818e-08,0.0
1889,3.5711280488293085e-08,0.0
1890,7.406456603575862e-08,0.0
1891,3.952016314201501e-08,0.0
1892,1.5044429702015805e-08,0.0
1893,2.6481190629201734e-08,0.0
1894,1.5186709623193906e-07,0.0
1895,2.1065151400989635e-08,0.0
1896,4.186890556479028e-08,0.0
1897,2.0976168357833558e-08,0.0
1898,3.3384292663640736e-08,0.0
1899,5.085372123403431e-08,0.0
1900,8.461416811655909e-08,0.0
1901,1.084215317526116e-07,0.0
1902,5.057592389334786e-08,4.910283846193408e-10
1903,7.506306332061286e-08,0.0
1904,6.073326375144461e-08,0.0
1905,1.0373126002605204e-07,0.0
1906,6.01869558636281e-08,0.0
1907,1.6714240425041993e-07,0.0
