year,deux_DET ans_NOUN,deux_DET lents_ADJ
1800,2.2854931899018993e-05,0.0
1801,2.3223673565553327e-05,0.0
1802,2.085667028950411e-05,0.0
1803,2.4190056933548476e-05,0.0
1804,2.3707521563665068e-05,0.0
1805,2.2211403233995952e-05,0.0
1806,2.2747895627617254e-05,0.0
1807,2.258774270558206e-05,0.0
1808,2.4518920781702036e-05,0.0
1809,2.840279148585978e-05,0.0
1810,2.6696166401052324e-05,0.0
1811,3.280509974956658e-05,0.0
1812,2.6082628437507083e-05,0.0
1813,3.1233429126587e-05,0.0
1814,2.4880776663849247e-05,0.0
1815,2.3681622224103194e-05,0.0
1816,2.473346808073984e-05,0.0
1817,2.219478722054191e-05,0.0
1818,3.026667786798498e-05,0.0
1819,2.980895442306064e-05,0.0
1820,2.7404452112023137e-05,1.1866481131050932e-09
1821,2.7602306658991438e-05,0.0
1822,2.485450363565178e-05,0.0
1823,2.552006230871484e-05,0.0
1824,2.455596381878422e-05,0.0
1825,2.67033868794897e-05,0.0
1826,2.652524437962711e-05,0.0
1827,2.612636023968662e-05,0.0
1828,2.5398102252438548e-05,0.0
1829,2.4340104346265434e-05,0.0
1830,2.482610079823644e-05,0.0
1831,2.5248398742405698e-05,0.0
1832,2.9634691827595816e-05,0.0
1833,2.7282920427751378e-05,0.0
1834,2.739498177106725e-05,0.0
1835,2.686635718873731e-05,0.0
1836,2.6696162990447192e-05,0.0
1837,2.8485605525929714e-05,0.0
1838,2.7173224907528493e-05,0.0
1839,2.7301010732116993e-05,0.0
1840,2.7588395710154145e-05,0.0
1841,2.8096961841583834e-05,0.0
1842,2.8579222544067306e-05,0.0
1843,2.9381567173913936e-05,0.0
1844,2.8093749506297172e-05,0.0
1845,2.7340885026205797e-05,0.0
1846,2.7226357588006067e-05,0.0
1847,2.8703275120278704e-05,0.0
1848,2.6990914420821355e-05,0.0
1849,2.7888368208550673e-05,0.0
1850,3.013160096543288e-05,6.788996032014438e-10
1851,2.796025250972889e-05,0.0
1852,2.756174353635288e-05,0.0
1853,2.838459215581679e-05,0.0
1854,2.7388944317863206e-05,0.0
1855,2.8526910000437056e-05,0.0
1856,2.7127954467687232e-05,0.0
1857,2.754928391368594e-05,0.0
1858,2.9581783110188553e-05,0.0
1859,2.6821495794138173e-05,0.0
1860,2.7797695111075882e-05,0.0
1861,2.742851677339786e-05,0.0
1862,2.87727953036665e-05,0.0
1863,2.9034730005150777e-05,0.0
1864,2.896159435294976e-05,0.0
1865,2.775767245566385e-05,0.0
1866,2.68596435262225e-05,0.0
1867,2.9428904326778138e-05,0.0
1868,2.9551809120675898e-05,0.0
1869,2.830145899679337e-05,0.0
1870,3.1369834005090524e-05,5.734048791339319e-10
1871,2.669208049610461e-05,0.0
1872,2.914938397680089e-05,0.0
1873,2.9397268122011155e-05,0.0
1874,2.866796694434015e-05,0.0
1875,3.0118691029201727e-05,0.0
1876,2.98455477150128e-05,0.0
1877,3.3209986895599286e-05,6.184815992682502e-10
1878,2.9792636951242457e-05,0.0
1879,3.0991385528977844e-05,0.0
1880,3.225737805223616e-05,0.0
1881,3.171235971421993e-05,0.0
