year,plusieurs_DET yeux_NOUN,plusieurs_DET lieux_NOUN
1800,9.432493897065797e-09,6.728512236264805e-07
1801,5.000483582762172e-08,7.453101269483398e-07
1802,6.489736392722989e-08,1.096541666356643e-06
1803,1.170203560718619e-07,1.059034152817162e-06
1804,4.69651695311768e-08,8.231263861624427e-07
1805,3.980028751016107e-08,1.0291217442670586e-06
1806,1.4408345627714425e-08,9.192524599299645e-07
1807,8.540865792383556e-09,1.309599344523349e-06
1808,1.8128591960930862e-08,9.608153668239083e-07
1809,8.810218732335784e-08,6.799682115143924e-07
1810,4.212228077449254e-08,6.365144553655e-07
1811,9.777599307980722e-08,9.57703377935104e-07
1812,1.600324850414836e-08,8.69509911183286e-07
1813,8.627224934443234e-09,9.806279070989632e-07
1814,3.1466771410748606e-09,1.5324317530485132e-06
1815,2.4275012222574333e-08,6.25755887995183e-07
1816,1.0892738089296472e-07,8.528782533545609e-07
1817,4.047870982848423e-08,9.512496603747422e-07
1818,3.695564920747074e-08,9.20314869645722e-07
1819,5.072014452878193e-08,1.3414961177460327e-06
1820,1.4239777357261119e-08,1.92592995862384e-06
1821,2.0709124859408234e-08,1.40230362433158e-06
1822,3.208197085768916e-08,1.5609884229661475e-06
1823,1.4824030003524058e-08,2.0061853955866127e-06
1824,1.6000114122505238e-08,2.879178317982678e-06
1825,1.4969253392393966e-08,2.3484115541094752e-06
1826,3.082794364228647e-08,4.576628442443109e-06
1827,1.843454577876713e-08,1.4406598198846154e-06
1828,8.255071293206129e-09,1.2006542012277244e-06
1829,4.1151244023485134e-08,1.1753823869753433e-06
1830,1.3567886369969528e-08,1.292080280324015e-06
1831,1.5591206548037917e-08,8.356886576077471e-07
1832,3.923691060947476e-08,9.362738664364656e-07
1833,3.4750886612755494e-09,9.081565028878913e-07
1834,2.6136685704614138e-08,1.286298372704664e-06
1835,3.7059130875150004e-08,1.9807726800991077e-06
1836,2.2178475944656384e-08,2.2326332338451493e-06
1837,4.5922079472404675e-08,1.299038220992088e-06
1838,2.6511079775914936e-08,1.9668695379060352e-06
1839,1.8177836236255018e-08,1.0438272806112536e-06
1840,4.012903714878391e-08,1.3949617780895096e-06
