year,plus_ADV égale_ADJ,plus_ADV egale_ADJ,plus_ADV légale_ADJ
1859,4.5218499167276605e-07,1.018434669930457e-09,5.550468884507609e-08
1860,4.81977451727289e-07,2.288591982591015e-09,6.408057373619158e-08
1861,5.088525085739093e-07,2.357981809808507e-09,5.8006353498285534e-08
1862,5.511943186320423e-07,4.517986262886353e-10,6.325181090005572e-08
1863,4.814814360543096e-07,4.994620828036034e-10,5.244351797273339e-08
1864,5.197484824748244e-07,0.0,3.691940619887646e-08
1865,4.617414219865168e-07,0.0,4.3773653146672586e-08
1866,4.632063621556881e-07,9.731225825149181e-10,4.184427027098536e-08
1867,5.216772365201905e-07,9.7056229719783e-10,4.270474107670452e-08
1868,5.720374360862479e-07,0.0,5.433861360870651e-08
1869,3.9361165704576706e-07,9.767038289254515e-10,3.711474505507795e-08
1870,6.089559860811278e-07,5.734048791339319e-10,5.5620272831902184e-08
1871,4.4184096736898937e-07,4.248470908407853e-09,3.504988654867702e-08
1872,3.9670544538239483e-07,6.047339295989218e-10,1.5723081503438152e-08
1873,4.4715454805555055e-07,5.986004469882289e-10,2.1549615425442425e-08
1874,4.020911887891998e-07,0.0,4.839433387360259e-08
1875,5.847400643688161e-07,0.0,6.236464855646773e-08
1876,5.465597610054829e-07,6.04601479992084e-10,2.2974855795609983e-08
1877,4.774677790919668e-07,3.710889595609501e-09,4.4530676035492434e-08
1878,4.124697454699344e-07,1.2078177347163432e-09,4.7708802242141246e-08
1879,5.77331263684755e-07,2.443730107160036e-09,6.842444122412417e-08
1880,4.781295501743443e-07,6.417846254436199e-10,4.55667077403632e-08
1881,4.580937513765093e-07,6.972507571312292e-10,3.6257038260600893e-08
1882,5.430794089988922e-07,1.3310770263785798e-09,3.0614771162618126e-08
1883,4.575201444367849e-07,1.2638677882037541e-09,3.791603475633565e-08
1884,3.7563654586847406e-07,0.0,4.7532218161450146e-08
1885,4.421706023549632e-07,5.80107206715752e-09,3.609556031847205e-08
1886,4.020508015400992e-07,0.0,4.4528899678653033e-08
1887,3.8781811895205465e-07,1.9586774424595887e-09,3.0685946228459215e-08
1888,3.506359860239172e-07,0.0,4.5018364147608736e-08
1889,3.972096749293996e-07,0.0,5.0121094830046786e-08
1890,4.3521126258383447e-07,6.554386478008212e-10,6.357755211183758e-08
1891,4.691426056524506e-07,1.2748440081367107e-09,5.609313546983685e-08
1892,4.0870699535844324e-07,0.0,3.322311670217459e-08
1893,4.674238027746469e-07,6.158416554491453e-10,3.94138659487453e-08
1894,4.108603661734378e-07,0.0,4.852185142567578e-08
1895,3.7917271811238606e-07,1.2037228991346183e-09,3.370423939941247e-08
1896,4.1456112853666127e-07,3.5382172747233653e-09,2.358811634906033e-08
1897,3.5368151429793215e-07,5.826713556089658e-10,2.505486840220783e-08
1898,4.2381077491882024e-07,0.0,2.6028432742464247e-08
1899,3.6371466194395907e-07,1.6582735185011188e-09,3.040167939616367e-08
1900,3.4987698427357827e-07,1.038210628578895e-09,1.972600216504361e-08
1901,3.4929618664136797e-07,5.588738916095792e-10,2.5708198236884527e-08
1902,4.610756434431096e-07,0.0,2.7006560543441083e-08
1903,4.298575220218481e-07,1.6200660812870638e-09,1.9440793863623185e-08
1904,5.224135861681134e-07,0.0,3.0635362691100454e-08
1905,3.4886730304606317e-07,5.160759042333041e-10,2.115911179600971e-08
1906,3.760398783470009e-07,1.0288369045596824e-09,2.211999294843281e-08
1907,3.579419001198403e-07,5.142843373384665e-10,3.3428481316377656e-08
1908,4.307288179461466e-07,4.911389073214423e-10,4.0764529529724314e-08
1909,4.697839983691665e-07,1.6502950117569526e-09,3.685659066832159e-08
1910,5.237267828306358e-07,2.137660271017694e-09,1.4963621453034648e-08
1911,4.522318022281979e-07,5.320374141248863e-10,2.8197982615552064e-08
1912,3.8705999827470805e-07,0.0,2.3963337980603683e-08
1913,3.9083033698261715e-07,5.30298971401777e-10,2.333315407554437e-08
1914,4.547088963136048e-07,6.696743715117748e-10,2.8795998474606677e-08
1915,4.2292936086596455e-07,1.1780761921542648e-09,1.6493066468115103e-08
1916,3.6807998071708425e-07,1.0987462051303964e-09,1.0987461607214755e-08
1917,3.421524468194548e-07,1.0966424435210342e-09,2.3029491202919417e-08
1918,3.1587535431754077e-07,0.0,1.2635013924011673e-08
1919,3.7568020161415916e-07,9.207848372660976e-10,2.3940405213807026e-08
1920,3.801260390901007e-07,1.514446346106979e-09,5.300562211374427e-09
1921,3.7409373021546344e-07,1.5145494858259667e-09,1.6660044011018726e-08
1922,4.5816977944923565e-07,0.0,1.8444838545406128e-08
1923,4.3206910049775615e-07,0.0,1.3800733000834953e-08
1924,4.2671277356021164e-07,1.289162443462999e-09,1.804827398643738e-08
1925,4.5202511955722e-07,0.0,1.0998178368026856e-08
1926,4.213240458739165e-07,0.0,5.57306911730393e-09
1927,4.515435989560501e-07,0.0,1.2264147031260109e-08
1928,4.06767071581271e-07,1.1426041224282812e-09,7.998228745975666e-09
1929,3.943703745790117e-07,1.1140406375176326e-09,1.4482528065684619e-08
1930,4.6846071199979633e-07,0.0,2.520864939015155e-08
1931,4.20857674043873e-07,1.1405356659111021e-09,1.596749932275543e-08
1932,4.383814768971206e-07,1.0959536611565568e-09,1.3151444377967891e-08
1933,4.5079701749273227e-07,0.0,1.605892663292252e-08
1934,5.223968742029683e-07,0.0,2.6359476379411717e-08
1935,4.5240113877298427e-07,0.0,9.574627313213568e-09
1936,4.510393694090453e-07,0.0,8.487299751891442e-09
1937,5.099402642372297e-07,1.2591118148108649e-09,2.1404900962807005e-08
1938,6.262198439799249e-07,2.5930428915188486e-09,2.5930429359277696e-08
1939,4.848213848163141e-07,0.0,1.070583532936098e-08
1940,7.480559816031018e-07,2.5357829169792012e-09,2.2822046474857416e-08
1941,5.519310093404783e-07,0.0,2.3612020783048138e-08
1942,6.79663457958668e-07,0.0,1.8205270180260413e-08
1943,6.067761546546535e-07,0.0,1.4516175816936538e-08
1944,5.880130515834026e-07,3.2131861615880553e-09,1.6065930807940276e-08
1945,5.097699613543227e-07,0.0,8.714016175304096e-09
1946,5.276098704598553e-07,1.3921104269343232e-09,2.5057987684817817e-08
1947,5.745859539274534e-07,0.0,1.6689218895749036e-08
1948,6.044769520485715e-07,1.0871887834440486e-09,1.848220954059343e-08
1949,5.772400868409022e-07,0.0,6.8719057111366055e-09
1950,6.200415896273626e-07,2.1270722960764488e-09,1.0635361036293034e-08
1951,5.415992063717567e-07,2.1322803522849654e-09,2.2388944032059044e-08
1952,6.253068818296015e-07,0.0,1.5817205323287453e-08
1953,5.936378784099361e-07,1.0773827385790469e-09,1.2928593307037772e-08
1954,5.0817186547647e-07,0.0,1.172704333640695e-08
1955,5.406110403782804e-07,0.0,4.6928039232341234e-09
1956,4.87511840674415e-07,2.616342476002842e-09,6.104799332717903e-09
1957,5.663259230459516e-07,1.7670075402875796e-09,9.718541527092839e-09
1958,5.906381943532324e-07,8.272243445794913e-10,1.4062814024384807e-08
1959,6.076586487324676e-07,0.0,1.2401196514133517e-08
1960,5.737371111536049e-07,2.7683333403416555e-09,7.612916519406099e-09
1961,6.267239882618014e-07,0.0,1.737039845295385e-08
1962,7.160068662415142e-07,1.2683912808952869e-09,1.585489073363533e-08
1963,5.172842634237895e-07,6.466053248388448e-10,1.6165133231993423e-08
1964,5.110533152219432e-07,0.0,2.1293889318485526e-08
1965,4.3283861828058434e-07,5.472043373977442e-10,2.9001830270658502e-08
1966,4.979628442924877e-07,5.539074754423723e-10,1.5509408868297214e-08
1967,4.422510926360701e-07,1.4791006197611978e-09,1.5777073869571723e-08
1968,4.051257178616652e-07,3.5931326802796093e-09,2.4253646202510026e-08
1969,4.301044498333795e-07,1.8167031212712459e-09,4.223834793037895e-08
1970,4.1802411487879e-07,2.2993624781975086e-09,2.6212733317265702e-08
1971,4.7016337134664354e-07,0.0,1.6956711590410123e-08
1972,5.325092615748872e-07,1.5390440033513642e-09,9.747279428040656e-09
1973,4.283759267309506e-07,2.205281512956958e-09,2.0950174928202614e-08
1974,4.140420628573338e-07,0.0,2.3627400480563665e-08
1975,4.060862295318657e-07,2.2845920710778955e-09,8.567219822452898e-09
1976,4.3537073679544847e-07,1.142705374768127e-09,9.712995741040231e-09
1977,3.8434151861110877e-07,5.876781838942691e-10,1.9393379346865913e-08
1978,3.962374535149138e-07,0.0,1.3663360221016774e-08
1979,3.4526641456977814e-07,1.7555920051037788e-09,2.0481905949054635e-08
1980,3.1950546031112026e-07,1.7055452605774235e-09,1.1370301145063877e-08
1981,3.169100182276452e-07,6.325549528618524e-10,2.0874313833019187e-08
1982,2.638188334458391e-07,6.207502289967692e-10,2.483000827169235e-08
