year,prétentions_NOUN égales_ADJ,prétentions_NOUN légales_ADJ
1800,2.5153315874604232e-08,4.087413785214267e-08
1801,2.6193008650921e-08,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,5.851017448321727e-09,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,0.0,2.0171682990621775e-08
1807,0.0,3.131650672116848e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,5.175524897538253e-09,1.035105001712111e-09
1820,0.0,1.542642635854463e-08
1821,9.86148829262845e-10,3.94459531705138e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,2.9648061783404955e-09,2.075364236020505e-08
1824,5.052667617633233e-09,0.0
1825,3.522177216552791e-09,3.522177216552791e-09
1826,9.688783109140786e-09,1.5854372037438225e-08
1827,0.0,3.6869092223668076e-09
1828,0.0,1.8344602503717056e-09
1829,2.4862210068476998e-08,8.57317605795771e-10
1830,0.0,4.174734336004349e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,5.791814139399776e-09,5.791814139399776e-09
1834,7.467624740797874e-09,0.0
1835,6.050470346963266e-09,9.075705520444899e-09
1836,8.736974699274924e-09,6.720750067579218e-10
1837,1.6003149028165353e-08,1.3915781860163179e-09
1838,5.680945491803868e-09,9.468243078458727e-09
1839,8.38977065598101e-09,2.0974426639952526e-09
1840,8.280594876453051e-09,4.458782232319436e-09
1841,1.5409316489467528e-08,0.0
1842,8.720745015011744e-09,2.0124795163667386e-09
1843,1.4176587015413133e-08,0.0
1844,2.085653250105679e-08,0.0
1845,8.37034175305007e-09,0.0
1846,1.0538101946622191e-08,7.025401593807601e-09
1847,3.235934187273415e-09,5.393223645455691e-10
1848,1.6090443422100975e-09,1.126331028444838e-08
1849,1.256912263158938e-08,3.3517659758786067e-09
1850,4.073397619208663e-09,1.1541293254424545e-08
1851,7.739326512989919e-09,2.579775504329973e-09
1852,5.208436348880241e-09,5.208436348880241e-09
1853,1.1943863675867306e-08,3.5831591027601917e-09
1854,5.195664454227256e-10,2.5978321716024766e-09
1855,3.714855978387277e-09,2.1227748447927297e-09
1856,9.318940286107136e-09,2.5885946719483854e-09
1857,3.905207268672939e-09,1.2203773103180993e-08
1858,1.0276719919488642e-08,2.936205500958522e-09
1859,4.073738679721828e-09,0.0
1860,5.492620580582752e-09,5.492620580582752e-09
1861,1.1789909493131745e-08,2.8295783494058924e-09
1862,9.035972525772706e-10,4.517986262886353e-10
1863,1.4983863039219614e-09,4.994620717013731e-09
1864,1.821996598039277e-08,3.835782358407869e-09
1865,2.3534221238463715e-09,0.0
1866,9.244664589402873e-09,0.0
1867,5.338092634588065e-09,0.0
1868,8.397785578040384e-09,6.421836395986702e-09
1869,4.883519366671862e-09,3.906815315701806e-09
1870,1.548193218070537e-08,5.734048791339319e-10
1871,5.3105884134652115e-09,4.248470908407853e-09
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,5.387403856360606e-09,4.190203295451056e-09
1874,4.779687312606029e-09,3.5847653734322193e-09
1875,1.716458086775674e-09,0.0
1876,5.441413541973361e-09,0.0
1877,1.855444864418132e-08,4.329371083855449e-09
1878,2.4156354694326865e-09,4.22736201599605e-09
1879,6.10932526790009e-10,2.443730107160036e-09
1880,7.701415505323439e-09,5.776061406947974e-09
1881,4.8807553554297556e-09,0.0
1882,5.989846840748214e-09,3.9932310791357395e-09
1883,1.2638677882037541e-09,2.5277355764075082e-09
1884,1.3203393933736152e-08,1.3203393933736152e-09
1885,4.511945039809007e-09,0.0
1886,6.453463874400711e-10,2.5813855497602844e-09
1887,9.793386546164129e-09,6.528924623161458e-10
1888,6.340614699951175e-10,0.0
1889,3.132568426877924e-09,5.6386229019267375e-09
1890,1.3108772956016423e-09,1.9663159989136147e-09
1891,7.649063604731055e-09,0.0
1892,4.387958441043338e-09,6.268512375839919e-10
1893,1.2316833108982905e-09,0.0
1894,1.1972924873759894e-08,0.0
1895,4.814891596538473e-09,6.018614495673091e-10
1896,1.7691086373616827e-09,0.0
1897,2.330685422435863e-09,5.826713556089658e-10
1898,5.6583548957434e-10,5.092519295146758e-09
1899,6.633094074004475e-09,6.080336234504102e-09
1900,1.5573159428683425e-09,0.0
1901,1.0059729937950124e-08,3.912117296778206e-09
