year,individus_NOUN égaux_ADJ
1800,1.5720821977538435e-08
1801,0.0
1802,0.0
1803,1.950339267864365e-08
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,0.0
1809,1.3554183553310395e-08
1810,1.4040760554223652e-08
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,1.71256075987003e-08
1818,0.0
1819,1.035105001712111e-09
1820,7.119888678630559e-09
1821,1.97229765852569e-09
1822,4.010246357211145e-09
1823,1.9765373782121287e-09
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,1.8434546111834038e-09
1828,0.0
1829,3.429270423183084e-09
1830,1.6698937344017395e-08
1831,1.5591206103948707e-09
1832,9.470978667991403e-09
1833,4.6334514003376626e-09
1834,0.0
1835,1.0588323107185715e-08
1836,2.688300071440608e-08
1837,1.948209416013924e-08
1838,5.680945491803868e-09
1839,2.7965900706306e-09
1840,2.5478754661634184e-09
1841,5.778493683550323e-09
1842,2.683306021822318e-09
1843,3.5441467538532834e-09
1844,2.7442805805577564e-09
1845,1.674068439427856e-09
1846,5.854501328173001e-10
1847,4.853901280910122e-09
1848,2.735375304041554e-08
1849,8.379414939696517e-10
1850,6.1100964288129944e-09
1851,2.3217978650791338e-08
1852,5.859490670445666e-09
1853,1.0749477752369785e-08
1854,1.0391328908454511e-09
1855,1.0613874223963649e-08
1856,1.0354378465748937e-09
1857,1.2691923956253959e-08
1858,4.404308473482388e-09
1859,0.0
1860,1.373155145145688e-09
1861,9.903524222920623e-09
1862,5.421583626485926e-09
1863,3.995696662428827e-09
1864,2.3014694150447212e-08
1865,8.47231973466478e-09
1866,1.9949013108089275e-08
1867,2.426405742994575e-09
1868,6.915823469455518e-09
1869,3.4184632902167778e-09
1870,1.1468097582678638e-09
1871,0.0
1872,5.442605477412599e-09
1873,7.183205141814142e-09
1874,1.9716210886144836e-08
1875,3.432916173551348e-09
1876,1.813804439976252e-09
1877,5.566334504436554e-09
1878,1.8117265465633636e-09
1879,1.832797580370027e-09
1880,3.2089231272180996e-09
1881,5.5780060570498335e-09
1882,1.3310770263785798e-09
1883,2.5277355764075082e-09
1884,6.601696966868076e-10
1885,3.86738152613475e-09
1886,5.162771099520569e-09
1887,3.264462256069578e-09
1888,5.07249175996094e-09
1889,8.14467782106476e-09
1890,2.6217545912032847e-09
1891,1.2748440081367107e-09
1892,5.014809900671935e-09
1893,3.079208221734575e-09
1894,1.8904617871129403e-09
1895,6.6204757231957956e-09
1896,1.7691086373616827e-09
1897,6.409385022720926e-09
1898,5.092519295146758e-09
1899,3.3165470370022376e-09
1900,1.038210584169974e-08
1901,8.941982265753268e-09
1902,8.838511256215043e-09
1903,1.1880484152015924e-08
1904,6.449550227216605e-09
1905,2.0126959654476195e-08
1906,1.9033482345776065e-08
1907,1.2342823652033985e-08
1908,7.367083831866239e-09
1909,1.870334465081669e-08
1910,1.336037680488289e-08
1911,1.702519725199636e-08
1912,1.1460726589973547e-08
1913,4.772690687104841e-09
1914,3.3483718020477227e-09
1915,2.3561523843085297e-09
1916,4.394984820521586e-09
1917,5.483212106582869e-09
1918,1.378365155346728e-08
1919,1.1049418269237776e-08
1920,6.057785384427916e-09
1921,6.058197943303867e-09
1922,8.115729421831475e-09
1923,5.307974060286824e-09
1924,1.4180787211159895e-08
1925,4.399271169575059e-09
1926,1.7833821530643945e-08
1927,7.804457524684949e-09
1928,1.5996457491951332e-08
1929,1.7824650200282122e-08
1930,2.520864939015155e-08
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,4.588264879146209e-09
1934,8.38710612072191e-09
1935,1.0771455727365264e-08
1936,4.849885826274658e-09
1937,1.2591118148108649e-09
1938,3.8895642262559704e-09
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,0.0
1945,8.714016175304096e-09
1946,1.1136883415474585e-08
1947,1.1920871401116528e-08
1948,1.0871888278529696e-08
1949,4.908504269707237e-09
1950,6.381216888229346e-09
1951,1.4925962688039363e-08
1952,1.370824520563474e-08
1953,8.619061908632375e-09
1954,1.9545072227344917e-09
1955,1.0324168187025862e-08
1956,3.488456634670456e-09
1957,2.6505113659425206e-09
1958,4.1361216673863055e-09
1959,1.2401196514133517e-08
1960,4.844583401109048e-09
1961,4.16889545107324e-09
1962,5.7077609305622445e-09
1963,7.759263453976928e-09
1964,4.867174663303331e-09
1965,1.094408652591028e-08
1966,9.416426749453422e-09
1967,4.930335695263466e-09
1968,5.3896989093971115e-09
1969,8.629339909305145e-09
1970,1.0117195081704722e-08
1971,9.24911525146399e-09
1972,6.669190977248718e-09
1973,6.064523994098181e-09
1974,5.06301445213353e-09
1975,9.709516746170266e-09
1976,1.5997875024709174e-08
1977,1.469195431980097e-08
1978,1.544553818177974e-08
1979,9.363157360553487e-09
1980,1.3075846183596695e-08
1981,5.69299452024552e-09
1982,1.6760255405756652e-08
1983,1.1999100379966876e-08
1984,1.4497521405587577e-08
1985,1.804667348892508e-08
1986,1.7983456501724504e-08
1987,1.4665960890170027e-08
1988,2.998276826815527e-08
1989,2.469655058234821e-08
1990,2.1249737969242233e-08
1991,1.992898113201136e-08
1992,2.2039776226279173e-08
1993,2.1602909683338112e-08
1994,1.8989736005892155e-08
1995,2.6570008415660595e-08
1996,2.7224270837677977e-08
1997,1.6302641014931396e-08
1998,2.765514928171342e-08
1999,3.4733528053720875e-08
2000,3.666966108539782e-08
2001,2.760163475556965e-08
2002,3.1544793444027164e-08
2003,2.541822929913451e-08
2004,2.7309706496225772e-08
2005,3.0625496805214425e-08
2006,2.594270576139479e-08
2007,2.7961355897332396e-08
2008,4.0871420026178384e-08
2009,3.2423709939166656e-08
2010,2.9287516412068726e-08
2011,2.1796640936599943e-08
2012,1.7702113552786614e-08
2013,1.7292574483462886e-08
2014,2.1004817440939405e-08
2015,1.6180999651282946e-08
2016,1.636358604173438e-08
2017,1.2074934829797712e-08
2018,1.6005094138904497e-08
2019,1.3775333762566788e-08
