year,êtes_VERB à_ADP,êtes_VERB las_ADJ,etes_VERB à_ADP
1800,6.225445758900605e-07,6.288328968651058e-09,6.288328968651058e-09
1801,1.1620171562753967e-06,0.0,4.7623651688866175e-09
1802,5.99741156293021e-07,2.2378401354217203e-09,0.0
1803,7.859866855142172e-07,0.0,1.950339223455444e-09
1804,1.344686893389735e-06,2.4718509461507665e-09,0.0
1805,1.1570512015168788e-06,0.0,0.0
1806,1.3976094805911998e-06,0.0,2.881669125542885e-09
1807,5.89319711252756e-07,2.8469551160981155e-09,0.0
1808,5.733166972277104e-07,0.0,0.0
1809,8.44877433792135e-07,0.0,0.0
1810,1.3291919458424672e-06,0.0,2.3401267590372754e-09
1811,9.351396101919818e-07,5.0141535368197765e-09,0.0
1812,7.414839160446718e-07,0.0,2.6672082320544632e-09
1813,7.822017096259515e-07,0.0,2.8757416448144113e-09
1814,6.545088240272889e-07,0.0,0.0
1815,6.635169711444178e-07,0.0,0.0
1816,1.0545097666181391e-06,0.0,0.0
1817,1.312444283030345e-06,1.556873407970727e-09,0.0
1818,1.2231128039275063e-06,1.3113295338484932e-08,0.0
1819,7.721883434896881e-07,0.0,1.035105001712111e-09
1820,1.1795282262028195e-06,0.0,1.1866481131050932e-09
1821,1.7316773437414668e-06,4.930744257336528e-09,9.86148829262845e-10
1822,1.4035862250239006e-06,1.0025615893027862e-09,2.0051231786055723e-09
1823,1.1068609637732152e-06,4.941343334508019e-09,1.9765373782121287e-09
1824,1.024849439090758e-06,6.736890156844311e-09,8.421112696055388e-10
1825,1.0628169775372953e-06,1.7610886082763955e-09,0.0
1826,9.389311230734165e-07,8.807984341885344e-10,8.807984341885344e-10
1827,9.438487609259028e-07,9.217273055917019e-10,0.0
1828,1.0428906307424768e-06,8.255071293206129e-09,0.0
1829,8.264541975222528e-07,1.714635211591542e-09,0.0
1830,1.0729066843850887e-06,1.0436835395921662e-08,0.0
1831,1.1771360277634813e-06,9.354723218280014e-09,0.0
1832,1.527533527223568e-06,0.0,1.3529969367098715e-09
1833,1.1606796306296019e-06,0.0,1.1583628500844156e-09
1834,1.0267983725498198e-06,9.334530925997342e-10,0.0
1835,1.0732021564763272e-06,5.294161553592858e-09,7.563087933704082e-10
1836,1.0188657597609563e-06,6.048674894287842e-09,0.0
1837,9.142668773165497e-07,6.957890930081589e-10,1.3915781860163179e-09
1838,8.893836138668121e-07,5.049729523420865e-09,1.2624323808552163e-09
1839,8.03320517661632e-07,2.7965900706306e-09,1.3982950353153e-09
1840,7.815608000782959e-07,3.1848443882154243e-09,6.369688665408546e-10
1841,8.475124104734277e-07,0.0,3.2102742686390684e-09
1842,9.358029728900874e-07,0.0,2.0124795163667386e-09
1843,9.096643225348089e-07,0.0,2.3627644285539873e-09
1844,8.781698284110462e-07,1.6465684371524958e-09,1.6465684371524958e-09
1845,8.303379104290798e-07,4.464182357111213e-09,2.2320911785556063e-09
1846,8.494881171827728e-07,5.854501328173001e-10,0.0
1847,5.948725743110117e-07,2.1572894581822766e-09,0.0
1848,6.99129770964646e-07,0.0,2.413566457803995e-09
1849,6.158870178296638e-07,1.6758829879393033e-09,8.379414939696517e-10
1850,6.931564939804957e-07,2.0366988096043315e-09,2.0366988096043315e-09
1851,6.494584567917627e-07,6.449438760824933e-10,6.449438760824933e-10
1852,7.317852919186407e-07,1.9531636308300904e-09,1.3021090872200602e-09
1853,7.865034490350808e-07,0.0,1.1943863675867306e-09
1854,9.700305554360966e-07,5.195664454227256e-10,1.0391328908454511e-09
1855,8.517633887095144e-07,2.1227748447927297e-09,5.306937111981824e-10
1856,9.065258268492471e-07,0.0,1.0354378465748937e-09
1857,7.644443371646048e-07,9.763018171682347e-10,9.763018171682347e-10
1858,8.935852520153276e-07,4.893676019968041e-10,1.468102750479261e-09
1859,8.340979888998845e-07,2.036869339860914e-09,1.5276520048956854e-09
