year,serions_VERB également_ADV
1800,0.0
1801,1.1905912700171939e-08
1802,0.0
1803,0.0
1804,1.4831105232815389e-08
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,1.4234775136401367e-08
1808,2.039466551195801e-08
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,3.7340914360584065e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,1.3486118000116676e-08
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,1.9073883805731384e-08
1819,5.175524897538253e-09
1820,1.4239777357261119e-08
1821,4.930744257336528e-09
1822,3.0076847679083585e-09
1823,5.929612356680991e-09
1824,5.052667617633233e-09
1825,1.1447076175841175e-08
1826,1.5854372037438225e-08
1827,7.373818444733615e-09
1828,1.6510142586412258e-08
1829,1.2002446148073886e-08
1830,7.305785310052215e-09
1831,2.0268567268999504e-08
1832,5.411987746839486e-09
1833,2.548398292390175e-08
1834,2.333632664885954e-08
1835,1.739510224751939e-08
1836,1.4785650037651976e-08
1837,2.7831564608504777e-08
1838,3.787297142565649e-09
1839,1.0487212875887053e-08
1840,6.369688665408546e-10
1841,1.926164561183441e-09
1842,4.024959032733477e-09
1843,8.269675610961258e-09
1844,1.5916826967554698e-08
1845,2.7901139176833567e-09
1846,1.7563503984519002e-09
1847,9.168480197274675e-09
1848,0.0
1849,1.6758829879393033e-09
1850,4.073397619208663e-09
1851,2.1283147688677673e-08
1852,5.859490670445666e-09
1853,8.957897534855874e-09
1854,5.7152309551611324e-09
1855,3.1841622671890946e-09
1856,6.73034605824796e-09
1857,1.4644527368545823e-08
1858,1.7127865348243176e-08
1859,4.073738679721828e-09
1860,8.238931314963338e-09
1861,2.452301117727984e-08
1862,1.536115412648087e-08
1863,5.9935452156878455e-09
1864,4.794728170054441e-09
1865,8.47231973466478e-09
1866,3.8924903300596725e-09
1867,4.85281148598915e-10
1868,1.2843672791973404e-08
1869,1.5138908793232986e-08
1870,9.747882501187632e-09
1871,9.559059321873065e-09
1872,1.5118347462816928e-08
1873,1.0176207432266438e-08
1874,1.9118749250424116e-08
1875,5.149374260327022e-09
1876,1.269663130187837e-08
1877,1.2369631985365004e-09
1878,9.662541877730746e-09
1879,1.0996785704264767e-08
1880,2.2462462112571302e-08
1881,7.669758161910067e-09
1882,1.1979693681496428e-08
1883,1.3902545781263598e-08
1884,7.2618666635548834e-09
1885,1.0957580620640783e-08
1886,4.5174246565693466e-09
1887,5.876032105334161e-09
1888,1.4583413587843097e-08
1889,1.0650732740202784e-08
1890,1.3108772733971819e-08
1891,9.561330394092238e-09
1892,6.268512375839919e-09
1893,7.390100087434348e-09
1894,1.071261657159539e-08
1895,1.1435367319734269e-08
1896,9.435246361988447e-09
1897,1.1070755867592652e-08
1898,1.0750873968845553e-08
1899,9.39688327150634e-09
1900,1.8168686111152965e-08
1901,9.500856101851696e-09
1902,8.347482705062248e-09
1903,8.640352433531007e-09
1904,5.374625189347171e-09
1905,4.1286072338664326e-09
1906,1.2860461140462576e-08
