year,sommes_VERB à_ADP,sommes_VERB a_ADP,sommes_VERB là_ADV
1800,1.4714689768879907e-06,1.8864986461863964e-08,4.4018303668735825e-08
1801,1.3834670653523062e-06,2.6193007984787187e-08,7.143547975374531e-08
1802,1.351655441794719e-06,1.1189200677108602e-08,4.923248297927785e-08
1803,1.1819055316664162e-06,1.1702034896643454e-08,3.315576790896557e-08
1804,1.16177000109019e-06,7.4155528384522995e-09,5.9324420931261557e-08
1805,1.412910251019639e-06,2.842877711017877e-09,3.695740957709859e-08
1806,1.0662175782272243e-06,1.729001475325731e-08,5.4751712497136396e-08
1807,1.1217002793273423e-06,1.7081731140677903e-08,8.540865792383556e-09
1808,1.0559905376794632e-06,1.3596443526608937e-08,9.064295980465431e-09
1809,1.301201564274379e-06,6.7770917766551975e-09,1.3554183553310395e-08
1810,1.3081308907203493e-06,1.8721014516387413e-08,8.89248141788812e-08
1811,9.401537681696936e-07,5.0141535368197765e-09,1.504245972228091e-08
1812,1.0428784662508406e-06,5.3344164641089264e-09,5.3344166417446104e-08
1813,7.764502356621961e-07,0.0,7.189353823378042e-08
1814,1.1800038919318467e-06,5.349351184236184e-08,6.922689976818219e-08
1815,1.1948700375796761e-06,1.3486117778072071e-08,5.933891955578474e-08
1816,1.2677293170781923e-06,1.3905623319487859e-08,1.1819779643928996e-07
1817,1.3451385711960029e-06,2.490997452753163e-08,7.317304806520042e-08
1818,1.2934477808812517e-06,8.344824387052086e-09,5.126106117359086e-08
1819,1.248336616299639e-06,1.449147024601416e-08,3.3123360054787554e-08
1820,1.495176661592268e-06,4.746592452420373e-09,5.814575843032799e-08
1821,1.733649696689099e-06,1.0847637232913598e-08,8.57949515875589e-08
1822,1.6321703242283547e-06,8.02049271442229e-09,5.714601059025881e-08
1823,1.2570777698783786e-06,2.9648061450338048e-08,4.15072847204101e-08
1824,1.4517997897200985e-06,9.263223965660927e-09,1.1621135342920752e-07
1825,1.4775533827560139e-06,7.92489873724378e-09,7.220463515977826e-08
1826,1.4207279264155659e-06,3.5231937367541377e-09,5.108631029315802e-08
1827,1.4489553450403037e-06,1.659109177820639e-08,6.267745789045875e-08
1828,1.4042793736734893e-06,5.5033806956039655e-09,9.722639049414283e-08
1829,1.399999632667459e-06,1.4574399298528107e-08,8.487444347338169e-08
1830,1.493511263106484e-06,1.0436835617966267e-08,9.706257486641334e-08
1831,1.6214854667850886e-06,1.4032084827420022e-08,9.042899762334855e-08
1832,1.42876479003462e-06,9.4709785569691e-09,1.7318360789886356e-07
1833,1.6634090798106627e-06,1.9692168451435066e-08,1.3784517705062171e-07
1834,1.595271328369563e-06,2.240287466648283e-08,1.2228235846123425e-07
1835,1.8325362134419265e-06,2.647080776796429e-08,1.3084141414765327e-07
1836,1.9194462765881326e-06,1.2769425294933967e-08,1.1492482343555821e-07
1837,1.885588403638394e-06,1.2524203452102256e-08,1.30808345488731e-07
1838,1.5931896086840425e-06,1.1361891427696946e-08,9.278878110308142e-08
1839,1.6912377986955107e-06,9.088917840571753e-09,1.0836786401569043e-07
1840,1.6236336932706763e-06,2.7389661538812504e-08,1.4459193664606573e-07
1841,1.6918145320232725e-06,1.1556986923011436e-08,1.4767262257464608e-07
1842,1.969546701729996e-06,2.4820580257767233e-08,1.5361926841706008e-07
1843,1.6822882571432274e-06,1.7130042329061013e-08,1.3644964269587945e-07
1844,1.8803810917233932e-06,1.4270258918980261e-08,1.3995831693591754e-07
1845,1.8007395965469186e-06,8.928364714222425e-09,1.506661533312581e-07
1846,1.7417141862097196e-06,1.2879902699935997e-08,1.147482251440124e-07
1847,1.597472873982042e-06,1.7797638030003782e-08,1.2835872098548862e-07
1848,1.8970632709169877e-06,1.5285920862417868e-08,1.5849086310026905e-07
1849,1.9356448319740593e-06,1.5920888385423382e-08,1.835091865132199e-07
1850,1.911781282615266e-06,2.9192683825840504e-08,1.357799135348614e-07
1851,1.7794001223592204e-06,9.0292140431103e-09,1.2963371887053654e-07
