year,nos_DET égales_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,8.627225156487839e-09
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,9.536941902865692e-09
1819,5.175524897538253e-09
1820,0.0
1821,8.875339574387908e-09
1822,0.0
1823,0.0
1824,5.052667617633233e-09
1825,0.0
1826,8.807984341885344e-10
1827,0.0
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,1.3567886369969528e-08
1831,1.5591206103948707e-09
1832,1.352996914505411e-08
1833,0.0
1834,0.0
1835,5.294161553592858e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,2.5248647617104325e-09
1839,2.0974426639952526e-09
1840,6.369688665408546e-10
1841,6.420548537278137e-09
1842,2.0124795163667386e-09
1843,4.134837805480629e-09
1844,5.488561272137815e-10
1845,1.674068439427856e-09
1846,0.0
1847,5.393223645455691e-10
1848,9.65426583121598e-09
1849,8.379414939696517e-10
1850,4.073397619208663e-09
1851,2.579775504329973e-09
1852,7.812654301275757e-09
1853,4.180352064508952e-09
1854,6.234797234050404e-09
1855,1.3798036491152743e-08
1856,2.0708756931497874e-09
1857,2.4407544874094356e-09
1858,6.8511463169329545e-09
1859,2.1387128512628806e-08
1860,9.612086238064421e-09
1861,3.772770984511453e-09
1862,1.3553959066214816e-09
1863,4.994620828036034e-10
1864,4.794728170054441e-09
1865,2.0710114512212385e-08
1866,1.1190909532388105e-08
1867,1.6984840200962026e-08
1868,1.0373735981339394e-08
1869,1.12320943657096e-08
1870,9.17447806614291e-09
1871,9.559059321873065e-09
1872,7.861540751719076e-09
1873,1.1373408881354408e-08
1874,2.3898436563030145e-09
1875,1.1443054281912168e-09
1876,6.04601479992084e-09
1877,5.566334504436554e-09
1878,1.0870359723469392e-08
1879,7.94212251520321e-09
1880,1.2835692508872398e-09
1881,6.9725074602899895e-09
1882,0.0
1883,6.319338829996468e-09
1884,7.2618666635548834e-09
1885,6.445635580831777e-09
1886,1.4842966855610484e-08
1887,3.9173548849191775e-09
1888,8.242799331981132e-09
1889,1.1277246414476139e-08
1890,6.554386478008212e-10
1891,3.1871101313640793e-09
1892,1.8805537127519756e-09
1893,4.926733243593162e-09
1894,3.150769645188234e-09
1895,1.2037228991346183e-09
1896,4.717623180994224e-09
1897,4.661370844871726e-09
1898,1.6975064687230201e-09
1899,1.1055156790007459e-08
1900,8.30568502863116e-09
1901,2.1237207548097103e-08
1902,7.365425602756659e-09
1903,5.400220270956879e-09
1904,1.6123875568041512e-09
1905,7.741138396966107e-09
1906,6.6874399351490865e-09
1907,7.199980833760833e-09
1908,6.384805573134145e-09
1909,5.5009836685826485e-09
1910,1.0153886620400954e-08
1911,6.916486383623521e-09
1912,5.2094213387476884e-09
1913,4.772690687104841e-09
1914,5.357394972094198e-09
1915,0.0
1916,9.888715624128963e-09
1917,1.9739564316445524e-08
1918,6.89182577673364e-09
1919,7.366278698128781e-09
1920,3.028892692213958e-09
1921,1.060184651180407e-08
1922,6.640141769764796e-09
1923,1.3800733000834953e-08
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,0.0
1927,5.574612327308159e-09
1928,5.713020723163709e-09
