year,suis_VERB à_ADP,suis_VERB a_ADP,suis_VERB las_ADJ
1800,1.983967877094983e-06,1.2576657937302116e-08,2.86118961412285e-07
1801,2.971715957755805e-06,2.3811825844433088e-09,2.762171789072454e-07
1802,2.5735162125783972e-06,2.2378401354217203e-08,3.0434625841735397e-07
1803,2.238989509351086e-06,2.5354409238786957e-08,3.491107349873346e-07
1804,2.867347120627528e-06,1.9774807569206132e-08,4.226865257805912e-07
1805,2.282830791955348e-06,1.990014397712514e-08,5.742613211623393e-07
1806,3.0257526759669418e-06,1.729001475325731e-08,1.2679343797117326e-07
1807,1.631305281080131e-06,3.4163461393177386e-08,2.6476683956389024e-07
1808,1.8672449186851736e-06,3.172503504345059e-08,3.399111108137731e-07
1809,1.893067519631586e-06,1.3554183109221185e-08,3.3207749083885574e-07
1810,2.819852852553595e-06,9.360507036149102e-09,3.814406568380946e-07
1811,1.7699961745165638e-06,2.0056614147279106e-08,6.643753636126348e-07
1812,2.4404955638601677e-06,5.067695729721322e-08,2.453831484672264e-07
1813,1.9785102267633192e-06,8.627224934443234e-09,4.5436718210112303e-07
1814,1.84080613507831e-06,3.1466770522570187e-08,3.146677158838429e-07
1815,1.753195306264388e-06,2.697223555614414e-09,2.1577788800186681e-07
1816,2.157689323212253e-06,9.270415546325239e-09,1.7382029682266875e-07
1817,3.119974280707538e-06,2.0239354192597148e-08,6.320905754364503e-07
1818,3.540589659678517e-06,1.0729059418679299e-08,4.780392259817745e-07
1819,2.3393372430291492e-06,4.8649936634781454e-08,4.3784942249658343e-07
1820,3.6952221762476256e-06,1.5426425470366212e-08,5.387382202570734e-07
1821,5.238422545517096e-06,3.352905997289213e-08,8.214619811042212e-07
1822,3.994205144408625e-06,2.0051231786055723e-08,4.5015013938609627e-07
1823,3.350230826981715e-06,6.226092852390508e-08,5.287237740958517e-07
1824,3.1107590530154994e-06,2.778967189698278e-08,5.684250936610624e-07
1825,2.7816395231639035e-06,2.3774695989686734e-08,3.8391732459786e-07
1826,2.392248461546842e-06,1.5854371593349015e-08,3.487961919290683e-07
1827,2.5015679057105444e-06,1.6591091611672937e-08,3.96342727526644e-07
1828,2.9644877486134646e-06,2.476521365757378e-08,3.678092923564691e-07
1829,2.323330818398972e-06,1.1145128653300418e-08,3.214940988982562e-07
1830,3.3262194847338833e-06,2.400472309815882e-08,5.207980962040892e-07
1831,3.5579132600105368e-06,2.0268567268999504e-08,5.721972797800845e-07
1832,3.816804564849008e-06,1.7588960510295237e-08,5.872006454410439e-07
1833,2.8982237836316926e-06,1.737544297331084e-08,4.251191683124489e-07
1834,2.851699264283525e-06,2.42697808516823e-08,3.565790791526524e-07
1835,2.8807801299990388e-06,3.327758690829796e-08,4.968948701389309e-07
1836,3.2111743166751694e-06,1.949017558455779e-08,3.8241068978095427e-07
1837,2.8026383915857878e-06,2.0177884252348122e-08,4.334766003921686e-07
1838,2.1322482552932343e-06,3.15608092993358e-08,2.8341605684545357e-07
1839,2.4358298560400726e-06,3.845311391525996e-08,2.9713768867623003e-07
1840,2.1338457827368984e-06,2.9300567638834707e-08,2.8026630616295733e-07
1841,2.46677473114687e-06,3.9165346077396634e-08,2.3242385793764697e-07
1842,2.2841643385618227e-06,2.2808100741400494e-08,2.656472872786253e-07
1843,2.5618273866712116e-06,3.248801100363963e-08,3.047966004032787e-07
1844,2.058759264400578e-06,2.579623747944737e-08,2.4478984528286674e-07
1845,2.212560275438591e-06,1.6182660877994692e-08,2.4832013423292665e-07
1846,2.3716584109934047e-06,3.219975663881769e-08,3.1263036248674325e-07
1847,1.6632701544949668e-06,1.6718993300912643e-08,2.745150879945868e-07
1848,2.1440516775328433e-06,2.0113055110293487e-08,2.019350660020791e-07
1849,1.9012892380487756e-06,2.513824481908955e-08,2.052956631359848e-07
