year,fortunes_NOUN égales_ADJ
1800,3.144164484325529e-09
1801,9.524730337773235e-09
1802,8.727576528144709e-08
1803,2.7304748684287006e-08
1804,4.2021465418429216e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,4.518061036407062e-09
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,2.4275012222574333e-08
1816,2.3176038865813098e-08
1817,0.0
1818,8.344824387052086e-09
1819,1.1386155129855524e-08
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,6.015369535816717e-09
1823,2.174191138237802e-08
1824,1.431589158329416e-08
1825,1.7610886082763955e-09
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,3.668920500743411e-09
1829,2.914879893012312e-08
1830,1.6698937344017395e-08
1831,3.1182412207897414e-09
1832,9.470978667991403e-09
1833,1.853380560135065e-08
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,1.0753200108126748e-08
1837,1.0436836284100082e-08
1838,8.2058102535143e-09
1839,4.194885327990505e-09
1840,2.356784811752277e-08
1841,3.2102742686390684e-09
1842,1.8783142152756227e-08
1843,0.0
1844,2.195424508855126e-09
1845,6.138250796539069e-09
1846,1.4636253098387897e-08
1847,5.9325460100012606e-09
1848,6.033916122305527e-08
1849,1.1731181359664333e-08
1850,1.3577992064028876e-08
1851,6.449438760824933e-09
1852,2.408901877970493e-08
1853,1.0152284346531815e-08
1854,7.27393034694046e-09
1855,7.960405667972736e-09
1856,4.141751386299575e-09
1857,4.881508974818871e-09
1858,1.0276719919488642e-08
1859,5.092173349652285e-09
1860,4.119465657481669e-09
1861,2.8295783494058924e-09
1862,0.0
1863,3.995696662428827e-09
1864,1.4384183621984903e-08
1865,4.706844358715045e-10
1866,7.784980660119345e-09
1867,1.067618526917613e-08
1868,1.0373735648272486e-08
1869,6.348574999037737e-09
1870,5.734048791339319e-09
1871,9.559059321873065e-09
1872,3.628403577593531e-09
1873,3.591602570907071e-09
1874,1.8521287614703397e-08
1875,6.865832347102696e-09
1876,3.627608879952504e-09
1877,1.0514186854493346e-08
1878,6.039088673581716e-10
1879,3.665595160740054e-09
1880,6.417846254436199e-10
1881,9.761510710859511e-09
1882,3.3276925659464496e-09
1883,1.8958017378167824e-09
1884,0.0
1885,0.0
1886,4.5174246565693466e-09
1887,6.528924512139156e-09
1888,0.0
1889,5.6386229019267375e-09
1890,1.9663159989136147e-09
1891,4.461953917456185e-09
1892,4.387958441043338e-09
1893,9.853466487186324e-09
1894,2.520615716150587e-09
1895,1.3842813118003505e-08
1896,7.076434549446731e-09
1897,1.1653427112179315e-09
1898,6.224190496340043e-09
1899,8.844125432005967e-09
1900,2.595526460424935e-09
1901,1.5648469187112823e-08
1902,1.0311596021495006e-08
1903,5.940242076007962e-09
1904,2.6873125946735854e-09
1905,5.160759042333041e-10
1906,3.0865106026567446e-09
1907,6.1714118260169926e-09
1908,1.964555629285769e-09
1909,5.500983557560346e-10
1910,1.6032452032632705e-09
1911,5.320374141248863e-10
1912,8.856016364688912e-09
1913,1.113627856597077e-08
1914,4.68772043404897e-09
1915,1.1780762143587253e-08
1916,7.69122365795738e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,9.207848372660976e-10
1920,7.572231730534895e-10
1921,7.572747429129834e-10
1922,7.377935595798135e-09
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,8.798542339150117e-09
1926,1.0031524944054127e-08
1927,1.1149224876660924e-09
1928,6.8556245125250825e-09
1929,4.4561625500705304e-09
1930,6.302162347537887e-09
1931,1.1405356659111021e-09
1932,0.0
1933,0.0
1934,5.990790086229936e-09
1935,3.590485242455088e-09
1936,2.424942913137329e-09
1937,3.777335333410292e-09
1938,0.0
1939,1.5294050470515685e-09
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,1.4305045148432782e-08
1948,4.348755133776194e-09
1949,4.908504269707237e-09
1950,7.444753258312176e-09
1951,5.330700769690111e-09
1952,9.490323193972472e-09
1953,6.464296653518886e-09
1954,1.9545072227344917e-09
1955,9.385607846468247e-10
1956,6.976913269340912e-09
1957,8.835037701437898e-10
1958,8.272243445794913e-10
1959,0.0
1960,2.7683333403416555e-09
1961,0.0
1962,5.0735651235811474e-09
1963,1.2932106496776896e-09
1964,0.0
1965,2.73602163147757e-09
1966,6.092982118843793e-09
1967,3.451234853457663e-09
1968,3.5931326802796093e-09
1969,4.087581828571274e-09
1970,6.898087434592526e-09
1971,2.569198631618974e-09
1972,2.0520587451500205e-09
1973,1.102640756478479e-09
1974,5.06301445213353e-09
1975,1.7134440533084216e-09
1976,8.570290255249802e-09
1977,6.464460078348111e-09
1978,2.3762365408686037e-09
1979,2.3407893401383717e-09
1980,6.822181042309694e-09
1981,2.5302198114474095e-09
1982,3.1037510339615437e-09
1983,6.315316047889041e-10
1984,2.3196033982486597e-09
1985,1.2031116103372597e-09
1986,1.7983456945813714e-09
1987,3.0554083707556856e-09
1988,2.398621523624911e-09
1989,1.6464366536794728e-09
1990,5.44865097484859e-10
1991,5.861465202094962e-10
1992,0.0
1993,5.539207315052863e-09
1994,5.274926606624319e-10
1995,4.880205572987961e-09
1996,2.6690460952494277e-09
1997,1.917957792585412e-09
1998,2.3840645013706308e-09
1999,0.0
2000,8.836062992401139e-10
2001,0.0
2002,1.3143663935011318e-09
2003,1.2500769308587678e-09
2004,4.404791253964646e-10
2005,1.8014998381943315e-09
2006,2.8825228870488218e-09
2007,3.994479469415779e-10
2008,2.1287198670449925e-09
2009,2.384096253749135e-09
2010,1.4171379625338432e-09
2011,0.0
2012,1.7021263287730903e-09
2013,3.0680376017500066e-09
2014,4.330890313042346e-09
2015,4.43315073539452e-09
2016,3.5212781579474495e-09
2017,7.54683426862357e-10
2018,1.0325866828253538e-09
2019,2.806086474294034e-09
