year,trois_DET ans_NOUN
1800,1.93460442687865e-05
1801,1.921852387454237e-05
1802,1.812650532428961e-05
1803,1.9860304064422962e-05
1804,1.925324747276136e-05
1805,1.8291075008392e-05
1806,1.8307243692561315e-05
1807,2.1013375345546592e-05
1808,2.1681795999484166e-05
1809,2.4754456489972654e-05
1810,1.842849906097399e-05
1811,2.4130613496708975e-05
1812,1.9804021121672122e-05
1813,2.2189222022461763e-05
1814,1.9811480115095037e-05
1815,1.827638595841563e-05
1816,1.7952158827938547e-05
1817,1.7735900939896965e-05
1818,2.3205764250633365e-05
1819,2.2830276066088118e-05
1820,2.1085551111355016e-05
1821,2.109963963903283e-05
1822,1.938653258548584e-05
1823,1.908445744902565e-05
1824,1.858034329416114e-05
1825,2.2171224827616243e-05
1826,2.0900465926843026e-05
1827,2.194909291119984e-05
1828,1.975897180273023e-05
1829,2.0981134241537802e-05
1830,1.92455246406098e-05
1831,2.031845974670432e-05
1832,2.134758483407495e-05
1833,2.0980268345738295e-05
1834,2.182319985877257e-05
1835,1.990907207982673e-05
1836,2.112533366016578e-05
1837,2.2794051346863853e-05
1838,2.111228877765825e-05
1839,2.050669559139351e-05
1840,2.202765739411916e-05
1841,2.1867745886083867e-05
1842,2.238548006516794e-05
1843,2.2683129827782977e-05
1844,2.318697545433679e-05
1845,2.1413566400951822e-05
1846,2.2437375776007684e-05
1847,2.2942233385947475e-05
1848,2.399246011464129e-05
1849,2.2808766573234607e-05
1850,2.3167448205185792e-05
1851,2.4214417294388113e-05
1852,2.2298618773675116e-05
1853,2.2237085147480684e-05
1854,2.141912614206376e-05
1855,2.3691758997301804e-05
1856,2.2106079882178165e-05
1857,2.161092913866014e-05
1858,2.193443492615188e-05
1859,2.1087199911562493e-05
1860,2.104177292494569e-05
1861,2.051019737336901e-05
1862,2.2135422227620438e-05
1863,2.3288418901756813e-05
1864,2.312832930329023e-05
1865,2.2560845991392853e-05
1866,2.119947566825431e-05
1867,2.270048128139024e-05
1868,2.237170212993078e-05
1869,2.2142363320654113e-05
1870,2.3080692812982306e-05
1871,2.110427908519341e-05
1872,2.2592858954340045e-05
1873,2.293477791681653e-05
1874,2.4774911025815527e-05
1875,2.381757360581105e-05
1876,2.354560041339937e-05
1877,2.3249342348208302e-05
1878,2.304455892954138e-05
1879,2.5270002311117423e-05
1880,2.438589001485525e-05
1881,2.4694529884072836e-05
1882,2.5368331648678577e-05
1883,2.5234384679606592e-05
1884,2.6099149067704275e-05
1885,2.59469069305851e-05
1886,2.535694977723324e-05
1887,2.574420284418011e-05
1888,2.613855019717448e-05
1889,2.535500766498444e-05
1890,2.684217861315119e-05
1891,2.418952783500572e-05
1892,2.4509883246537356e-05
1893,2.524519766211597e-05
1894,2.5070673700611223e-05
1895,2.583430057256919e-05
1896,2.653898934568133e-05
1897,2.5237243789888453e-05
1898,2.6292112238479604e-05
1899,2.762849510418164e-05
1900,2.6809194423549343e-05
1901,2.6167034434365632e-05
1902,2.3879693230810517e-05
1903,2.6142466367673478e-05
1904,2.649851501246303e-05
1905,2.6482950715944753e-05
1906,2.6181327143603994e-05
1907,2.5561474330970668e-05
1908,2.555199364451255e-05
1909,2.5955841465474805e-05
1910,2.5955471642191696e-05
1911,2.5373928224325937e-05
1912,2.6378425786788284e-05
1913,3.145574316931743e-05
1914,3.0512372518387565e-05
1915,2.3767686400333332e-05
1916,2.2189180413079157e-05
1917,3.0912156830709137e-05
1918,2.9761200266875676e-05
1919,2.5794866019168694e-05
1920,2.347846157135791e-05
1921,2.324984893675719e-05
1922,2.4451953322568443e-05
1923,2.3331730176323617e-05
1924,2.347435952287924e-05
1925,2.392103704096371e-05
1926,2.3410234689436038e-05
1927,2.3821433273951698e-05
1928,2.3230283773045812e-05
1929,2.4733930899856205e-05
1930,2.3167798985923582e-05
1931,2.3871410689935146e-05
1932,2.4644709128551767e-05
1933,2.4466921672683384e-05
1934,2.255652350413584e-05
1935,2.3047324020808446e-05
1936,2.2615017769567203e-05
1937,2.2642607177658647e-05
1938,2.1637645772898395e-05
1939,2.0906966142320016e-05
1940,2.1067284592390934e-05
1941,2.1129806668795936e-05
1942,2.195859110543097e-05
1943,2.144039217455429e-05
1944,2.175648410229769e-05
1945,2.2120530275060446e-05
1946,2.2322490394799388e-05
1947,2.2332559410642716e-05
1948,2.2080804683355382e-05
1949,2.4222486786129593e-05
1950,2.2786261808960262e-05
1951,2.2842054136162915e-05
1952,2.1641100829583593e-05
1953,2.1768518763565226e-05
1954,2.1434103132378368e-05
1955,2.1927595184934034e-05
1956,2.211071011970489e-05
1957,2.1420548364403658e-05
1958,2.2601422870138776e-05
1959,2.264458544232184e-05
1960,2.1691275833291e-05
1961,2.222299212917278e-05
1962,2.2427060230256757e-05
1963,2.2090624383963586e-05
1964,2.2542928491020575e-05
1965,2.1709785301027296e-05
1966,2.1010263935750118e-05
1967,2.188625296639657e-05
1968,2.198817458065605e-05
1969,2.206431292961497e-05
1970,2.254478999930143e-05
1971,2.213673053574894e-05
1972,2.2983057874625956e-05
1973,2.248119187697739e-05
1974,2.3857486326051003e-05
1975,2.4234380816778867e-05
1976,2.3469454731639416e-05
1977,2.24357902425254e-05
1978,2.2778008883506118e-05
1979,2.1723696363551426e-05
1980,2.14853218949429e-05
1981,2.1374032144194643e-05
1982,2.168156379411812e-05
1983,2.2520416564475454e-05
1984,2.4002676809686818e-05
1985,2.4357596544177795e-05
1986,2.3507974674430443e-05
1987,2.3487535941058013e-05
1988,2.3617427359567955e-05
1989,2.493528404556855e-05
1990,2.4277009401885152e-05
1991,2.3243054897648108e-05
1992,2.3078401454768027e-05
1993,2.323420642369456e-05
1994,2.415863696114684e-05
1995,2.363537896599155e-05
1996,2.3839920118007285e-05
1997,2.3756305495226115e-05
1998,2.488343511686253e-05
1999,2.3606003765053174e-05
2000,2.3897574692455237e-05
2001,2.34429886631915e-05
2002,2.281039201079693e-05
2003,2.3260180682882492e-05
2004,2.3878372530816705e-05
2005,2.3451924221262743e-05
2006,2.3848759155953303e-05
2007,2.281766421674547e-05
2008,2.3765879859638517e-05
2009,2.2844409841127344e-05
2010,2.3019516333988577e-05
2011,2.1793580572193605e-05
2012,2.2037430767340993e-05
2013,2.248676253202575e-05
2014,2.405809539141046e-05
2015,2.3099153622752056e-05
2016,2.1769990212305856e-05
2017,2.261559814087377e-05
2018,2.1504907977032417e-05
2019,2.2133900984044885e-05
