year,étais_VERB également_ADV
1961,2.779263708063695e-09
1962,2.5367825617905737e-09
1963,1.2932106496776896e-09
1964,4.867174663303331e-09
1965,1.6416130677043839e-09
1966,3.8773522170743036e-09
1967,2.465167847631733e-09
1968,2.6948494546985557e-09
1969,4.087581828571274e-09
1970,9.197450023812337e-10
1971,1.0276794970565106e-09
1972,2.565073486948677e-09
1973,4.410563025913916e-09
1974,1.1251143350321513e-09
1975,3.4268881066168433e-09
1976,1.7140580066410394e-09
1977,1.7630346071939584e-09
1978,5.346532105932056e-09
1979,5.266775904289034e-09
1980,0.0
1981,2.5302198114474095e-09
1982,3.1037510339615437e-09
1983,5.68378455412244e-09
1984,2.3196033982486597e-09
1985,4.812446441349039e-09
1986,4.7955883708539204e-09
1987,1.2221633705067347e-09
1988,2.99827696004229e-09
1989,7.134558721588746e-09
1990,3.814055737905164e-09
1991,5.2753188484189195e-09
1992,4.4079553340736766e-09
1993,4.985286850001103e-09
1994,4.2199412852994556e-09
1995,6.506940763983948e-09
1996,6.4057106285986265e-09
1997,2.3974471297094624e-09
1998,6.198567881199324e-09
1999,5.941261704833778e-09
2000,4.859834756842929e-09
2001,8.762423675534592e-09
2002,1.0514931148009055e-08
2003,8.750538071922165e-09
2004,4.845270407116686e-09
2005,7.656374201303606e-09
2006,9.059357708451898e-09
2007,6.391167151065247e-09
2008,1.0643598891135753e-08
2009,1.0966842545201416e-08
2010,1.1337103700270745e-08
2011,1.4531093661673822e-08
2012,1.6680838044180746e-08
2013,2.0081699858565116e-08
2014,1.8189739492413537e-08
2015,2.0614150386677466e-08
2016,1.7813524877396958e-08
2017,2.5156113636626287e-08
2018,2.1684320117287825e-08
2019,2.015280387013263e-08
