year,des_DET eaux_NOUN,des_DET lots_NOUN
1800,1.2161627836348998e-05,2.0751485863002017e-07
1801,1.0810568916497232e-05,2.5954889792956237e-07
1802,1.0750584408469877e-05,1.9021641151084623e-07
1803,1.2193521158110343e-05,2.145373088069391e-07
1804,1.1934096463050992e-05,1.730295640101076e-07
1805,1.0493061409988513e-05,2.4733034820201283e-07
1806,8.725694257805117e-06,2.305335300434308e-07
1807,1.0451171831959982e-05,5.950136028332054e-07
1808,9.442730757314166e-06,3.5124148212162254e-07
1809,1.143069447095968e-05,1.2876473931555665e-07
1810,9.154575806746834e-06,2.386929307540697e-07
1811,1.0775416043884434e-05,2.9583505600783155e-07
1812,1.0788856940280311e-05,2.453831484672264e-07
1813,9.303023773554742e-06,2.444380413635372e-07
1814,7.325464238761015e-06,1.4474714760126517e-07
1815,9.127404766218206e-06,1.1328339155625144e-07
1816,8.081484850208653e-06,1.1124498655590287e-07
1817,7.968077664344264e-06,1.1365175756061774e-07
1818,8.528410489816451e-06,1.6212801279280598e-07
1819,8.172153641794466e-06,1.625114833814223e-07
1820,7.181594508409717e-06,3.097151521913588e-07
1821,6.7215905588113856e-06,9.565643921405353e-08
1822,8.149823329972605e-06,1.4837911521681235e-07
1823,6.7113327801848754e-06,9.38855251320092e-08
1824,7.527632703840936e-06,1.7094858151267545e-07
1825,7.487268231187727e-06,1.1623184548170684e-07
1826,8.103345280119356e-06,1.761596877258853e-07
1827,7.783987014065019e-06,2.2674491617635795e-07
1828,7.69739506267797e-06,2.3205922633495746e-07
1829,8.64176151793572e-06,2.1261476490508358e-07
1830,8.167867537878237e-06,1.4924675051375402e-07
1831,8.966502967666656e-06,2.2607249205996993e-07
1832,8.223515258976022e-06,3.044243143124348e-07
1833,9.679280147167901e-06,2.4441457269208655e-07
1834,8.237723786663764e-06,3.3977692526221404e-07
1835,8.491078808958719e-06,2.4126249797973287e-07
1836,6.8820482610476574e-06,2.325379511169956e-07
1837,7.70795137583491e-06,2.5674617076809625e-07
1838,7.458450674846517e-06,2.1398228811086994e-07
1839,6.9446324175714835e-06,2.3421442296722716e-07
1840,7.442981001304361e-06,2.08925783340419e-07
1841,7.3110786047436704e-06,3.036919422605422e-07
1842,6.6042869377724855e-06,2.1131034877441834e-07
1843,7.415536231292208e-06,2.7644342659449705e-07
1844,7.332169111862186e-06,2.7991661899484654e-07
1845,7.733079932847886e-06,3.06354518309071e-07
1846,7.986125666548105e-06,2.207146987398545e-07
1847,6.925438384541849e-06,2.933913663127896e-07
1848,6.943831074579521e-06,3.4996713527135626e-07
1849,7.152668619170299e-06,4.038878032019966e-07
1850,6.721785084096155e-06,3.9172505950091363e-07
1851,7.5155312018182485e-06,3.1150790213985147e-07
1852,8.450037128682197e-06,3.0143826634798643e-07
1853,7.715138671926525e-06,2.9799939404995257e-07
1854,8.09380572519558e-06,2.551071327516752e-07
1855,8.42688534419267e-06,3.17885547218566e-07
1856,7.945431899969435e-06,4.6853561186388504e-07
1857,8.011532955265466e-06,3.3975303548317015e-07
1858,7.1614053993585e-06,3.195570354996846e-07
1859,8.112850899522073e-06,3.340465646317625e-07
1860,7.203114428477875e-06,3.0163641939751074e-07
1861,7.572423086799063e-06,3.3341864558167345e-07
1862,7.998191151159517e-06,3.519511300176248e-07
1863,7.627784853525554e-06,2.916858670154454e-07
1864,7.602041137033666e-06,2.8624527015352896e-07
1865,7.054618528457013e-06,3.685459075697395e-07
1866,7.208892000676315e-06,3.9168183807447576e-07
1867,7.036091247414333e-06,3.2659422366521085e-07
1868,7.288290028384381e-06,3.704905422452498e-07
1869,6.767580892130809e-06,3.1840545133832165e-07
