year,tes_DET êtres_NOUN,tes_DET lettres_NOUN
1800,3.144164484325529e-09,1.2262241222416037e-07
1801,0.0,2.2621235018505104e-07
1802,4.475680270843441e-09,1.1412984690650774e-07
1803,3.900678446910888e-09,1.1897069418509432e-07
1804,0.0,9.887403451536159e-08
1805,0.0,1.5351539572883155e-07
1806,0.0,7.78050663896579e-08
1807,2.8469551160981155e-09,4.555128274574827e-08
1808,0.0,8.384473471068077e-08
1809,0.0,1.1746958850089584e-07
1810,4.680253518074551e-09,4.9142660607515154e-08
1811,2.5070767684098882e-09,8.774768778252451e-08
1812,2.6672082320544632e-09,1.253587837979353e-07
1813,0.0,1.4091133926363852e-07
1814,3.1466771410748606e-09,8.810695817373926e-08
1815,2.697223555614414e-09,1.1328339066807303e-07
1816,0.0,3.939926429552543e-08
1817,3.113746815941454e-09,1.4945984472269913e-07
1818,1.1921177378582115e-09,5.364529798157491e-08
1819,2.070210003424222e-09,1.1696686508244625e-07
1820,3.5599443393152796e-09,2.135966612470952e-07
1821,1.0847637343935901e-08,1.7750679481842724e-07
1822,4.010246357211145e-09,1.674277854135653e-07
1823,3.9530747564242574e-09,1.650408729680919e-07
1824,1.6842225392110777e-09,3.772658567768872e-07
1825,3.522177216552791e-09,1.5761742377939925e-07
1826,3.5231936257318353e-09,1.5325892066542224e-07
1827,9.217273055917019e-10,1.1429418478314801e-07
1828,1.8344602503717056e-09,1.485912779486398e-07
1829,0.0,8.916102889333644e-08
1830,1.0436835840010872e-09,9.288783719973992e-08
1831,0.0,5.456922202995429e-08
1832,1.3529969367098715e-09,5.547287562635006e-08
1833,2.3167257001688313e-09,1.5869571134974336e-07
1834,2.8003592777992026e-09,2.977715414242965e-07
1835,3.025235173481633e-09,2.1252276383165736e-07
1836,6.720750067579218e-10,7.661654777280091e-08
1837,1.3915781860163179e-09,1.4333254561016417e-07
1838,1.2624323808552163e-09,5.491580701288967e-08
1839,2.0974426639952526e-09,1.104653073458195e-07
1840,1.9109065441114126e-09,1.0764773550331341e-07
1841,2.5682194149112547e-09,8.60353486231702e-08
1842,2.0124795163667386e-09,1.8917307409438422e-07
1843,4.134837805480629e-09,1.0218956270069413e-07
1844,2.195424508855126e-09,7.46444341892527e-08
1845,3.3481367123222583e-09,1.194168804952156e-07
1846,1.7563503984519002e-09,9.133021872109737e-08
1847,2.1572894581822766e-09,9.384209498364271e-08
1848,0.0,7.642960397902243e-08
1849,1.6758829879393033e-09,8.379414695447451e-08
1850,2.7155984128057753e-09,4.073397441572979e-08
1851,1.9348316282474798e-09,9.093708785989918e-08
1852,3.2552727180501506e-09,8.724130662329799e-08
1853,1.7915795513800958e-09,8.719020239134068e-08
1854,2.0782657816909023e-09,1.2469594334874046e-07
1855,2.1227748447927297e-09,1.724754561394093e-07
1856,4.6594703095870216e-09,1.2011079286722293e-07
1857,1.9526036343364694e-09,1.6450686257662994e-07
1858,3.914940760463281e-09,1.3310799107379978e-07
1859,2.5460866748261424e-09,1.4359928646179299e-07
1860,1.8308735638683515e-09,1.7301754881571263e-07
1861,2.8295781828724387e-09,1.428936995395702e-07
1862,3.6143890103090826e-09,9.352231883363871e-08
1863,3.995696662428827e-09,1.133778964046428e-07
1864,3.3563094525845827e-09,1.3617026972667645e-07
1865,3.765475486972036e-09,1.8168419613218134e-07
1866,2.919367858567057e-09,1.7029645471566823e-07
1867,4.85281148598915e-10,2.1449426235164992e-07
1868,1.975949626142892e-09,9.929146671527889e-08
1869,1.953407657850903e-09,1.8703878690295994e-07
1870,5.734048791339319e-10,1.3819058164443732e-07
1871,1.0621177271019633e-09,1.1895718743382133e-07
1872,1.2094678591978436e-09,1.3727459702295164e-07
1873,1.1972008939764578e-09,1.5982631590416574e-07
1874,5.974609140757536e-10,1.3980585905626342e-07
1875,1.1443054281912168e-09,2.116965033271967e-07
1876,2.418405919968336e-09,1.1124667298467728e-07
1877,1.2369631985365004e-09,2.4306327328638133e-07
1878,1.2078177347163432e-09,1.5701630479147966e-07
1879,0.0,2.620900596550513e-07
1880,1.2835692508872398e-09,1.3605833792951216e-07
1881,1.3945015142624584e-09,1.3038588853042654e-07
1882,6.655385131892899e-10,1.2379015990049425e-07
1883,6.319338941018771e-10,1.7820535935797466e-07
1884,6.601696966868076e-10,2.0861362326485278e-07
1885,6.445635691854079e-10,9.603997119800312e-08
