year,sections_NOUN égales_ADJ,sections_NOUN légales_ADJ
1800,7.860410988769218e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.2531904758361634e-07,0.0
1803,5.851017448321727e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,2.305335300434308e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,2.710836710662079e-08,0.0
1810,2.106114038724627e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,4.1716869958463576e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,2.384235386898581e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,1.898636980968149e-08,0.0
1821,4.536284592404627e-08,0.0
1822,1.804610860745015e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,4.126345132249298e-08,0.0
1825,1.3208164340028361e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,8.295545583791863e-09,0.0
1828,2.8434133270138773e-08,0.0
1829,2.1432940755516938e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.091384405071949e-08,0.0
1832,4.058990921151917e-09,0.0
1833,5.791814139399776e-09,0.0
1834,2.9870498963191494e-08,0.0
1835,6.504255622985511e-08,7.563087933704082e-10
1836,2.2850549896702432e-08,0.0
1837,4.87052354003481e-09,0.0
1838,1.2624323808552163e-08,2.5248647617104325e-09
1839,2.307186797168015e-08,0.0
1840,1.8472096741106725e-08,0.0
1841,3.338685417020315e-08,0.0
1842,2.817471411731276e-08,0.0
1843,3.071593823733565e-08,0.0
1844,2.140538946093784e-08,0.0
1845,2.2320911341466854e-08,0.0
1846,2.8101606375230404e-08,0.0
1847,2.0494249852731627e-08,0.0
1848,1.206783295515379e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,2.1283147688677673e-08,0.0
1852,1.5625309046640723e-08,0.0
1853,2.5679307569248522e-08,0.0
1854,2.1302223984775992e-08,0.0
1855,1.6451505047143655e-08,0.0
1856,1.6049286344355096e-08,0.0
1857,1.8061584228235006e-08,0.0
1858,2.6425849952715907e-08,0.0
1859,2.953460587207246e-08,0.0
1860,1.876645328025006e-08,0.0
1861,2.0750240636857598e-08,0.0
1862,2.1234535907410645e-08,0.0
1863,1.9978482868054925e-08,0.0
1864,2.445311331200628e-08,0.0
1865,1.835669216632141e-08,0.0
1866,2.092213513549268e-08,0.0
1867,3.396968040192405e-08,0.0
1868,1.2843672791973404e-08,0.0
1869,2.490594752657671e-08,0.0
1870,4.12851512976431e-08,0.0
1871,2.442870794538976e-08,0.0
