year,différents_DET livres_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,2.8320094713762956e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.7596784473994376e-08
1820,0.0
1821,5.9168927535324656e-09
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,1.8344602503717056e-09
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,4.032449929525228e-09
1837,0.0
1838,5.680945491803868e-09
1839,3.4957374772659477e-09
1840,1.0191501864653674e-08
1841,5.1364388298225094e-09
1842,0.0
1843,5.906911071384968e-10
1844,6.037417232818143e-09
1845,0.0
1846,5.854501328173001e-09
1847,4.314578916364553e-09
1848,0.0
1849,0.0
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,6.510545436100301e-10
1853,7.166318205520383e-09
1854,1.558699391779328e-09
1855,3.1841622671890946e-09
1856,5.177189232874468e-10
1857,4.881509085841174e-10
1858,4.893676019968041e-10
1859,1.0693564256314403e-08
1860,2.746310290291376e-09
1861,6.6023493339173456e-09
1862,9.035972525772706e-10
1863,4.994620717013731e-09
1864,1.9178911792039344e-09
1865,1.553258677233771e-08
1866,4.865612801552288e-09
1867,2.426405742994575e-09
1868,5.9278488784286765e-09
1869,4.883519144627257e-10
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,3.0236697590169115e-09
1873,5.986004469882289e-10
1874,5.974609140757536e-10
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,0.0
1879,6.10932526790009e-10
1880,6.417846254436199e-09
1881,4.183504653809678e-09
1882,6.655385131892899e-10
1883,0.0
1884,4.621187876807653e-09
1885,2.5782542767416317e-09
1886,1.2261581083805595e-08
1887,2.6115698492645834e-09
1888,1.268122939990235e-08
1889,6.265136853755848e-09
1890,1.3108772956016423e-09
1891,1.2748440081367107e-09
1892,3.761107425503951e-09
1893,0.0
1894,6.301539290376468e-10
1895,1.2037228991346183e-09
1896,0.0
1897,0.0
1898,0.0
1899,5.527578395003729e-10
1900,5.191053142894475e-10
1901,3.912117296778206e-09
1902,4.910283846193408e-10
1903,0.0
1904,0.0
1905,1.5482277682110634e-09
1906,2.0576738091193647e-09
1907,0.0
1908,1.4734167219643268e-09
1909,5.500983557560346e-10
1910,8.01622590529405e-09
1911,1.5961122423746588e-09
1912,3.125652625612929e-09
1913,1.060597942803554e-09
1914,1.3393487430235496e-09
1915,0.0
1916,2.197492410260793e-09
1917,3.289927441585405e-09
1918,1.1486376294556067e-09
1919,9.207848372660976e-10
1920,2.2716695191604686e-09
1921,7.572747429129834e-10
1922,1.4755870969551665e-09
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,4.399271169575059e-09
